inputs=41 keys=41 outputs=35 gates=6132
iteration: 1; vars: 12425; clauses: 7405; decisions: 966
iteration: 2; vars: 18522; clauses: 11013; decisions: 5672
iteration: 3; vars: 24619; clauses: 8889; decisions: 6402
iteration: 4; vars: 30716; clauses: 12497; decisions: 7223
iteration: 5; vars: 36813; clauses: 10903; decisions: 7895
iteration: 6; vars: 42910; clauses: 14511; decisions: 9927
iteration: 7; vars: 49007; clauses: 12618; decisions: 10036
iteration: 8; vars: 55104; clauses: 16226; decisions: 10569
iteration: 9; vars: 61201; clauses: 14443; decisions: 10677
iteration: 10; vars: 67298; clauses: 18051; decisions: 10788
iteration: 11; vars: 73395; clauses: 21659; decisions: 11188
iteration: 12; vars: 79492; clauses: 17348; decisions: 11527
iteration: 13; vars: 85589; clauses: 20956; decisions: 14015
iteration: 14; vars: 91686; clauses: 24564; decisions: 29588
iteration: 15; vars: 97783; clauses: 19430; decisions: 32497
iteration: 16; vars: 103880; clauses: 23038; decisions: 39889
iteration: 17; vars: 109977; clauses: 26646; decisions: 47639
iteration: 18; vars: 116074; clauses: 22312; decisions: 47777
iteration: 19; vars: 122171; clauses: 25920; decisions: 51140
iteration: 20; vars: 128268; clauses: 29528; decisions: 51965
iteration: 21; vars: 134365; clauses: 33136; decisions: 53303
iteration: 22; vars: 140462; clauses: 26137; decisions: 60646
iteration: 23; vars: 146559; clauses: 29745; decisions: 62636
iteration: 24; vars: 152656; clauses: 33353; decisions: 67513
iteration: 25; vars: 158753; clauses: 36961; decisions: 76416
iteration: 26; vars: 164850; clauses: 29496; decisions: 77351
iteration: 27; vars: 170947; clauses: 33104; decisions: 77489
iteration: 28; vars: 177044; clauses: 36712; decisions: 77679
iteration: 29; vars: 183141; clauses: 40320; decisions: 78050
iteration: 30; vars: 189238; clauses: 43928; decisions: 82774
iteration: 31; vars: 195335; clauses: 34400; decisions: 84278
iteration: 32; vars: 201432; clauses: 38008; decisions: 89858
iteration: 33; vars: 207529; clauses: 41616; decisions: 90048
iteration: 34; vars: 213626; clauses: 45224; decisions: 93634
iteration: 35; vars: 219723; clauses: 48832; decisions: 99706
iteration: 36; vars: 225820; clauses: 52440; decisions: 107620
iteration: 37; vars: 231917; clauses: 40105; decisions: 126881
iteration: 38; vars: 238014; clauses: 43713; decisions: 138878
iteration: 39; vars: 244111; clauses: 47321; decisions: 147910
iteration: 40; vars: 250208; clauses: 50929; decisions: 148041
iteration: 41; vars: 256305; clauses: 54537; decisions: 148172
iteration: 42; vars: 262402; clauses: 58145; decisions: 148307
iteration: 43; vars: 268499; clauses: 44914; decisions: 148453
iteration: 44; vars: 274596; clauses: 48522; decisions: 158580
iteration: 45; vars: 280693; clauses: 52130; decisions: 158781
iteration: 46; vars: 286790; clauses: 55738; decisions: 158905
iteration: 47; vars: 292887; clauses: 59346; decisions: 173444
iteration: 48; vars: 298984; clauses: 62954; decisions: 173721
iteration: 49; vars: 305081; clauses: 66562; decisions: 176588
iteration: 50; vars: 311178; clauses: 51551; decisions: 182088
iteration: 51; vars: 317275; clauses: 55159; decisions: 198407
iteration: 52; vars: 323372; clauses: 58767; decisions: 202851
iteration: 53; vars: 329469; clauses: 62375; decisions: 207847
iteration: 54; vars: 335566; clauses: 65983; decisions: 219416
iteration: 55; vars: 341663; clauses: 56166; decisions: 224301
iteration: 56; vars: 347760; clauses: 48002; decisions: 254836
iteration: 57; vars: 353857; clauses: 51610; decisions: 272839
iteration: 58; vars: 359954; clauses: 49805; decisions: 288034
finished solver loop. fail_count = 0
key=11010111111010000101010011000001100111000
iteration=59; backbones_count=0; cube_count=1723570; cpu_time=36.0516; maxrss=62.8086
