inputs=199 keys=128 outputs=67 gates=12008
iteration: 1; vars: 24541; clauses: 15014; decisions: 65357
iteration: 2; vars: 36482; clauses: 19651; decisions: 131708
iteration: 3; vars: 48423; clauses: 24077; decisions: 192279
iteration: 4; vars: 60364; clauses: 28118; decisions: 304138
iteration: 5; vars: 72305; clauses: 27133; decisions: 725107
iteration: 6; vars: 84246; clauses: 29202; decisions: 1476271
iteration: 7; vars: 96187; clauses: 32941; decisions: 1918680
iteration: 8; vars: 108128; clauses: 46642; decisions: 2032509
iteration: 9; vars: 120069; clauses: 42382; decisions: 2185798
iteration: 10; vars: 132010; clauses: 56083; decisions: 2261211
iteration: 11; vars: 143951; clauses: 51081; decisions: 2316173
iteration: 12; vars: 155892; clauses: 64782; decisions: 2316591
iteration: 13; vars: 167833; clauses: 57259; decisions: 2373021
iteration: 14; vars: 179774; clauses: 70960; decisions: 2451526
iteration: 15; vars: 191715; clauses: 60916; decisions: 3104636
iteration: 16; vars: 203656; clauses: 74617; decisions: 3105094
iteration: 17; vars: 215597; clauses: 88318; decisions: 3269191
iteration: 18; vars: 227538; clauses: 74849; decisions: 3485295
iteration: 19; vars: 239479; clauses: 88550; decisions: 3523084
iteration: 20; vars: 251420; clauses: 102251; decisions: 3838289
iteration: 21; vars: 263361; clauses: 87560; decisions: 3991134
iteration: 22; vars: 275302; clauses: 101261; decisions: 4143913
iteration: 23; vars: 287243; clauses: 90345; decisions: 4793931
iteration: 24; vars: 299184; clauses: 93755; decisions: 5690327
iteration: 25; vars: 311125; clauses: 107456; decisions: 6114571
iteration: 26; vars: 323066; clauses: 121157; decisions: 6256991
iteration: 27; vars: 335007; clauses: 102981; decisions: 7512564
