inputs=178 keys=64 outputs=123 gates=8289
iteration: 1; vars: 17010; clauses: 9968; decisions: 57939
iteration: 2; vars: 25176; clauses: 11777; decisions: 60076
iteration: 3; vars: 33342; clauses: 18718; decisions: 60406
iteration: 4; vars: 41508; clauses: 15445; decisions: 60784
iteration: 5; vars: 49674; clauses: 22386; decisions: 61109
iteration: 6; vars: 57840; clauses: 19182; decisions: 61556
iteration: 7; vars: 66006; clauses: 26123; decisions: 63461
iteration: 8; vars: 74172; clauses: 22624; decisions: 63847
iteration: 9; vars: 82338; clauses: 29565; decisions: 64268
iteration: 10; vars: 90504; clauses: 36506; decisions: 68451
iteration: 11; vars: 98670; clauses: 27952; decisions: 68824
iteration: 12; vars: 106836; clauses: 34893; decisions: 72206
iteration: 13; vars: 115002; clauses: 41834; decisions: 72568
iteration: 14; vars: 123168; clauses: 33311; decisions: 72946
iteration: 15; vars: 131334; clauses: 40252; decisions: 74522
iteration: 16; vars: 139500; clauses: 47193; decisions: 77337
iteration: 17; vars: 147666; clauses: 54134; decisions: 77710
iteration: 18; vars: 155832; clauses: 40692; decisions: 78137
iteration: 19; vars: 163998; clauses: 47633; decisions: 78533
iteration: 20; vars: 172164; clauses: 54574; decisions: 78943
iteration: 21; vars: 180330; clauses: 61515; decisions: 83051
iteration: 22; vars: 188496; clauses: 47251; decisions: 83392
iteration: 23; vars: 196662; clauses: 54192; decisions: 83735
iteration: 24; vars: 204828; clauses: 61133; decisions: 87791
iteration: 25; vars: 212994; clauses: 68074; decisions: 88188
iteration: 26; vars: 221160; clauses: 75015; decisions: 88585
iteration: 27; vars: 229326; clauses: 56647; decisions: 96521
iteration: 28; vars: 237492; clauses: 63588; decisions: 96856
iteration: 29; vars: 245658; clauses: 70529; decisions: 97239
iteration: 30; vars: 253824; clauses: 77470; decisions: 97692
iteration: 31; vars: 261990; clauses: 84411; decisions: 108653
iteration: 32; vars: 270156; clauses: 91352; decisions: 109002
iteration: 33; vars: 278322; clauses: 67790; decisions: 109621
iteration: 34; vars: 286488; clauses: 74731; decisions: 110410
iteration: 35; vars: 294654; clauses: 81672; decisions: 112944
iteration: 36; vars: 302820; clauses: 88613; decisions: 113309
iteration: 37; vars: 310986; clauses: 95554; decisions: 114052
iteration: 38; vars: 319152; clauses: 102495; decisions: 114419
iteration: 39; vars: 327318; clauses: 109436; decisions: 114795
iteration: 40; vars: 335484; clauses: 80551; decisions: 115188
iteration: 41; vars: 343650; clauses: 87492; decisions: 118965
iteration: 42; vars: 351816; clauses: 94433; decisions: 119386
iteration: 43; vars: 359982; clauses: 101374; decisions: 119797
iteration: 44; vars: 368148; clauses: 108315; decisions: 124791
iteration: 45; vars: 376314; clauses: 115256; decisions: 125156
iteration: 46; vars: 384480; clauses: 122197; decisions: 125523
iteration: 47; vars: 392646; clauses: 129138; decisions: 127714
iteration: 48; vars: 400812; clauses: 95029; decisions: 128100
iteration: 49; vars: 408978; clauses: 101970; decisions: 131793
iteration: 50; vars: 417144; clauses: 108911; decisions: 132118
iteration: 51; vars: 425310; clauses: 115852; decisions: 132446
iteration: 52; vars: 433476; clauses: 122793; decisions: 139794
iteration: 53; vars: 441642; clauses: 129734; decisions: 140132
iteration: 54; vars: 449808; clauses: 136675; decisions: 143791
iteration: 55; vars: 457974; clauses: 143616; decisions: 146272
iteration: 56; vars: 466140; clauses: 150557; decisions: 146598
iteration: 57; vars: 474306; clauses: 111698; decisions: 151326
iteration: 58; vars: 482472; clauses: 118639; decisions: 151734
iteration: 59; vars: 490638; clauses: 125580; decisions: 152285
iteration: 60; vars: 498804; clauses: 132521; decisions: 157168
iteration: 61; vars: 506970; clauses: 139462; decisions: 157539
iteration: 62; vars: 515136; clauses: 146403; decisions: 157921
iteration: 63; vars: 523302; clauses: 153344; decisions: 160680
iteration: 64; vars: 531468; clauses: 160285; decisions: 161064
iteration: 65; vars: 539634; clauses: 167226; decisions: 162431
iteration: 66; vars: 547800; clauses: 174167; decisions: 162805
iteration: 67; vars: 555966; clauses: 129807; decisions: 163340
iteration: 68; vars: 564132; clauses: 136748; decisions: 166375
iteration: 69; vars: 572298; clauses: 143689; decisions: 171375
iteration: 70; vars: 580464; clauses: 150630; decisions: 171733
iteration: 71; vars: 588630; clauses: 157571; decisions: 172260
iteration: 72; vars: 596796; clauses: 164512; decisions: 174836
iteration: 73; vars: 604962; clauses: 171453; decisions: 175172
iteration: 74; vars: 613128; clauses: 178394; decisions: 177322
iteration: 75; vars: 621294; clauses: 185335; decisions: 177638
iteration: 76; vars: 629460; clauses: 192276; decisions: 177955
iteration: 77; vars: 637626; clauses: 199217; decisions: 178269
iteration: 78; vars: 645792; clauses: 206158; decisions: 178594
iteration: 79; vars: 653958; clauses: 152363; decisions: 180312
iteration: 80; vars: 662124; clauses: 159304; decisions: 182921
iteration: 81; vars: 670290; clauses: 166245; decisions: 183395
iteration: 82; vars: 678456; clauses: 173186; decisions: 187858
iteration: 83; vars: 686622; clauses: 180127; decisions: 188245
iteration: 84; vars: 694788; clauses: 187068; decisions: 188622
iteration: 85; vars: 702954; clauses: 194009; decisions: 190757
iteration: 86; vars: 711120; clauses: 200950; decisions: 191134
iteration: 87; vars: 719286; clauses: 207891; decisions: 194300
iteration: 88; vars: 727452; clauses: 214832; decisions: 194620
iteration: 89; vars: 735618; clauses: 221773; decisions: 194940
iteration: 90; vars: 743784; clauses: 228714; decisions: 198965
iteration: 91; vars: 751950; clauses: 235655; decisions: 199326
iteration: 92; vars: 760116; clauses: 242596; decisions: 199675
iteration: 93; vars: 768282; clauses: 178325; decisions: 203780
iteration: 94; vars: 776448; clauses: 185266; decisions: 206182
iteration: 95; vars: 784614; clauses: 192207; decisions: 206571
iteration: 96; vars: 792780; clauses: 199148; decisions: 206973
iteration: 97; vars: 800946; clauses: 206089; decisions: 207378
iteration: 98; vars: 809112; clauses: 213030; decisions: 208025
iteration: 99; vars: 817278; clauses: 219971; decisions: 208425
iteration: 100; vars: 825444; clauses: 226912; decisions: 208826
iteration: 101; vars: 833610; clauses: 233853; decisions: 216281
iteration: 102; vars: 841776; clauses: 240794; decisions: 216641
iteration: 103; vars: 849942; clauses: 247735; decisions: 217001
iteration: 104; vars: 858108; clauses: 254676; decisions: 217377
iteration: 105; vars: 866274; clauses: 261617; decisions: 217750
iteration: 106; vars: 874440; clauses: 268558; decisions: 218111
iteration: 107; vars: 882606; clauses: 275499; decisions: 218473
iteration: 108; vars: 890772; clauses: 282440; decisions: 219850
iteration: 109; vars: 898938; clauses: 208361; decisions: 224027
iteration: 110; vars: 907104; clauses: 215302; decisions: 224416
iteration: 111; vars: 915270; clauses: 222243; decisions: 224942
iteration: 112; vars: 923436; clauses: 229184; decisions: 227825
iteration: 113; vars: 931602; clauses: 236125; decisions: 228193
iteration: 114; vars: 939768; clauses: 243066; decisions: 228559
iteration: 115; vars: 947934; clauses: 250007; decisions: 230116
iteration: 116; vars: 956100; clauses: 256948; decisions: 230486
iteration: 117; vars: 964266; clauses: 263889; decisions: 230856
iteration: 118; vars: 972432; clauses: 270830; decisions: 231233
iteration: 119; vars: 980598; clauses: 277771; decisions: 235335
iteration: 120; vars: 988764; clauses: 284712; decisions: 242477
iteration: 121; vars: 996930; clauses: 291653; decisions: 242836
iteration: 122; vars: 1005096; clauses: 298594; decisions: 244547
iteration: 123; vars: 1013262; clauses: 305535; decisions: 244896
