inputs=75 keys=64 outputs=16 gates=6661
iteration: 1; vars: 13544; clauses: 8556; decisions: 7250
iteration: 2; vars: 20189; clauses: 9977; decisions: 15243
iteration: 3; vars: 26834; clauses: 11649; decisions: 15458
iteration: 4; vars: 33479; clauses: 17244; decisions: 15673
iteration: 5; vars: 40124; clauses: 15183; decisions: 17448
iteration: 6; vars: 46769; clauses: 20778; decisions: 17659
iteration: 7; vars: 53414; clauses: 18661; decisions: 17882
iteration: 8; vars: 60059; clauses: 24256; decisions: 19047
iteration: 9; vars: 66704; clauses: 22352; decisions: 23253
iteration: 10; vars: 73349; clauses: 27947; decisions: 29409
iteration: 11; vars: 79994; clauses: 25530; decisions: 29610
iteration: 12; vars: 86639; clauses: 31125; decisions: 36603
iteration: 13; vars: 93284; clauses: 36720; decisions: 36841
iteration: 14; vars: 99929; clauses: 29323; decisions: 37921
iteration: 15; vars: 106574; clauses: 34918; decisions: 38168
iteration: 16; vars: 113219; clauses: 40513; decisions: 38454
iteration: 17; vars: 119864; clauses: 34604; decisions: 41397
iteration: 18; vars: 126509; clauses: 40199; decisions: 41596
iteration: 19; vars: 133154; clauses: 45794; decisions: 41797
iteration: 20; vars: 139799; clauses: 51389; decisions: 46019
iteration: 21; vars: 146444; clauses: 41589; decisions: 46240
iteration: 22; vars: 153089; clauses: 47184; decisions: 48368
iteration: 23; vars: 159734; clauses: 52779; decisions: 48600
iteration: 24; vars: 166379; clauses: 58374; decisions: 50727
iteration: 25; vars: 173024; clauses: 48653; decisions: 50978
iteration: 26; vars: 179669; clauses: 54248; decisions: 51229
iteration: 27; vars: 186314; clauses: 59843; decisions: 51480
iteration: 28; vars: 192959; clauses: 65438; decisions: 54817
iteration: 29; vars: 199604; clauses: 71033; decisions: 55755
iteration: 30; vars: 206249; clauses: 57999; decisions: 57960
iteration: 31; vars: 212894; clauses: 63594; decisions: 58231
iteration: 32; vars: 219539; clauses: 69189; decisions: 58502
iteration: 33; vars: 226184; clauses: 74784; decisions: 63417
iteration: 34; vars: 232829; clauses: 80379; decisions: 63623
iteration: 35; vars: 239474; clauses: 85974; decisions: 63829
iteration: 36; vars: 246119; clauses: 68692; decisions: 73351
iteration: 37; vars: 252764; clauses: 74287; decisions: 73595
iteration: 38; vars: 259409; clauses: 79882; decisions: 73839
iteration: 39; vars: 266054; clauses: 85477; decisions: 74085
iteration: 40; vars: 272699; clauses: 91072; decisions: 74336
iteration: 41; vars: 279344; clauses: 96667; decisions: 78547
iteration: 42; vars: 285989; clauses: 80016; decisions: 78789
iteration: 43; vars: 292634; clauses: 85611; decisions: 79045
iteration: 44; vars: 299279; clauses: 91206; decisions: 80235
iteration: 45; vars: 305924; clauses: 96801; decisions: 80452
iteration: 46; vars: 312569; clauses: 102396; decisions: 80678
iteration: 47; vars: 319214; clauses: 107991; decisions: 82696
iteration: 48; vars: 325859; clauses: 113586; decisions: 85071
iteration: 49; vars: 332504; clauses: 119181; decisions: 85301
iteration: 50; vars: 339149; clauses: 94587; decisions: 90177
iteration: 51; vars: 345794; clauses: 100182; decisions: 90401
iteration: 52; vars: 352439; clauses: 105777; decisions: 90627
iteration: 53; vars: 359084; clauses: 111372; decisions: 91653
iteration: 54; vars: 365729; clauses: 116967; decisions: 95314
iteration: 55; vars: 372374; clauses: 122562; decisions: 95600
iteration: 56; vars: 379019; clauses: 128157; decisions: 95882
iteration: 57; vars: 385664; clauses: 133752; decisions: 99317
iteration: 58; vars: 392309; clauses: 139347; decisions: 99531
iteration: 59; vars: 398954; clauses: 111217; decisions: 99792
iteration: 60; vars: 405599; clauses: 116812; decisions: 100202
iteration: 61; vars: 412244; clauses: 122407; decisions: 103939
iteration: 62; vars: 418889; clauses: 128002; decisions: 104160
iteration: 63; vars: 425534; clauses: 133597; decisions: 104381
iteration: 64; vars: 432179; clauses: 139192; decisions: 116431
iteration: 65; vars: 438824; clauses: 144787; decisions: 116698
iteration: 66; vars: 445469; clauses: 150382; decisions: 116966
iteration: 67; vars: 452114; clauses: 155977; decisions: 118698
