inputs=41 keys=41 outputs=32 gates=3501
iteration: 1; vars: 7160; clauses: 4781; decisions: 3023
iteration: 2; vars: 10629; clauses: 5554; decisions: 6820
iteration: 3; vars: 14098; clauses: 6440; decisions: 7980
iteration: 4; vars: 17567; clauses: 9919; decisions: 8592
iteration: 5; vars: 21036; clauses: 8376; decisions: 8740
iteration: 6; vars: 24505; clauses: 11855; decisions: 8889
iteration: 7; vars: 27974; clauses: 9217; decisions: 9033
iteration: 8; vars: 31443; clauses: 12696; decisions: 10426
iteration: 9; vars: 34912; clauses: 11170; decisions: 10642
iteration: 10; vars: 38381; clauses: 14649; decisions: 10775
iteration: 11; vars: 41850; clauses: 12944; decisions: 12430
iteration: 12; vars: 45319; clauses: 16423; decisions: 12577
iteration: 13; vars: 48788; clauses: 19902; decisions: 12722
iteration: 14; vars: 52257; clauses: 13884; decisions: 12874
iteration: 15; vars: 55726; clauses: 17363; decisions: 13112
iteration: 16; vars: 59195; clauses: 20842; decisions: 13252
iteration: 17; vars: 62664; clauses: 16827; decisions: 13392
iteration: 18; vars: 66133; clauses: 20306; decisions: 13532
iteration: 19; vars: 69602; clauses: 23785; decisions: 13983
iteration: 20; vars: 73071; clauses: 19552; decisions: 14155
iteration: 21; vars: 76540; clauses: 23031; decisions: 14331
iteration: 22; vars: 80009; clauses: 26510; decisions: 14479
iteration: 23; vars: 83478; clauses: 29989; decisions: 14635
iteration: 24; vars: 86947; clauses: 21277; decisions: 14784
iteration: 25; vars: 90416; clauses: 24756; decisions: 14960
iteration: 26; vars: 93885; clauses: 28235; decisions: 15656
iteration: 27; vars: 97354; clauses: 31714; decisions: 17022
iteration: 28; vars: 100823; clauses: 25177; decisions: 17172
iteration: 29; vars: 104292; clauses: 28656; decisions: 18537
iteration: 30; vars: 107761; clauses: 32135; decisions: 18673
iteration: 31; vars: 111230; clauses: 35614; decisions: 18811
iteration: 32; vars: 114699; clauses: 28560; decisions: 18952
iteration: 33; vars: 118168; clauses: 32039; decisions: 19095
iteration: 34; vars: 121637; clauses: 35518; decisions: 20537
iteration: 35; vars: 125106; clauses: 38997; decisions: 20680
iteration: 36; vars: 128575; clauses: 42476; decisions: 20824
iteration: 37; vars: 132044; clauses: 33573; decisions: 21031
iteration: 38; vars: 135513; clauses: 37052; decisions: 22618
iteration: 39; vars: 138982; clauses: 40531; decisions: 22763
iteration: 40; vars: 142451; clauses: 44010; decisions: 24621
iteration: 41; vars: 145920; clauses: 47489; decisions: 24778
iteration: 42; vars: 149389; clauses: 50968; decisions: 24936
iteration: 43; vars: 152858; clauses: 39344; decisions: 25339
iteration: 44; vars: 156327; clauses: 42823; decisions: 25494
iteration: 45; vars: 159796; clauses: 46302; decisions: 26932
iteration: 46; vars: 163265; clauses: 49781; decisions: 27077
iteration: 47; vars: 166734; clauses: 53260; decisions: 27223
iteration: 48; vars: 170203; clauses: 56739; decisions: 27370
iteration: 49; vars: 173672; clauses: 60218; decisions: 28421
iteration: 50; vars: 177141; clauses: 45616; decisions: 28567
