inputs=10 keys=10 outputs=10 gates=5320
iteration: 1; vars: 10683; clauses: 5084; decisions: 115
iteration: 2; vars: 15993; clauses: 5617; decisions: 154
iteration: 3; vars: 21303; clauses: 6150; decisions: 218
iteration: 4; vars: 26613; clauses: 6683; decisions: 331
iteration: 5; vars: 31923; clauses: 7216; decisions: 530
iteration: 6; vars: 37233; clauses: 7749; decisions: 576
iteration: 7; vars: 42543; clauses: 5345; decisions: 609
iteration: 8; vars: 47853; clauses: 5878; decisions: 642
iteration: 9; vars: 53163; clauses: 6411; decisions: 682
iteration: 10; vars: 58473; clauses: 6944; decisions: 713
iteration: 11; vars: 63783; clauses: 7477; decisions: 740
iteration: 12; vars: 69093; clauses: 8010; decisions: 766
iteration: 13; vars: 74403; clauses: 5799; decisions: 799
iteration: 14; vars: 79713; clauses: 6332; decisions: 828
iteration: 15; vars: 85023; clauses: 6865; decisions: 858
iteration: 16; vars: 90333; clauses: 7398; decisions: 888
iteration: 17; vars: 95643; clauses: 7931; decisions: 918
iteration: 18; vars: 100953; clauses: 8464; decisions: 948
iteration: 19; vars: 106263; clauses: 8997; decisions: 977
iteration: 20; vars: 111573; clauses: 6157; decisions: 1006
iteration: 21; vars: 116883; clauses: 6690; decisions: 1035
iteration: 22; vars: 122193; clauses: 7223; decisions: 1078
iteration: 23; vars: 127503; clauses: 7756; decisions: 1105
iteration: 24; vars: 132813; clauses: 8289; decisions: 1130
iteration: 25; vars: 138123; clauses: 8822; decisions: 1166
iteration: 26; vars: 143433; clauses: 9355; decisions: 1193
iteration: 27; vars: 148743; clauses: 6426; decisions: 1222
iteration: 28; vars: 154053; clauses: 6959; decisions: 1252
iteration: 29; vars: 159363; clauses: 7492; decisions: 1285
iteration: 30; vars: 164673; clauses: 8025; decisions: 1328
iteration: 31; vars: 169983; clauses: 8558; decisions: 1356
iteration: 32; vars: 175293; clauses: 9091; decisions: 1386
iteration: 33; vars: 180603; clauses: 9624; decisions: 1415
iteration: 34; vars: 185913; clauses: 6978; decisions: 1453
iteration: 35; vars: 191223; clauses: 7511; decisions: 1481
iteration: 36; vars: 196533; clauses: 8044; decisions: 1509
iteration: 37; vars: 201843; clauses: 8577; decisions: 1538
iteration: 38; vars: 207153; clauses: 9110; decisions: 1565
iteration: 39; vars: 212463; clauses: 9643; decisions: 1595
iteration: 40; vars: 217773; clauses: 10176; decisions: 1624
iteration: 41; vars: 223083; clauses: 10709; decisions: 1707
iteration: 42; vars: 228393; clauses: 7384; decisions: 1738
iteration: 43; vars: 233703; clauses: 7917; decisions: 1779
iteration: 44; vars: 239013; clauses: 8450; decisions: 1825
iteration: 45; vars: 244323; clauses: 8983; decisions: 1860
iteration: 46; vars: 249633; clauses: 9516; decisions: 1940
iteration: 47; vars: 254943; clauses: 10049; decisions: 2013
iteration: 48; vars: 260253; clauses: 10582; decisions: 2043
iteration: 49; vars: 265563; clauses: 11115; decisions: 2118
iteration: 50; vars: 270873; clauses: 7820; decisions: 2162
iteration: 51; vars: 276183; clauses: 8353; decisions: 2190
iteration: 52; vars: 281493; clauses: 8886; decisions: 2254
iteration: 53; vars: 286803; clauses: 9419; decisions: 2315
iteration: 54; vars: 292113; clauses: 9952; decisions: 2367
iteration: 55; vars: 297423; clauses: 10485; decisions: 2409
iteration: 56; vars: 302733; clauses: 11018; decisions: 2443
iteration: 57; vars: 308043; clauses: 11551; decisions: 2478
iteration: 58; vars: 313353; clauses: 8322; decisions: 2510
iteration: 59; vars: 318663; clauses: 8855; decisions: 2593
iteration: 60; vars: 323973; clauses: 9388; decisions: 2624
iteration: 61; vars: 329283; clauses: 9921; decisions: 2658
iteration: 62; vars: 334593; clauses: 10454; decisions: 2705
iteration: 63; vars: 339903; clauses: 10987; decisions: 2753
iteration: 64; vars: 345213; clauses: 11520; decisions: 2841
iteration: 65; vars: 350523; clauses: 12053; decisions: 2948
iteration: 66; vars: 355833; clauses: 12586; decisions: 2971
iteration: 67; vars: 361143; clauses: 8617; decisions: 2997
iteration: 68; vars: 366453; clauses: 9150; decisions: 3023
iteration: 69; vars: 371763; clauses: 9683; decisions: 3049
iteration: 70; vars: 377073; clauses: 10216; decisions: 3075
iteration: 71; vars: 382383; clauses: 10749; decisions: 3101
iteration: 72; vars: 387693; clauses: 11282; decisions: 3127
iteration: 73; vars: 393003; clauses: 11815; decisions: 3153
iteration: 74; vars: 398313; clauses: 12348; decisions: 3229
iteration: 75; vars: 403623; clauses: 12881; decisions: 3258
iteration: 76; vars: 408933; clauses: 9148; decisions: 3302
iteration: 77; vars: 414243; clauses: 9681; decisions: 3336
iteration: 78; vars: 419553; clauses: 10214; decisions: 3360
iteration: 79; vars: 424863; clauses: 10747; decisions: 3384
iteration: 80; vars: 430173; clauses: 11280; decisions: 3418
iteration: 81; vars: 435483; clauses: 11813; decisions: 3500
iteration: 82; vars: 440793; clauses: 12346; decisions: 3525
iteration: 83; vars: 446103; clauses: 12879; decisions: 3885
finished solver loop. fail_count = 0
key=0111100110
iteration=84; backbones_count=0; cube_count=2136016; cpu_time=4.84909; maxrss=47.9297
