inputs=133 keys=64 outputs=81 gates=7049
iteration: 1; vars: 14443; clauses: 9956; decisions: 30106
iteration: 2; vars: 21411; clauses: 11542; decisions: 36609
iteration: 3; vars: 28379; clauses: 18112; decisions: 40819
iteration: 4; vars: 35347; clauses: 15055; decisions: 43974
iteration: 5; vars: 42315; clauses: 21625; decisions: 44249
iteration: 6; vars: 49283; clauses: 18588; decisions: 44529
iteration: 7; vars: 56251; clauses: 25158; decisions: 51475
iteration: 8; vars: 63219; clauses: 22075; decisions: 56578
iteration: 9; vars: 70187; clauses: 28645; decisions: 66975
iteration: 10; vars: 77155; clauses: 35215; decisions: 67240
iteration: 11; vars: 84123; clauses: 27611; decisions: 67522
iteration: 12; vars: 91091; clauses: 34181; decisions: 73490
iteration: 13; vars: 98059; clauses: 40751; decisions: 73780
iteration: 14; vars: 105027; clauses: 32554; decisions: 74091
iteration: 15; vars: 111995; clauses: 39124; decisions: 78283
iteration: 16; vars: 118963; clauses: 45694; decisions: 78624
iteration: 17; vars: 125931; clauses: 38113; decisions: 78964
iteration: 18; vars: 132899; clauses: 44683; decisions: 79309
iteration: 19; vars: 139867; clauses: 51253; decisions: 96036
iteration: 20; vars: 146835; clauses: 57823; decisions: 96318
iteration: 21; vars: 153803; clauses: 45260; decisions: 97501
iteration: 22; vars: 160771; clauses: 51830; decisions: 97763
iteration: 23; vars: 167739; clauses: 58400; decisions: 98030
iteration: 24; vars: 174707; clauses: 64970; decisions: 104245
iteration: 25; vars: 181675; clauses: 71540; decisions: 104532
iteration: 26; vars: 188643; clauses: 53873; decisions: 104858
iteration: 27; vars: 195611; clauses: 60443; decisions: 108886
iteration: 28; vars: 202579; clauses: 67013; decisions: 109174
iteration: 29; vars: 209547; clauses: 73583; decisions: 109460
iteration: 30; vars: 216515; clauses: 80153; decisions: 116080
iteration: 31; vars: 223483; clauses: 62745; decisions: 130343
iteration: 32; vars: 230451; clauses: 69315; decisions: 130727
iteration: 33; vars: 237419; clauses: 75885; decisions: 131006
iteration: 34; vars: 244387; clauses: 82455; decisions: 132734
iteration: 35; vars: 251355; clauses: 89025; decisions: 133029
iteration: 36; vars: 258323; clauses: 95595; decisions: 133329
iteration: 37; vars: 265291; clauses: 73966; decisions: 133641
iteration: 38; vars: 272259; clauses: 80536; decisions: 135280
iteration: 39; vars: 279227; clauses: 87106; decisions: 135550
iteration: 40; vars: 286195; clauses: 93676; decisions: 135822
iteration: 41; vars: 293163; clauses: 100246; decisions: 150029
iteration: 42; vars: 300131; clauses: 106816; decisions: 150507
iteration: 43; vars: 307099; clauses: 113386; decisions: 151039
iteration: 44; vars: 314067; clauses: 86447; decisions: 151393
iteration: 45; vars: 321035; clauses: 93017; decisions: 151746
iteration: 46; vars: 328003; clauses: 99587; decisions: 152499
iteration: 47; vars: 334971; clauses: 106157; decisions: 152884
iteration: 48; vars: 341939; clauses: 112727; decisions: 154622
iteration: 49; vars: 348907; clauses: 119297; decisions: 161484
iteration: 50; vars: 355875; clauses: 125867; decisions: 161776
iteration: 51; vars: 362843; clauses: 132437; decisions: 162069
iteration: 52; vars: 369811; clauses: 101468; decisions: 162720
iteration: 53; vars: 376779; clauses: 108038; decisions: 163016
iteration: 54; vars: 383747; clauses: 114608; decisions: 171796
iteration: 55; vars: 390715; clauses: 121178; decisions: 172079
iteration: 56; vars: 397683; clauses: 127748; decisions: 172363
iteration: 57; vars: 404651; clauses: 134318; decisions: 172649
iteration: 58; vars: 411619; clauses: 140888; decisions: 174749
iteration: 59; vars: 418587; clauses: 147458; decisions: 178116
iteration: 60; vars: 425555; clauses: 154028; decisions: 178403
iteration: 61; vars: 432523; clauses: 117808; decisions: 178722
iteration: 62; vars: 439491; clauses: 124378; decisions: 179042
iteration: 63; vars: 446459; clauses: 130948; decisions: 184466
iteration: 64; vars: 453427; clauses: 137518; decisions: 184731
iteration: 65; vars: 460395; clauses: 144088; decisions: 184994
iteration: 66; vars: 467363; clauses: 150658; decisions: 185325
iteration: 67; vars: 474331; clauses: 157228; decisions: 191940
iteration: 68; vars: 481299; clauses: 163798; decisions: 192263
iteration: 69; vars: 488267; clauses: 170368; decisions: 192587
iteration: 70; vars: 495235; clauses: 176938; decisions: 195619
iteration: 71; vars: 502203; clauses: 183508; decisions: 195971
iteration: 72; vars: 509171; clauses: 138297; decisions: 201775
iteration: 73; vars: 516139; clauses: 144867; decisions: 202122
iteration: 74; vars: 523107; clauses: 151437; decisions: 202470
iteration: 75; vars: 530075; clauses: 158007; decisions: 202988
iteration: 76; vars: 537043; clauses: 164577; decisions: 208467
iteration: 77; vars: 544011; clauses: 171147; decisions: 208791
iteration: 78; vars: 550979; clauses: 177717; decisions: 210527
iteration: 79; vars: 557947; clauses: 184287; decisions: 210828
iteration: 80; vars: 564915; clauses: 190857; decisions: 212895
iteration: 81; vars: 571883; clauses: 197427; decisions: 213165
iteration: 82; vars: 578851; clauses: 203997; decisions: 214513
iteration: 83; vars: 585819; clauses: 210567; decisions: 214810
iteration: 84; vars: 592787; clauses: 217137; decisions: 215107
iteration: 85; vars: 599755; clauses: 162463; decisions: 219875
iteration: 86; vars: 606723; clauses: 169033; decisions: 227003
iteration: 87; vars: 613691; clauses: 175603; decisions: 227317
iteration: 88; vars: 620659; clauses: 182173; decisions: 229924
iteration: 89; vars: 627627; clauses: 188743; decisions: 230229
iteration: 90; vars: 634595; clauses: 195313; decisions: 230534
iteration: 91; vars: 641563; clauses: 201883; decisions: 232757
iteration: 92; vars: 648531; clauses: 208453; decisions: 233851
iteration: 93; vars: 655499; clauses: 215023; decisions: 234160
iteration: 94; vars: 662467; clauses: 221593; decisions: 236208
iteration: 95; vars: 669435; clauses: 228163; decisions: 236763
iteration: 96; vars: 676403; clauses: 234733; decisions: 238876
iteration: 97; vars: 683371; clauses: 241303; decisions: 239290
iteration: 98; vars: 690339; clauses: 247873; decisions: 241926
iteration: 99; vars: 697307; clauses: 254443; decisions: 242228
iteration: 100; vars: 704275; clauses: 190692; decisions: 243678
iteration: 101; vars: 711243; clauses: 197262; decisions: 243990
iteration: 102; vars: 718211; clauses: 203832; decisions: 244302
iteration: 103; vars: 725179; clauses: 210402; decisions: 250744
iteration: 104; vars: 732147; clauses: 216972; decisions: 251019
iteration: 105; vars: 739115; clauses: 223542; decisions: 252360
iteration: 106; vars: 746083; clauses: 230112; decisions: 252694
iteration: 107; vars: 753051; clauses: 236682; decisions: 253041
iteration: 108; vars: 760019; clauses: 243252; decisions: 255523
iteration: 109; vars: 766987; clauses: 249822; decisions: 255823
iteration: 110; vars: 773955; clauses: 256392; decisions: 256125
