inputs=46 keys=46 outputs=45 gates=4876
iteration: 1; vars: 9938; clauses: 7519; decisions: 1433
iteration: 2; vars: 14769; clauses: 11741; decisions: 7533
iteration: 3; vars: 19600; clauses: 9711; decisions: 7713
iteration: 4; vars: 24431; clauses: 13933; decisions: 13043
iteration: 5; vars: 29262; clauses: 11870; decisions: 13178
iteration: 6; vars: 34093; clauses: 16092; decisions: 13420
iteration: 7; vars: 38924; clauses: 14018; decisions: 15088
iteration: 8; vars: 43755; clauses: 18240; decisions: 15243
iteration: 9; vars: 48586; clauses: 14871; decisions: 17992
iteration: 10; vars: 53417; clauses: 19093; decisions: 18171
iteration: 11; vars: 58248; clauses: 17216; decisions: 18349
iteration: 12; vars: 63079; clauses: 21438; decisions: 18673
iteration: 13; vars: 67910; clauses: 25660; decisions: 18826
iteration: 14; vars: 72741; clauses: 20330; decisions: 19162
iteration: 15; vars: 77572; clauses: 24552; decisions: 19418
iteration: 16; vars: 82403; clauses: 28774; decisions: 19919
iteration: 17; vars: 87234; clauses: 22752; decisions: 20536
iteration: 18; vars: 92065; clauses: 26974; decisions: 20691
iteration: 19; vars: 96896; clauses: 31196; decisions: 20859
iteration: 20; vars: 101727; clauses: 26173; decisions: 21059
iteration: 21; vars: 106558; clauses: 30395; decisions: 21311
iteration: 22; vars: 111389; clauses: 34617; decisions: 21497
iteration: 23; vars: 116220; clauses: 38839; decisions: 21683
iteration: 24; vars: 121051; clauses: 30615; decisions: 22465
iteration: 25; vars: 125882; clauses: 34837; decisions: 22660
iteration: 26; vars: 130713; clauses: 39059; decisions: 22810
iteration: 27; vars: 135544; clauses: 43281; decisions: 23040
iteration: 28; vars: 140375; clauses: 34980; decisions: 23199
iteration: 29; vars: 145206; clauses: 39202; decisions: 23358
iteration: 30; vars: 150037; clauses: 43424; decisions: 23620
iteration: 31; vars: 154868; clauses: 47646; decisions: 24271
iteration: 32; vars: 159699; clauses: 51868; decisions: 25966
iteration: 33; vars: 164530; clauses: 40938; decisions: 26122
iteration: 34; vars: 169361; clauses: 45160; decisions: 27161
iteration: 35; vars: 174192; clauses: 49382; decisions: 27323
iteration: 36; vars: 179023; clauses: 53604; decisions: 27491
iteration: 37; vars: 183854; clauses: 57826; decisions: 29267
iteration: 38; vars: 188685; clauses: 62048; decisions: 29414
iteration: 39; vars: 193516; clauses: 47592; decisions: 29558
iteration: 40; vars: 198347; clauses: 51814; decisions: 29705
iteration: 41; vars: 203178; clauses: 56036; decisions: 30436
iteration: 42; vars: 208009; clauses: 60258; decisions: 30677
iteration: 43; vars: 212840; clauses: 64480; decisions: 30827
iteration: 44; vars: 217671; clauses: 68702; decisions: 31226
iteration: 45; vars: 222502; clauses: 72924; decisions: 31378
iteration: 46; vars: 227333; clauses: 55885; decisions: 31547
iteration: 47; vars: 232164; clauses: 60107; decisions: 31698
iteration: 48; vars: 236995; clauses: 64329; decisions: 31849
iteration: 49; vars: 241826; clauses: 68551; decisions: 32001
iteration: 50; vars: 246657; clauses: 72773; decisions: 32154
iteration: 51; vars: 251488; clauses: 76995; decisions: 32302
iteration: 52; vars: 256319; clauses: 81217; decisions: 32450
iteration: 53; vars: 261150; clauses: 85439; decisions: 32598
