inputs=256 keys=128 outputs=245 gates=19433
iteration: 1; vars: 39626; clauses: 23046; decisions: 265281
iteration: 2; vars: 58814; clauses: 27688; decisions: 286514
iteration: 3; vars: 78002; clauses: 43990; decisions: 287067
iteration: 4; vars: 97190; clauses: 37006; decisions: 287650
iteration: 5; vars: 116378; clauses: 53308; decisions: 310179
iteration: 6; vars: 135566; clauses: 45932; decisions: 310711
iteration: 7; vars: 154754; clauses: 62234; decisions: 311246
iteration: 8; vars: 173942; clauses: 54476; decisions: 345476
iteration: 9; vars: 193130; clauses: 70778; decisions: 366471
iteration: 10; vars: 212318; clauses: 87080; decisions: 367002
iteration: 11; vars: 231506; clauses: 67894; decisions: 393398
iteration: 12; vars: 250694; clauses: 84196; decisions: 393954
iteration: 13; vars: 269882; clauses: 100498; decisions: 394510
iteration: 14; vars: 289070; clauses: 81616; decisions: 395107
iteration: 15; vars: 308258; clauses: 97918; decisions: 417000
iteration: 16; vars: 327446; clauses: 114220; decisions: 417522
iteration: 17; vars: 346634; clauses: 130522; decisions: 441516
iteration: 18; vars: 365822; clauses: 99218; decisions: 442057
iteration: 19; vars: 385010; clauses: 115520; decisions: 456746
iteration: 20; vars: 404198; clauses: 131822; decisions: 457250
iteration: 21; vars: 423386; clauses: 148124; decisions: 457755
iteration: 22; vars: 442574; clauses: 117538; decisions: 458434
iteration: 23; vars: 461762; clauses: 133840; decisions: 458942
iteration: 24; vars: 480950; clauses: 150142; decisions: 461142
iteration: 25; vars: 500138; clauses: 166444; decisions: 461698
iteration: 26; vars: 519326; clauses: 182746; decisions: 475513
iteration: 27; vars: 538514; clauses: 140219; decisions: 476065
iteration: 28; vars: 557702; clauses: 156521; decisions: 476618
iteration: 29; vars: 576890; clauses: 172823; decisions: 497115
iteration: 30; vars: 596078; clauses: 189125; decisions: 507522
iteration: 31; vars: 615266; clauses: 205427; decisions: 508010
iteration: 32; vars: 634454; clauses: 221729; decisions: 508499
iteration: 33; vars: 653642; clauses: 167289; decisions: 511687
iteration: 34; vars: 672830; clauses: 183591; decisions: 519609
iteration: 35; vars: 692018; clauses: 199893; decisions: 520125
iteration: 36; vars: 711206; clauses: 216195; decisions: 520643
iteration: 37; vars: 730394; clauses: 232497; decisions: 542840
iteration: 38; vars: 749582; clauses: 248799; decisions: 543331
iteration: 39; vars: 768770; clauses: 265101; decisions: 552485
iteration: 40; vars: 787958; clauses: 199058; decisions: 553096
iteration: 41; vars: 807146; clauses: 215360; decisions: 553709
iteration: 42; vars: 826334; clauses: 231662; decisions: 592368
iteration: 43; vars: 845522; clauses: 247962; decisions: 596611
iteration: 44; vars: 864710; clauses: 264264; decisions: 631244
iteration: 45; vars: 883898; clauses: 280566; decisions: 653907
iteration: 46; vars: 903086; clauses: 296868; decisions: 654461
iteration: 47; vars: 922274; clauses: 313170; decisions: 658707
