inputs=199 keys=128 outputs=67 gates=11975
iteration: 1; vars: 24475; clauses: 15041; decisions: 63007
iteration: 2; vars: 36383; clauses: 19673; decisions: 79015
iteration: 3; vars: 48291; clauses: 24102; decisions: 79509
iteration: 4; vars: 60199; clauses: 28502; decisions: 80001
iteration: 5; vars: 72107; clauses: 42134; decisions: 123908
iteration: 6; vars: 84015; clauses: 37689; decisions: 124321
iteration: 7; vars: 95923; clauses: 51321; decisions: 124733
iteration: 8; vars: 107831; clauses: 45883; decisions: 147083
iteration: 9; vars: 119739; clauses: 59515; decisions: 147518
iteration: 10; vars: 131647; clauses: 55019; decisions: 147968
iteration: 11; vars: 143555; clauses: 68651; decisions: 151917
iteration: 12; vars: 155463; clauses: 82283; decisions: 161903
iteration: 13; vars: 167371; clauses: 68408; decisions: 162348
iteration: 14; vars: 179279; clauses: 82040; decisions: 162793
iteration: 15; vars: 191187; clauses: 95672; decisions: 166652
iteration: 16; vars: 203095; clauses: 81456; decisions: 167071
iteration: 17; vars: 215003; clauses: 95088; decisions: 167538
iteration: 18; vars: 226911; clauses: 108720; decisions: 182045
iteration: 19; vars: 238819; clauses: 122352; decisions: 182389
iteration: 20; vars: 250727; clauses: 99253; decisions: 213229
iteration: 21; vars: 262635; clauses: 112885; decisions: 237638
iteration: 22; vars: 274543; clauses: 126517; decisions: 238034
iteration: 23; vars: 286451; clauses: 140149; decisions: 238915
iteration: 24; vars: 298359; clauses: 117583; decisions: 269616
iteration: 25; vars: 310267; clauses: 131215; decisions: 270160
iteration: 26; vars: 322175; clauses: 144847; decisions: 270704
iteration: 27; vars: 334083; clauses: 158479; decisions: 283306
iteration: 28; vars: 345991; clauses: 172111; decisions: 283834
iteration: 29; vars: 357899; clauses: 140098; decisions: 291774
iteration: 30; vars: 369807; clauses: 153730; decisions: 307114
iteration: 31; vars: 381715; clauses: 167362; decisions: 307749
iteration: 32; vars: 393623; clauses: 180994; decisions: 314764
iteration: 33; vars: 405531; clauses: 194626; decisions: 315141
iteration: 34; vars: 417439; clauses: 208258; decisions: 315536
iteration: 35; vars: 429347; clauses: 167789; decisions: 322615
iteration: 36; vars: 441255; clauses: 181421; decisions: 336443
iteration: 37; vars: 453163; clauses: 195053; decisions: 336920
iteration: 38; vars: 465071; clauses: 208685; decisions: 337376
iteration: 39; vars: 476979; clauses: 222317; decisions: 337832
iteration: 40; vars: 488887; clauses: 235949; decisions: 346395
iteration: 41; vars: 500795; clauses: 249581; decisions: 347338
iteration: 42; vars: 512703; clauses: 199324; decisions: 348067
iteration: 43; vars: 524611; clauses: 212956; decisions: 348547
iteration: 44; vars: 536519; clauses: 226588; decisions: 349027
iteration: 45; vars: 548427; clauses: 240220; decisions: 354620
iteration: 46; vars: 560335; clauses: 253852; decisions: 359723
iteration: 47; vars: 572243; clauses: 267484; decisions: 360227
iteration: 48; vars: 584151; clauses: 281116; decisions: 360731
iteration: 49; vars: 596059; clauses: 294748; decisions: 368716
iteration: 50; vars: 607967; clauses: 236169; decisions: 369120
iteration: 51; vars: 619875; clauses: 249801; decisions: 405139
iteration: 52; vars: 631783; clauses: 263433; decisions: 405731
iteration: 53; vars: 643691; clauses: 277065; decisions: 406323
iteration: 54; vars: 655599; clauses: 290697; decisions: 412506
iteration: 55; vars: 667507; clauses: 304329; decisions: 417727
iteration: 56; vars: 679415; clauses: 317961; decisions: 426094
iteration: 57; vars: 691323; clauses: 331593; decisions: 426586
iteration: 58; vars: 703231; clauses: 345225; decisions: 436398
iteration: 59; vars: 715139; clauses: 358857; decisions: 436813
iteration: 60; vars: 727047; clauses: 281545; decisions: 437238
iteration: 61; vars: 738955; clauses: 295177; decisions: 478561
iteration: 62; vars: 750863; clauses: 308809; decisions: 478991
iteration: 63; vars: 762771; clauses: 322441; decisions: 492214
iteration: 64; vars: 774679; clauses: 336073; decisions: 492590
iteration: 65; vars: 786587; clauses: 349705; decisions: 497818
iteration: 66; vars: 798495; clauses: 363337; decisions: 498236
iteration: 67; vars: 810403; clauses: 376969; decisions: 498655
iteration: 68; vars: 822311; clauses: 390601; decisions: 499083
