inputs=178 keys=64 outputs=123 gates=8229
iteration: 1; vars: 16890; clauses: 9839; decisions: 55398
iteration: 2; vars: 24996; clauses: 16690; decisions: 64803
iteration: 3; vars: 33102; clauses: 13482; decisions: 69294
iteration: 4; vars: 41208; clauses: 20333; decisions: 69595
iteration: 5; vars: 49314; clauses: 16911; decisions: 69908
iteration: 6; vars: 57420; clauses: 23762; decisions: 70553
iteration: 7; vars: 65526; clauses: 20569; decisions: 74339
iteration: 8; vars: 73632; clauses: 27420; decisions: 74660
iteration: 9; vars: 81738; clauses: 23978; decisions: 74984
iteration: 10; vars: 89844; clauses: 30829; decisions: 81972
iteration: 11; vars: 97950; clauses: 37680; decisions: 82316
iteration: 12; vars: 106056; clauses: 29052; decisions: 82651
iteration: 13; vars: 114162; clauses: 35903; decisions: 83047
iteration: 14; vars: 122268; clauses: 42754; decisions: 88541
iteration: 15; vars: 130374; clauses: 34228; decisions: 88881
iteration: 16; vars: 138480; clauses: 41079; decisions: 89238
iteration: 17; vars: 146586; clauses: 47930; decisions: 94529
iteration: 18; vars: 154692; clauses: 54781; decisions: 94857
iteration: 19; vars: 162798; clauses: 41505; decisions: 95184
iteration: 20; vars: 170904; clauses: 48356; decisions: 95498
iteration: 21; vars: 179010; clauses: 55207; decisions: 102209
iteration: 22; vars: 187116; clauses: 62058; decisions: 107130
iteration: 23; vars: 195222; clauses: 47949; decisions: 107495
iteration: 24; vars: 203328; clauses: 54800; decisions: 107848
iteration: 25; vars: 211434; clauses: 61651; decisions: 123196
iteration: 26; vars: 219540; clauses: 68502; decisions: 128845
iteration: 27; vars: 227646; clauses: 75353; decisions: 129188
iteration: 28; vars: 235752; clauses: 56982; decisions: 138288
iteration: 29; vars: 243858; clauses: 63833; decisions: 138610
iteration: 30; vars: 251964; clauses: 70684; decisions: 139618
iteration: 31; vars: 260070; clauses: 77535; decisions: 139904
iteration: 32; vars: 268176; clauses: 84386; decisions: 140745
iteration: 33; vars: 276282; clauses: 91237; decisions: 141019
iteration: 34; vars: 284388; clauses: 67315; decisions: 141890
iteration: 35; vars: 292494; clauses: 74166; decisions: 142334
iteration: 36; vars: 300600; clauses: 81017; decisions: 142992
iteration: 37; vars: 308706; clauses: 87868; decisions: 143569
iteration: 38; vars: 316812; clauses: 94719; decisions: 143850
iteration: 39; vars: 324918; clauses: 101570; decisions: 144740
iteration: 40; vars: 333024; clauses: 108421; decisions: 145026
iteration: 41; vars: 341130; clauses: 79807; decisions: 145593
iteration: 42; vars: 349236; clauses: 86658; decisions: 146250
iteration: 43; vars: 357342; clauses: 93509; decisions: 146899
iteration: 44; vars: 365448; clauses: 100360; decisions: 147603
iteration: 45; vars: 373554; clauses: 107211; decisions: 148034
iteration: 46; vars: 381660; clauses: 114062; decisions: 149144
iteration: 47; vars: 389766; clauses: 120913; decisions: 149956
iteration: 48; vars: 397872; clauses: 127764; decisions: 150231
iteration: 49; vars: 405978; clauses: 94097; decisions: 151652
iteration: 50; vars: 414084; clauses: 100948; decisions: 151928
iteration: 51; vars: 422190; clauses: 107799; decisions: 152962
iteration: 52; vars: 430296; clauses: 114650; decisions: 153300
iteration: 53; vars: 438402; clauses: 121501; decisions: 153675
iteration: 54; vars: 446508; clauses: 128352; decisions: 154328
iteration: 55; vars: 454614; clauses: 135203; decisions: 155300
iteration: 56; vars: 462720; clauses: 142054; decisions: 155599
iteration: 57; vars: 470826; clauses: 148905; decisions: 155852
iteration: 58; vars: 478932; clauses: 110614; decisions: 156668
iteration: 59; vars: 487038; clauses: 117465; decisions: 157049
iteration: 60; vars: 495144; clauses: 124316; decisions: 157876
iteration: 61; vars: 503250; clauses: 131167; decisions: 158133
iteration: 62; vars: 511356; clauses: 138018; decisions: 159536
iteration: 63; vars: 519462; clauses: 144869; decisions: 159881
iteration: 64; vars: 527568; clauses: 151720; decisions: 160195
iteration: 65; vars: 535674; clauses: 158571; decisions: 160880
iteration: 66; vars: 543780; clauses: 165422; decisions: 161180
iteration: 67; vars: 551886; clauses: 172273; decisions: 162759
iteration: 68; vars: 559992; clauses: 127934; decisions: 163467
iteration: 69; vars: 568098; clauses: 134785; decisions: 163736
iteration: 70; vars: 576204; clauses: 141636; decisions: 164392
iteration: 71; vars: 584310; clauses: 148487; decisions: 164729
iteration: 72; vars: 592416; clauses: 155338; decisions: 165434
iteration: 73; vars: 600522; clauses: 162189; decisions: 165718
iteration: 74; vars: 608628; clauses: 169040; decisions: 166819
iteration: 75; vars: 616734; clauses: 175891; decisions: 167320
iteration: 76; vars: 624840; clauses: 182742; decisions: 167892
iteration: 77; vars: 632946; clauses: 189593; decisions: 168182
iteration: 78; vars: 641052; clauses: 196444; decisions: 168953
iteration: 79; vars: 649158; clauses: 203295; decisions: 170062
