inputs=10 keys=10 outputs=10 gates=5241
iteration: 1; vars: 10525; clauses: 4930; decisions: 49
iteration: 2; vars: 15756; clauses: 5330; decisions: 113
iteration: 3; vars: 20987; clauses: 5730; decisions: 160
iteration: 4; vars: 26218; clauses: 6130; decisions: 183
iteration: 5; vars: 31449; clauses: 6530; decisions: 245
iteration: 6; vars: 36680; clauses: 6930; decisions: 292
iteration: 7; vars: 41911; clauses: 7330; decisions: 323
iteration: 8; vars: 47142; clauses: 7730; decisions: 351
iteration: 9; vars: 52373; clauses: 8130; decisions: 377
iteration: 10; vars: 57604; clauses: 5008; decisions: 402
iteration: 11; vars: 62835; clauses: 5408; decisions: 423
iteration: 12; vars: 68066; clauses: 5808; decisions: 448
iteration: 13; vars: 73297; clauses: 6208; decisions: 470
iteration: 14; vars: 78528; clauses: 6608; decisions: 494
iteration: 15; vars: 83759; clauses: 7008; decisions: 519
iteration: 16; vars: 88990; clauses: 7408; decisions: 543
iteration: 17; vars: 94221; clauses: 7808; decisions: 567
iteration: 18; vars: 99452; clauses: 8208; decisions: 590
iteration: 19; vars: 104683; clauses: 5129; decisions: 617
iteration: 20; vars: 109914; clauses: 5529; decisions: 646
iteration: 21; vars: 115145; clauses: 5929; decisions: 671
iteration: 22; vars: 120376; clauses: 6329; decisions: 697
iteration: 23; vars: 125607; clauses: 6729; decisions: 722
iteration: 24; vars: 130838; clauses: 7129; decisions: 747
iteration: 25; vars: 136069; clauses: 7529; decisions: 772
iteration: 26; vars: 141300; clauses: 7929; decisions: 797
iteration: 27; vars: 146531; clauses: 8329; decisions: 836
iteration: 28; vars: 151762; clauses: 5215; decisions: 861
iteration: 29; vars: 156993; clauses: 5615; decisions: 887
iteration: 30; vars: 162224; clauses: 6015; decisions: 912
iteration: 31; vars: 167455; clauses: 6415; decisions: 938
iteration: 32; vars: 172686; clauses: 6815; decisions: 961
iteration: 33; vars: 177917; clauses: 7215; decisions: 985
iteration: 34; vars: 183148; clauses: 7615; decisions: 1008
iteration: 35; vars: 188379; clauses: 8015; decisions: 1032
iteration: 36; vars: 193610; clauses: 8415; decisions: 1055
iteration: 37; vars: 198841; clauses: 5264; decisions: 1092
iteration: 38; vars: 204072; clauses: 5664; decisions: 1115
iteration: 39; vars: 209303; clauses: 6064; decisions: 1141
iteration: 40; vars: 214534; clauses: 6464; decisions: 1167
iteration: 41; vars: 219765; clauses: 6864; decisions: 1189
iteration: 42; vars: 224996; clauses: 7264; decisions: 1210
iteration: 43; vars: 230227; clauses: 7664; decisions: 1240
iteration: 44; vars: 235458; clauses: 8064; decisions: 1282
iteration: 45; vars: 240689; clauses: 8464; decisions: 1329
iteration: 46; vars: 245920; clauses: 5347; decisions: 1353
iteration: 47; vars: 251151; clauses: 5747; decisions: 1379
iteration: 48; vars: 256382; clauses: 6147; decisions: 1403
iteration: 49; vars: 261613; clauses: 6547; decisions: 1427
iteration: 50; vars: 266844; clauses: 6947; decisions: 1451
iteration: 51; vars: 272075; clauses: 7347; decisions: 1472
iteration: 52; vars: 277306; clauses: 7747; decisions: 1495
iteration: 53; vars: 282537; clauses: 8147; decisions: 1525
iteration: 54; vars: 287768; clauses: 8547; decisions: 1551
iteration: 55; vars: 292999; clauses: 5437; decisions: 1595
iteration: 56; vars: 298230; clauses: 5837; decisions: 1621
iteration: 57; vars: 303461; clauses: 6237; decisions: 1645
iteration: 58; vars: 308692; clauses: 6637; decisions: 1668
iteration: 59; vars: 313923; clauses: 7037; decisions: 1690
iteration: 60; vars: 319154; clauses: 7437; decisions: 1714
iteration: 61; vars: 324385; clauses: 7837; decisions: 1735
iteration: 62; vars: 329616; clauses: 8237; decisions: 1771
iteration: 63; vars: 334847; clauses: 8637; decisions: 1795
iteration: 64; vars: 340078; clauses: 5499; decisions: 1818
iteration: 65; vars: 345309; clauses: 5899; decisions: 1842
iteration: 66; vars: 350540; clauses: 6299; decisions: 1865
iteration: 67; vars: 355771; clauses: 6699; decisions: 1896
iteration: 68; vars: 361002; clauses: 7099; decisions: 1918
iteration: 69; vars: 366233; clauses: 7499; decisions: 1940
iteration: 70; vars: 371464; clauses: 7899; decisions: 1969
iteration: 71; vars: 376695; clauses: 8299; decisions: 1991
iteration: 72; vars: 381926; clauses: 8699; decisions: 2016
iteration: 73; vars: 387157; clauses: 5558; decisions: 2046
iteration: 74; vars: 392388; clauses: 5958; decisions: 2069
iteration: 75; vars: 397619; clauses: 6358; decisions: 2094
iteration: 76; vars: 402850; clauses: 6758; decisions: 2117
iteration: 77; vars: 408081; clauses: 7158; decisions: 2142
iteration: 78; vars: 413312; clauses: 7558; decisions: 2165
iteration: 79; vars: 418543; clauses: 7958; decisions: 2189
iteration: 80; vars: 423774; clauses: 8358; decisions: 2214
iteration: 81; vars: 429005; clauses: 8758; decisions: 2238
iteration: 82; vars: 434236; clauses: 5641; decisions: 2263
iteration: 83; vars: 439467; clauses: 6041; decisions: 2286
iteration: 84; vars: 444698; clauses: 6441; decisions: 2308
iteration: 85; vars: 449929; clauses: 6841; decisions: 2333
