inputs=36 keys=36 outputs=7 gates=2233
iteration: 1; vars: 4584; clauses: 3252; decisions: 362
iteration: 2; vars: 6810; clauses: 3712; decisions: 2142
iteration: 3; vars: 9036; clauses: 4449; decisions: 2327
iteration: 4; vars: 11262; clauses: 5165; decisions: 2982
iteration: 5; vars: 13488; clauses: 5683; decisions: 3673
iteration: 6; vars: 15714; clauses: 8352; decisions: 3766
iteration: 7; vars: 17940; clauses: 7178; decisions: 3871
iteration: 8; vars: 20166; clauses: 9847; decisions: 4303
iteration: 9; vars: 22392; clauses: 8422; decisions: 4804
iteration: 10; vars: 24618; clauses: 11091; decisions: 4899
iteration: 11; vars: 26844; clauses: 8815; decisions: 5006
iteration: 12; vars: 29070; clauses: 11484; decisions: 5222
iteration: 13; vars: 31296; clauses: 10066; decisions: 5346
iteration: 14; vars: 33522; clauses: 12735; decisions: 6042
iteration: 15; vars: 35748; clauses: 11305; decisions: 6123
iteration: 16; vars: 37974; clauses: 13974; decisions: 6204
iteration: 17; vars: 40200; clauses: 16643; decisions: 6300
iteration: 18; vars: 42426; clauses: 12529; decisions: 6397
iteration: 19; vars: 44652; clauses: 15198; decisions: 6496
iteration: 20; vars: 46878; clauses: 17867; decisions: 6675
iteration: 21; vars: 49104; clauses: 14710; decisions: 7839
iteration: 22; vars: 51330; clauses: 17379; decisions: 7933
iteration: 23; vars: 53556; clauses: 20048; decisions: 8029
iteration: 24; vars: 55782; clauses: 16484; decisions: 8129
iteration: 25; vars: 58008; clauses: 19153; decisions: 8545
iteration: 26; vars: 60234; clauses: 21822; decisions: 8650
iteration: 27; vars: 62460; clauses: 17976; decisions: 8758
iteration: 28; vars: 64686; clauses: 20645; decisions: 8866
iteration: 29; vars: 66912; clauses: 23314; decisions: 9035
iteration: 30; vars: 69138; clauses: 25983; decisions: 9104
iteration: 31; vars: 71364; clauses: 20459; decisions: 9177
iteration: 32; vars: 73590; clauses: 23128; decisions: 9248
iteration: 33; vars: 75816; clauses: 25797; decisions: 9320
iteration: 34; vars: 78042; clauses: 28466; decisions: 9927
iteration: 35; vars: 80268; clauses: 22653; decisions: 10021
iteration: 36; vars: 82494; clauses: 25322; decisions: 10252
