inputs=75 keys=64 outputs=16 gates=6602
iteration: 1; vars: 13426; clauses: 7465; decisions: 14839
iteration: 2; vars: 20012; clauses: 9302; decisions: 15049
iteration: 3; vars: 26598; clauses: 10918; decisions: 27732
iteration: 4; vars: 33184; clauses: 16462; decisions: 27890
iteration: 5; vars: 39770; clauses: 14120; decisions: 28085
iteration: 6; vars: 46356; clauses: 19664; decisions: 28293
iteration: 7; vars: 52942; clauses: 17657; decisions: 35347
iteration: 8; vars: 59528; clauses: 23201; decisions: 35498
iteration: 9; vars: 66114; clauses: 20803; decisions: 35659
iteration: 10; vars: 72700; clauses: 26347; decisions: 35821
iteration: 11; vars: 79286; clauses: 22519; decisions: 39370
iteration: 12; vars: 85872; clauses: 28063; decisions: 39603
iteration: 13; vars: 92458; clauses: 25990; decisions: 39838
iteration: 14; vars: 99044; clauses: 31534; decisions: 44848
iteration: 15; vars: 105630; clauses: 37078; decisions: 45059
iteration: 16; vars: 112216; clauses: 31194; decisions: 45277
iteration: 17; vars: 118802; clauses: 36738; decisions: 47701
iteration: 18; vars: 125388; clauses: 42282; decisions: 47926
iteration: 19; vars: 131974; clauses: 36340; decisions: 48155
iteration: 20; vars: 138560; clauses: 41884; decisions: 50953
iteration: 21; vars: 145146; clauses: 47428; decisions: 51157
iteration: 22; vars: 151732; clauses: 52972; decisions: 51364
iteration: 23; vars: 158318; clauses: 43576; decisions: 51574
iteration: 24; vars: 164904; clauses: 49120; decisions: 52897
iteration: 25; vars: 171490; clauses: 54664; decisions: 53093
iteration: 26; vars: 178076; clauses: 60208; decisions: 54741
iteration: 27; vars: 184662; clauses: 49935; decisions: 54881
iteration: 28; vars: 191248; clauses: 55479; decisions: 55021
iteration: 29; vars: 197834; clauses: 61023; decisions: 57547
iteration: 30; vars: 204420; clauses: 66567; decisions: 57714
iteration: 31; vars: 211006; clauses: 72111; decisions: 57882
iteration: 32; vars: 217592; clauses: 53378; decisions: 58055
iteration: 33; vars: 224178; clauses: 58922; decisions: 58229
iteration: 34; vars: 230764; clauses: 64466; decisions: 59682
iteration: 35; vars: 237350; clauses: 70010; decisions: 59824
iteration: 36; vars: 243936; clauses: 75554; decisions: 61306
iteration: 37; vars: 250522; clauses: 62174; decisions: 61499
iteration: 38; vars: 257108; clauses: 67718; decisions: 61696
iteration: 39; vars: 263694; clauses: 73262; decisions: 64681
iteration: 40; vars: 270280; clauses: 78806; decisions: 64849
iteration: 41; vars: 276866; clauses: 84350; decisions: 65304
iteration: 42; vars: 283452; clauses: 89894; decisions: 67941
iteration: 43; vars: 290038; clauses: 72883; decisions: 68094
iteration: 44; vars: 296624; clauses: 78427; decisions: 68245
iteration: 45; vars: 303210; clauses: 83971; decisions: 68398
iteration: 46; vars: 309796; clauses: 89515; decisions: 68555
iteration: 47; vars: 316382; clauses: 95059; decisions: 71054
iteration: 48; vars: 322968; clauses: 100603; decisions: 71193
iteration: 49; vars: 329554; clauses: 106147; decisions: 71333
iteration: 50; vars: 336140; clauses: 85537; decisions: 71475
iteration: 51; vars: 342726; clauses: 91081; decisions: 71617
iteration: 52; vars: 349312; clauses: 96625; decisions: 72715
iteration: 53; vars: 355898; clauses: 102169; decisions: 72869
iteration: 54; vars: 362484; clauses: 107713; decisions: 73024
iteration: 55; vars: 369070; clauses: 113257; decisions: 75041
iteration: 56; vars: 375656; clauses: 118801; decisions: 75233
iteration: 57; vars: 382242; clauses: 124345; decisions: 75425
iteration: 58; vars: 388828; clauses: 100284; decisions: 75603
iteration: 59; vars: 395414; clauses: 105828; decisions: 75782
iteration: 60; vars: 402000; clauses: 111372; decisions: 81520
iteration: 61; vars: 408586; clauses: 116916; decisions: 81769
iteration: 62; vars: 415172; clauses: 122460; decisions: 82020
iteration: 63; vars: 421758; clauses: 128004; decisions: 83034
ERROR: INVALID (incorrect) key provided for verification.
key=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
iteration=63; backbones_count=0; cube_count=2009778; cpu_time=14.1954; maxrss=78.1406
