inputs=233 keys=128 outputs=140 gates=11380
iteration: 1; vars: 23392; clauses: 14392; decisions: 63484
iteration: 2; vars: 34708; clauses: 19025; decisions: 129364
iteration: 3; vars: 46024; clauses: 23215; decisions: 178640
iteration: 4; vars: 57340; clauses: 27502; decisions: 209054
iteration: 5; vars: 68656; clauses: 40204; decisions: 209549
iteration: 6; vars: 79972; clauses: 36646; decisions: 228091
iteration: 7; vars: 91288; clauses: 49348; decisions: 228564
iteration: 8; vars: 102604; clauses: 44919; decisions: 284197
iteration: 9; vars: 113920; clauses: 57621; decisions: 365532
iteration: 10; vars: 125236; clauses: 53622; decisions: 442422
iteration: 11; vars: 136552; clauses: 48912; decisions: 884818
iteration: 12; vars: 147868; clauses: 51222; decisions: 1659891
iteration: 13; vars: 159184; clauses: 54756; decisions: 2125560
iteration: 14; vars: 170500; clauses: 58153; decisions: 2394320
iteration: 15; vars: 181816; clauses: 59965; decisions: 2753769
iteration: 16; vars: 193132; clauses: 72667; decisions: 2785387
iteration: 17; vars: 204448; clauses: 85369; decisions: 2864138
iteration: 18; vars: 215764; clauses: 74029; decisions: 2864579
iteration: 19; vars: 227080; clauses: 86731; decisions: 2885929
iteration: 20; vars: 238396; clauses: 99433; decisions: 2949662
iteration: 21; vars: 249712; clauses: 87059; decisions: 3087562
iteration: 22; vars: 261028; clauses: 99761; decisions: 3101882
iteration: 23; vars: 272344; clauses: 112463; decisions: 3342428
iteration: 24; vars: 283660; clauses: 125165; decisions: 3436393
iteration: 25; vars: 294976; clauses: 104040; decisions: 3548926
iteration: 26; vars: 306292; clauses: 94172; decisions: 4716557
iteration: 27; vars: 317608; clauses: 73451; decisions: 5830204
iteration: 28; vars: 328924; clauses: 67911; decisions: 7062458
