inputs=133 keys=128 outputs=81 gates=12842
iteration: 1; vars: 26157; clauses: 16275; decisions: 53033
iteration: 2; vars: 38918; clauses: 20994; decisions: 119120
iteration: 3; vars: 51679; clauses: 25666; decisions: 182334
iteration: 4; vars: 64440; clauses: 26621; decisions: 299530
iteration: 5; vars: 77201; clauses: 40532; decisions: 396610
iteration: 6; vars: 89962; clauses: 35839; decisions: 497514
iteration: 7; vars: 102723; clauses: 36076; decisions: 855367
iteration: 8; vars: 115484; clauses: 49987; decisions: 975269
iteration: 9; vars: 128245; clauses: 45523; decisions: 975777
iteration: 10; vars: 141006; clauses: 59434; decisions: 1101263
iteration: 11; vars: 153767; clauses: 54693; decisions: 1141157
iteration: 12; vars: 166528; clauses: 68604; decisions: 1178312
iteration: 13; vars: 179289; clauses: 82515; decisions: 1290337
iteration: 14; vars: 192050; clauses: 66670; decisions: 1327127
iteration: 15; vars: 204811; clauses: 63457; decisions: 2018139
iteration: 16; vars: 217572; clauses: 66998; decisions: 2505846
iteration: 17; vars: 230333; clauses: 80909; decisions: 2615519
iteration: 18; vars: 243094; clauses: 94820; decisions: 2615833
iteration: 19; vars: 255855; clauses: 78146; decisions: 2808315
iteration: 20; vars: 268616; clauses: 92057; decisions: 3112018
iteration: 21; vars: 281377; clauses: 82794; decisions: 3470402
iteration: 22; vars: 294138; clauses: 85992; decisions: 4772587
iteration: 23; vars: 306899; clauses: 99903; decisions: 4910891
iteration: 24; vars: 319660; clauses: 113814; decisions: 4945512
iteration: 25; vars: 332421; clauses: 127725; decisions: 5086065
iteration: 26; vars: 345182; clauses: 104125; decisions: 5398524
iteration: 27; vars: 357943; clauses: 118036; decisions: 5448405
iteration: 28; vars: 370704; clauses: 131947; decisions: 5547618
iteration: 29; vars: 383465; clauses: 145858; decisions: 5835845
iteration: 30; vars: 396226; clauses: 122278; decisions: 6166258
iteration: 31; vars: 408987; clauses: 136189; decisions: 6623574
iteration: 32; vars: 421748; clauses: 150100; decisions: 6701896
iteration: 33; vars: 434509; clauses: 164011; decisions: 6922098
iteration: 34; vars: 447270; clauses: 129209; decisions: 9000057
