inputs=199 keys=64 outputs=67 gates=6257
iteration: 1; vars: 12911; clauses: 8690; decisions: 25622
iteration: 2; vars: 19101; clauses: 10361; decisions: 33335
iteration: 3; vars: 25291; clauses: 16721; decisions: 34001
iteration: 4; vars: 31481; clauses: 13845; decisions: 34338
iteration: 5; vars: 37671; clauses: 20205; decisions: 34676
iteration: 6; vars: 43861; clauses: 17387; decisions: 41541
iteration: 7; vars: 50051; clauses: 23747; decisions: 41993
iteration: 8; vars: 56241; clauses: 20886; decisions: 42395
iteration: 9; vars: 62431; clauses: 27246; decisions: 49732
iteration: 10; vars: 68621; clauses: 24552; decisions: 50072
iteration: 11; vars: 74811; clauses: 30912; decisions: 51762
iteration: 12; vars: 81001; clauses: 37272; decisions: 52110
iteration: 13; vars: 87191; clauses: 29582; decisions: 52573
iteration: 14; vars: 93381; clauses: 35942; decisions: 52920
iteration: 15; vars: 99571; clauses: 42302; decisions: 66144
iteration: 16; vars: 105761; clauses: 35064; decisions: 66470
iteration: 17; vars: 111951; clauses: 41424; decisions: 66802
iteration: 18; vars: 118141; clauses: 47784; decisions: 78114
iteration: 19; vars: 124331; clauses: 54144; decisions: 78497
iteration: 20; vars: 130521; clauses: 42242; decisions: 82542
iteration: 21; vars: 136711; clauses: 48602; decisions: 84615
iteration: 22; vars: 142901; clauses: 54962; decisions: 84939
iteration: 23; vars: 149091; clauses: 61322; decisions: 88374
iteration: 24; vars: 155281; clauses: 49018; decisions: 89087
iteration: 25; vars: 161471; clauses: 55378; decisions: 93638
iteration: 26; vars: 167661; clauses: 61738; decisions: 98666
iteration: 27; vars: 173851; clauses: 68098; decisions: 99349
iteration: 28; vars: 180041; clauses: 74458; decisions: 101780
iteration: 29; vars: 186231; clauses: 58050; decisions: 103742
iteration: 30; vars: 192421; clauses: 64410; decisions: 104110
iteration: 31; vars: 198611; clauses: 70770; decisions: 109421
iteration: 32; vars: 204801; clauses: 77130; decisions: 109768
iteration: 33; vars: 210991; clauses: 83490; decisions: 110114
iteration: 34; vars: 217181; clauses: 89850; decisions: 110462
iteration: 35; vars: 223371; clauses: 69281; decisions: 117048
iteration: 36; vars: 229561; clauses: 75641; decisions: 119248
iteration: 37; vars: 235751; clauses: 82001; decisions: 119595
iteration: 38; vars: 241941; clauses: 88361; decisions: 125034
iteration: 39; vars: 248131; clauses: 94721; decisions: 125368
iteration: 40; vars: 254321; clauses: 101081; decisions: 129135
iteration: 41; vars: 260511; clauses: 107441; decisions: 132150
iteration: 42; vars: 266701; clauses: 81716; decisions: 132537
iteration: 43; vars: 272891; clauses: 88076; decisions: 132925
iteration: 44; vars: 279081; clauses: 94435; decisions: 144408
iteration: 45; vars: 285271; clauses: 100795; decisions: 144777
iteration: 46; vars: 291461; clauses: 107155; decisions: 145149
iteration: 47; vars: 297651; clauses: 113515; decisions: 149568
iteration: 48; vars: 303841; clauses: 119875; decisions: 152222
iteration: 49; vars: 310031; clauses: 126235; decisions: 152593
iteration: 50; vars: 316221; clauses: 96773; decisions: 152965
iteration: 51; vars: 322411; clauses: 103133; decisions: 167425
iteration: 52; vars: 328601; clauses: 109493; decisions: 167785
iteration: 53; vars: 334791; clauses: 115853; decisions: 168231
iteration: 54; vars: 340981; clauses: 122213; decisions: 174012
iteration: 55; vars: 347171; clauses: 128573; decisions: 174513
iteration: 56; vars: 353361; clauses: 134933; decisions: 174862
iteration: 57; vars: 359551; clauses: 141293; decisions: 175212
iteration: 58; vars: 365741; clauses: 147653; decisions: 187127
iteration: 59; vars: 371931; clauses: 113285; decisions: 187489
iteration: 60; vars: 378121; clauses: 119645; decisions: 190910
iteration: 61; vars: 384311; clauses: 126005; decisions: 191294
iteration: 62; vars: 390501; clauses: 132365; decisions: 195122
iteration: 63; vars: 396691; clauses: 138725; decisions: 195465
iteration: 64; vars: 402881; clauses: 145085; decisions: 217552
iteration: 65; vars: 409071; clauses: 151445; decisions: 220326
iteration: 66; vars: 415261; clauses: 157805; decisions: 220734
iteration: 67; vars: 421451; clauses: 164165; decisions: 221421
iteration: 68; vars: 427641; clauses: 170525; decisions: 225378
iteration: 69; vars: 433831; clauses: 176885; decisions: 225762
iteration: 70; vars: 440021; clauses: 133813; decisions: 226207
iteration: 71; vars: 446211; clauses: 140173; decisions: 226601
iteration: 72; vars: 452401; clauses: 146533; decisions: 230452
iteration: 73; vars: 458591; clauses: 152893; decisions: 230886
iteration: 74; vars: 464781; clauses: 159253; decisions: 239958
iteration: 75; vars: 470971; clauses: 165613; decisions: 240335
iteration: 76; vars: 477161; clauses: 171973; decisions: 240713
iteration: 77; vars: 483351; clauses: 178333; decisions: 241095
iteration: 78; vars: 489541; clauses: 184693; decisions: 241477
