inputs=75 keys=64 outputs=16 gates=6661
iteration: 1; vars: 13544; clauses: 8537; decisions: 9506
iteration: 2; vars: 20189; clauses: 9902; decisions: 18226
iteration: 3; vars: 26834; clauses: 11444; decisions: 25761
iteration: 4; vars: 33479; clauses: 17039; decisions: 25978
iteration: 5; vars: 40124; clauses: 14916; decisions: 29259
iteration: 6; vars: 46769; clauses: 20511; decisions: 30724
iteration: 7; vars: 53414; clauses: 18482; decisions: 30943
iteration: 8; vars: 60059; clauses: 24077; decisions: 32945
iteration: 9; vars: 66704; clauses: 22152; decisions: 33174
iteration: 10; vars: 73349; clauses: 27747; decisions: 33743
iteration: 11; vars: 79994; clauses: 25264; decisions: 34804
iteration: 12; vars: 86639; clauses: 30859; decisions: 41818
iteration: 13; vars: 93284; clauses: 36454; decisions: 47664
iteration: 14; vars: 99929; clauses: 30845; decisions: 50377
iteration: 15; vars: 106574; clauses: 36440; decisions: 54186
iteration: 16; vars: 113219; clauses: 42035; decisions: 55059
iteration: 17; vars: 119864; clauses: 36105; decisions: 55250
iteration: 18; vars: 126509; clauses: 41700; decisions: 55852
iteration: 19; vars: 133154; clauses: 47295; decisions: 56181
iteration: 20; vars: 139799; clauses: 52890; decisions: 60600
iteration: 21; vars: 146444; clauses: 42921; decisions: 60885
iteration: 22; vars: 153089; clauses: 48516; decisions: 78368
iteration: 23; vars: 159734; clauses: 54111; decisions: 80931
iteration: 24; vars: 166379; clauses: 59706; decisions: 83888
iteration: 25; vars: 173024; clauses: 50108; decisions: 90053
iteration: 26; vars: 179669; clauses: 55703; decisions: 90251
iteration: 27; vars: 186314; clauses: 61298; decisions: 94245
iteration: 28; vars: 192959; clauses: 66893; decisions: 94476
iteration: 29; vars: 199604; clauses: 72488; decisions: 95203
iteration: 30; vars: 206249; clauses: 59409; decisions: 95434
iteration: 31; vars: 212894; clauses: 65004; decisions: 96910
iteration: 32; vars: 219539; clauses: 70599; decisions: 97135
iteration: 33; vars: 226184; clauses: 76194; decisions: 100548
iteration: 34; vars: 232829; clauses: 81789; decisions: 100800
iteration: 35; vars: 239474; clauses: 87384; decisions: 105802
iteration: 36; vars: 246119; clauses: 69876; decisions: 110426
iteration: 37; vars: 252764; clauses: 75471; decisions: 111388
iteration: 38; vars: 259409; clauses: 81066; decisions: 111581
iteration: 39; vars: 266054; clauses: 86661; decisions: 111777
iteration: 40; vars: 272699; clauses: 92256; decisions: 112355
iteration: 41; vars: 279344; clauses: 97851; decisions: 112618
iteration: 42; vars: 285989; clauses: 103446; decisions: 116228
iteration: 43; vars: 292634; clauses: 83016; decisions: 116433
iteration: 44; vars: 299279; clauses: 88611; decisions: 119551
iteration: 45; vars: 305924; clauses: 94206; decisions: 122905
iteration: 46; vars: 312569; clauses: 99801; decisions: 124578
iteration: 47; vars: 319214; clauses: 105396; decisions: 124789
iteration: 48; vars: 325859; clauses: 110991; decisions: 126547
iteration: 49; vars: 332504; clauses: 116586; decisions: 126767
iteration: 50; vars: 339149; clauses: 122181; decisions: 129442
iteration: 51; vars: 345794; clauses: 97591; decisions: 133576
iteration: 52; vars: 352439; clauses: 103186; decisions: 133833
iteration: 53; vars: 359084; clauses: 108781; decisions: 137097
iteration: 54; vars: 365729; clauses: 114376; decisions: 137796
iteration: 55; vars: 372374; clauses: 119971; decisions: 138146
iteration: 56; vars: 379019; clauses: 125566; decisions: 139057
iteration: 57; vars: 385664; clauses: 131161; decisions: 141773
iteration: 58; vars: 392309; clauses: 136756; decisions: 143693
iteration: 59; vars: 398954; clauses: 142351; decisions: 150488
iteration: 60; vars: 405599; clauses: 114236; decisions: 156379
iteration: 61; vars: 412244; clauses: 119831; decisions: 160550
iteration: 62; vars: 418889; clauses: 125426; decisions: 161116
iteration: 63; vars: 425534; clauses: 131021; decisions: 161923
iteration: 64; vars: 432179; clauses: 136616; decisions: 162252
iteration: 65; vars: 438824; clauses: 142211; decisions: 164260
iteration: 66; vars: 445469; clauses: 147806; decisions: 164680
iteration: 67; vars: 452114; clauses: 153401; decisions: 165274
iteration: 68; vars: 458759; clauses: 158996; decisions: 165472
iteration: 69; vars: 465404; clauses: 164591; decisions: 165712
iteration: 70; vars: 472049; clauses: 170186; decisions: 166025
iteration: 71; vars: 478694; clauses: 134594; decisions: 171174
iteration: 72; vars: 485339; clauses: 140189; decisions: 173648
iteration: 73; vars: 491984; clauses: 145784; decisions: 174606
iteration: 74; vars: 498629; clauses: 151379; decisions: 179374
iteration: 75; vars: 505274; clauses: 156974; decisions: 183762
iteration: 76; vars: 511919; clauses: 162569; decisions: 187142
iteration: 77; vars: 518564; clauses: 168164; decisions: 188592
iteration: 78; vars: 525209; clauses: 173759; decisions: 189299
iteration: 79; vars: 531854; clauses: 179354; decisions: 193532
iteration: 80; vars: 538499; clauses: 184949; decisions: 193750
iteration: 81; vars: 545144; clauses: 190544; decisions: 196104
iteration: 82; vars: 551789; clauses: 196139; decisions: 196391
iteration: 83; vars: 558434; clauses: 157250; decisions: 199633
iteration: 84; vars: 565079; clauses: 162845; decisions: 204834
iteration: 85; vars: 571724; clauses: 168440; decisions: 205172
iteration: 86; vars: 578369; clauses: 174035; decisions: 209339
iteration: 87; vars: 585014; clauses: 179630; decisions: 211255
iteration: 88; vars: 591659; clauses: 185225; decisions: 211581
iteration: 89; vars: 598304; clauses: 190820; decisions: 216331
iteration: 90; vars: 604949; clauses: 196415; decisions: 216584
iteration: 91; vars: 611594; clauses: 202010; decisions: 220138
iteration: 92; vars: 618239; clauses: 207605; decisions: 224305
iteration: 93; vars: 624884; clauses: 213200; decisions: 226972
iteration: 94; vars: 631529; clauses: 218795; decisions: 229999
iteration: 95; vars: 638174; clauses: 224390; decisions: 234262
iteration: 96; vars: 644819; clauses: 229985; decisions: 234471
iteration: 97; vars: 651464; clauses: 183077; decisions: 240453
iteration: 98; vars: 658109; clauses: 188672; decisions: 240885
iteration: 99; vars: 664754; clauses: 194267; decisions: 241247
iteration: 100; vars: 671399; clauses: 199862; decisions: 243088
iteration: 101; vars: 678044; clauses: 205457; decisions: 246168
iteration: 102; vars: 684689; clauses: 211052; decisions: 246395
iteration: 103; vars: 691334; clauses: 216647; decisions: 250654
iteration: 104; vars: 697979; clauses: 222242; decisions: 251522
iteration: 105; vars: 704624; clauses: 227837; decisions: 252562
iteration: 106; vars: 711269; clauses: 233432; decisions: 255560
iteration: 107; vars: 717914; clauses: 239027; decisions: 256383
iteration: 108; vars: 724559; clauses: 244622; decisions: 257479
iteration: 109; vars: 731204; clauses: 250217; decisions: 260481
