inputs=256 keys=64 outputs=245 gates=13652
iteration: 1; vars: 27936; clauses: 16888; decisions: 150278
iteration: 2; vars: 41343; clauses: 25918; decisions: 159184
iteration: 3; vars: 54750; clauses: 20628; decisions: 167677
iteration: 4; vars: 68157; clauses: 29658; decisions: 175433
iteration: 5; vars: 81564; clauses: 24178; decisions: 176391
iteration: 6; vars: 94971; clauses: 33208; decisions: 176798
iteration: 7; vars: 108378; clauses: 42238; decisions: 179184
iteration: 8; vars: 121785; clauses: 29887; decisions: 179606
iteration: 9; vars: 135192; clauses: 38917; decisions: 181104
iteration: 10; vars: 148599; clauses: 47947; decisions: 181690
iteration: 11; vars: 162006; clauses: 35281; decisions: 182259
iteration: 12; vars: 175413; clauses: 44311; decisions: 182686
iteration: 13; vars: 188820; clauses: 53341; decisions: 188662
iteration: 14; vars: 202227; clauses: 62371; decisions: 189094
iteration: 15; vars: 215634; clauses: 42212; decisions: 189520
iteration: 16; vars: 229041; clauses: 51242; decisions: 204689
iteration: 17; vars: 242448; clauses: 60272; decisions: 205175
iteration: 18; vars: 255855; clauses: 69302; decisions: 205587
iteration: 19; vars: 269262; clauses: 49510; decisions: 209963
iteration: 20; vars: 282669; clauses: 58540; decisions: 210382
iteration: 21; vars: 296076; clauses: 67570; decisions: 213309
iteration: 22; vars: 309483; clauses: 76600; decisions: 213730
iteration: 23; vars: 322890; clauses: 85630; decisions: 217418
iteration: 24; vars: 336297; clauses: 58813; decisions: 217915
iteration: 25; vars: 349704; clauses: 67843; decisions: 218412
iteration: 26; vars: 363111; clauses: 76873; decisions: 218911
iteration: 27; vars: 376518; clauses: 85903; decisions: 219589
iteration: 28; vars: 389925; clauses: 94933; decisions: 219981
iteration: 29; vars: 403332; clauses: 103963; decisions: 221686
iteration: 30; vars: 416739; clauses: 69309; decisions: 222096
iteration: 31; vars: 430146; clauses: 78339; decisions: 222560
iteration: 32; vars: 443553; clauses: 87369; decisions: 304812
iteration: 33; vars: 456960; clauses: 96399; decisions: 306972
iteration: 34; vars: 470367; clauses: 105429; decisions: 307400
iteration: 35; vars: 483774; clauses: 114459; decisions: 307827
iteration: 36; vars: 497181; clauses: 123489; decisions: 308299
iteration: 37; vars: 510588; clauses: 82420; decisions: 308747
iteration: 38; vars: 523995; clauses: 91450; decisions: 309194
iteration: 39; vars: 537402; clauses: 100480; decisions: 310144
iteration: 40; vars: 550809; clauses: 109510; decisions: 310801
iteration: 41; vars: 564216; clauses: 118540; decisions: 311901
iteration: 42; vars: 577623; clauses: 127570; decisions: 312456
iteration: 43; vars: 591030; clauses: 136600; decisions: 313011
iteration: 44; vars: 604437; clauses: 145630; decisions: 316474
iteration: 45; vars: 617844; clauses: 97077; decisions: 316912
iteration: 46; vars: 631251; clauses: 106107; decisions: 317353
iteration: 47; vars: 644658; clauses: 115137; decisions: 319610
iteration: 48; vars: 658065; clauses: 124167; decisions: 320068
iteration: 49; vars: 671472; clauses: 133197; decisions: 320527
iteration: 50; vars: 684879; clauses: 142227; decisions: 323699
iteration: 51; vars: 698286; clauses: 151257; decisions: 324154
iteration: 52; vars: 711693; clauses: 160287; decisions: 324613
iteration: 53; vars: 725100; clauses: 169317; decisions: 325072
iteration: 54; vars: 738507; clauses: 113806; decisions: 325552
iteration: 55; vars: 751914; clauses: 122836; decisions: 331513
iteration: 56; vars: 765321; clauses: 131866; decisions: 331963
iteration: 57; vars: 778728; clauses: 140896; decisions: 332415
iteration: 58; vars: 792135; clauses: 149926; decisions: 332867
iteration: 59; vars: 805542; clauses: 158956; decisions: 334976
iteration: 60; vars: 818949; clauses: 167986; decisions: 335384
iteration: 61; vars: 832356; clauses: 177016; decisions: 337082
iteration: 62; vars: 845763; clauses: 186046; decisions: 337589
iteration: 63; vars: 859170; clauses: 195076; decisions: 338222
iteration: 64; vars: 872577; clauses: 204106; decisions: 338732
iteration: 65; vars: 885984; clauses: 134106; decisions: 339246
iteration: 66; vars: 899391; clauses: 143136; decisions: 344369
iteration: 67; vars: 912798; clauses: 152166; decisions: 344892
iteration: 68; vars: 926205; clauses: 161196; decisions: 353127
iteration: 69; vars: 939612; clauses: 170226; decisions: 353567
iteration: 70; vars: 953019; clauses: 179256; decisions: 354007
iteration: 71; vars: 966426; clauses: 188286; decisions: 355827
iteration: 72; vars: 979833; clauses: 197316; decisions: 356251
iteration: 73; vars: 993240; clauses: 206346; decisions: 357458
iteration: 74; vars: 1006647; clauses: 215376; decisions: 358007
iteration: 75; vars: 1020054; clauses: 224406; decisions: 363580
iteration: 76; vars: 1033461; clauses: 233436; decisions: 363982
iteration: 77; vars: 1046868; clauses: 242466; decisions: 366384
iteration: 78; vars: 1060275; clauses: 159004; decisions: 366826
iteration: 79; vars: 1073682; clauses: 168034; decisions: 368364
iteration: 80; vars: 1087089; clauses: 177064; decisions: 368776
iteration: 81; vars: 1100496; clauses: 186094; decisions: 369190
iteration: 82; vars: 1113903; clauses: 195124; decisions: 371068
iteration: 83; vars: 1127310; clauses: 204154; decisions: 371505
iteration: 84; vars: 1140717; clauses: 213184; decisions: 371943
iteration: 85; vars: 1154124; clauses: 222214; decisions: 374496
iteration: 86; vars: 1167531; clauses: 231244; decisions: 374972
iteration: 87; vars: 1180938; clauses: 240274; decisions: 375448
iteration: 88; vars: 1194345; clauses: 249304; decisions: 375924
iteration: 89; vars: 1207752; clauses: 258334; decisions: 377554
iteration: 90; vars: 1221159; clauses: 267364; decisions: 377973
iteration: 91; vars: 1234566; clauses: 276394; decisions: 378473
iteration: 92; vars: 1247973; clauses: 285424; decisions: 378892
iteration: 93; vars: 1261380; clauses: 186162; decisions: 379358
iteration: 94; vars: 1274787; clauses: 195192; decisions: 379824
iteration: 95; vars: 1288194; clauses: 204222; decisions: 380290
iteration: 96; vars: 1301601; clauses: 213252; decisions: 381742
iteration: 97; vars: 1315008; clauses: 222282; decisions: 382243
iteration: 98; vars: 1328415; clauses: 231312; decisions: 382744
iteration: 99; vars: 1341822; clauses: 240342; decisions: 384762
iteration: 100; vars: 1355229; clauses: 249372; decisions: 386372
iteration: 101; vars: 1368636; clauses: 258402; decisions: 386850
iteration: 102; vars: 1382043; clauses: 267432; decisions: 387328
iteration: 103; vars: 1395450; clauses: 276462; decisions: 389417
iteration: 104; vars: 1408857; clauses: 285492; decisions: 389829
