inputs=192 keys=64 outputs=6 gates=4659
iteration: 1; vars: 9647; clauses: 6774; decisions: 7300
iteration: 2; vars: 14300; clauses: 8391; decisions: 12075
iteration: 3; vars: 18953; clauses: 9962; decisions: 12391
iteration: 4; vars: 23606; clauses: 11672; decisions: 12710
iteration: 5; vars: 28259; clauses: 17117; decisions: 16734
iteration: 6; vars: 32912; clauses: 15256; decisions: 17031
iteration: 7; vars: 37565; clauses: 20701; decisions: 17328
iteration: 8; vars: 42218; clauses: 18934; decisions: 19616
iteration: 9; vars: 46871; clauses: 24379; decisions: 19901
iteration: 10; vars: 51524; clauses: 22118; decisions: 20185
iteration: 11; vars: 56177; clauses: 27563; decisions: 20469
iteration: 12; vars: 60830; clauses: 33008; decisions: 20754
iteration: 13; vars: 65483; clauses: 23966; decisions: 21881
iteration: 14; vars: 70136; clauses: 29411; decisions: 22277
iteration: 15; vars: 74789; clauses: 34856; decisions: 22674
iteration: 16; vars: 79442; clauses: 29357; decisions: 28170
iteration: 17; vars: 84095; clauses: 34802; decisions: 29466
iteration: 18; vars: 88748; clauses: 40247; decisions: 29832
iteration: 19; vars: 93401; clauses: 34543; decisions: 37530
iteration: 20; vars: 98054; clauses: 39988; decisions: 37855
iteration: 21; vars: 102707; clauses: 45433; decisions: 41883
iteration: 22; vars: 107360; clauses: 50878; decisions: 43529
iteration: 23; vars: 112013; clauses: 41651; decisions: 43842
iteration: 24; vars: 116666; clauses: 47096; decisions: 44155
iteration: 25; vars: 121319; clauses: 52541; decisions: 44468
iteration: 26; vars: 125972; clauses: 57986; decisions: 45938
iteration: 27; vars: 130625; clauses: 49100; decisions: 46294
iteration: 28; vars: 135278; clauses: 54545; decisions: 46656
iteration: 29; vars: 139931; clauses: 59990; decisions: 51246
iteration: 30; vars: 144584; clauses: 65435; decisions: 51583
iteration: 31; vars: 149237; clauses: 70880; decisions: 51919
iteration: 32; vars: 153890; clauses: 57511; decisions: 56581
iteration: 33; vars: 158543; clauses: 62956; decisions: 56942
iteration: 34; vars: 163196; clauses: 68401; decisions: 57308
iteration: 35; vars: 167849; clauses: 73846; decisions: 58505
iteration: 36; vars: 172502; clauses: 79291; decisions: 58923
iteration: 37; vars: 177155; clauses: 84736; decisions: 59341
iteration: 38; vars: 181808; clauses: 68662; decisions: 59702
iteration: 39; vars: 186461; clauses: 74107; decisions: 64072
iteration: 40; vars: 191114; clauses: 79552; decisions: 64408
iteration: 41; vars: 195767; clauses: 84997; decisions: 66972
iteration: 42; vars: 200420; clauses: 90442; decisions: 67298
iteration: 43; vars: 205073; clauses: 95887; decisions: 71161
iteration: 44; vars: 209726; clauses: 101332; decisions: 74723
iteration: 45; vars: 214379; clauses: 81419; decisions: 75084
iteration: 46; vars: 219032; clauses: 86864; decisions: 75446
iteration: 47; vars: 223685; clauses: 92309; decisions: 76025
iteration: 48; vars: 228338; clauses: 97754; decisions: 76399
iteration: 49; vars: 232991; clauses: 103199; decisions: 81964
iteration: 50; vars: 237644; clauses: 108644; decisions: 82280
iteration: 51; vars: 242297; clauses: 114089; decisions: 88169
iteration: 52; vars: 246950; clauses: 119534; decisions: 88536
iteration: 53; vars: 251603; clauses: 96222; decisions: 90925
iteration: 54; vars: 256256; clauses: 101667; decisions: 91319
iteration: 55; vars: 260909; clauses: 107112; decisions: 94670
iteration: 56; vars: 265562; clauses: 112557; decisions: 94971
iteration: 57; vars: 270215; clauses: 118002; decisions: 95272
iteration: 58; vars: 274868; clauses: 123447; decisions: 96271
iteration: 59; vars: 279521; clauses: 128892; decisions: 97212
iteration: 60; vars: 284174; clauses: 134337; decisions: 97570
iteration: 61; vars: 288827; clauses: 139782; decisions: 97928
iteration: 62; vars: 293480; clauses: 112686; decisions: 99311
iteration: 63; vars: 298133; clauses: 118131; decisions: 99666
iteration: 64; vars: 302786; clauses: 123576; decisions: 100020
iteration: 65; vars: 307439; clauses: 129021; decisions: 100374
iteration: 66; vars: 312092; clauses: 134466; decisions: 101567
iteration: 67; vars: 316745; clauses: 139911; decisions: 101886
iteration: 68; vars: 321398; clauses: 145356; decisions: 102210
iteration: 69; vars: 326051; clauses: 150801; decisions: 106851
iteration: 70; vars: 330704; clauses: 156246; decisions: 107188
iteration: 71; vars: 335357; clauses: 161691; decisions: 107525
iteration: 72; vars: 340010; clauses: 167136; decisions: 107861
iteration: 73; vars: 344663; clauses: 133484; decisions: 115055
iteration: 74; vars: 349316; clauses: 138929; decisions: 115622
iteration: 75; vars: 353969; clauses: 144374; decisions: 115943
iteration: 76; vars: 358622; clauses: 149819; decisions: 116264
iteration: 77; vars: 363275; clauses: 155264; decisions: 120131
iteration: 78; vars: 367928; clauses: 160709; decisions: 120424
iteration: 79; vars: 372581; clauses: 166154; decisions: 120718
iteration: 80; vars: 377234; clauses: 171599; decisions: 122887
iteration: 81; vars: 381887; clauses: 177044; decisions: 123206
iteration: 82; vars: 386540; clauses: 182489; decisions: 123525
iteration: 83; vars: 391193; clauses: 187934; decisions: 126859
iteration: 84; vars: 395846; clauses: 193379; decisions: 127277
iteration: 85; vars: 400499; clauses: 155500; decisions: 128138
iteration: 86; vars: 405152; clauses: 160945; decisions: 128491
iteration: 87; vars: 409805; clauses: 166390; decisions: 128849
iteration: 88; vars: 414458; clauses: 171835; decisions: 129427
iteration: 89; vars: 419111; clauses: 177280; decisions: 131732
iteration: 90; vars: 423764; clauses: 182725; decisions: 132066
iteration: 91; vars: 428417; clauses: 188170; decisions: 137982
iteration: 92; vars: 433070; clauses: 193615; decisions: 138307
iteration: 93; vars: 437723; clauses: 199060; decisions: 138632
iteration: 94; vars: 442376; clauses: 204505; decisions: 141765
iteration: 95; vars: 447029; clauses: 209950; decisions: 142083
iteration: 96; vars: 451682; clauses: 215395; decisions: 142401
iteration: 97; vars: 456335; clauses: 220840; decisions: 142721
iteration: 98; vars: 460988; clauses: 226285; decisions: 145477
iteration: 99; vars: 465641; clauses: 182039; decisions: 145813
iteration: 100; vars: 470294; clauses: 187484; decisions: 146615
iteration: 101; vars: 474947; clauses: 192929; decisions: 146934
iteration: 102; vars: 479600; clauses: 198374; decisions: 147255
iteration: 103; vars: 484253; clauses: 203819; decisions: 148199
