inputs=233 keys=128 outputs=140 gates=11346
iteration: 1; vars: 23324; clauses: 14217; decisions: 52120
iteration: 2; vars: 34606; clauses: 18875; decisions: 63697
iteration: 3; vars: 45888; clauses: 23249; decisions: 64248
iteration: 4; vars: 57170; clauses: 27564; decisions: 64810
iteration: 5; vars: 68452; clauses: 40194; decisions: 107363
iteration: 6; vars: 79734; clauses: 36734; decisions: 107803
iteration: 7; vars: 91016; clauses: 49364; decisions: 108247
iteration: 8; vars: 102298; clauses: 44909; decisions: 136825
iteration: 9; vars: 113580; clauses: 57539; decisions: 137286
iteration: 10; vars: 124862; clauses: 50004; decisions: 137758
iteration: 11; vars: 136144; clauses: 62634; decisions: 160439
iteration: 12; vars: 147426; clauses: 58696; decisions: 160912
iteration: 13; vars: 158708; clauses: 71326; decisions: 177434
iteration: 14; vars: 169990; clauses: 83956; decisions: 177882
iteration: 15; vars: 181272; clauses: 72024; decisions: 178347
iteration: 16; vars: 192554; clauses: 84654; decisions: 178812
iteration: 17; vars: 203836; clauses: 97284; decisions: 187761
iteration: 18; vars: 215118; clauses: 80376; decisions: 188363
iteration: 19; vars: 226400; clauses: 93006; decisions: 188974
iteration: 20; vars: 237682; clauses: 105636; decisions: 229818
iteration: 21; vars: 248964; clauses: 118266; decisions: 230310
iteration: 22; vars: 260246; clauses: 98907; decisions: 233108
iteration: 23; vars: 271528; clauses: 111537; decisions: 233607
iteration: 24; vars: 282810; clauses: 124167; decisions: 234107
iteration: 25; vars: 294092; clauses: 136797; decisions: 234606
iteration: 26; vars: 305374; clauses: 116489; decisions: 257877
iteration: 27; vars: 316656; clauses: 129119; decisions: 258378
iteration: 28; vars: 327938; clauses: 141749; decisions: 258879
iteration: 29; vars: 339220; clauses: 154379; decisions: 264053
iteration: 30; vars: 350502; clauses: 167009; decisions: 264693
iteration: 31; vars: 361784; clauses: 139519; decisions: 265350
iteration: 32; vars: 373066; clauses: 152149; decisions: 283688
iteration: 33; vars: 384348; clauses: 164779; decisions: 284170
iteration: 34; vars: 395630; clauses: 177409; decisions: 284654
iteration: 35; vars: 406912; clauses: 190039; decisions: 292337
iteration: 36; vars: 418194; clauses: 202669; decisions: 292741
iteration: 37; vars: 429476; clauses: 166510; decisions: 293151
iteration: 38; vars: 440758; clauses: 179140; decisions: 301852
iteration: 39; vars: 452040; clauses: 191770; decisions: 302314
iteration: 40; vars: 463322; clauses: 204400; decisions: 302775
iteration: 41; vars: 474604; clauses: 217030; decisions: 303296
iteration: 42; vars: 485886; clauses: 229660; decisions: 304662
iteration: 43; vars: 497168; clauses: 242290; decisions: 305112
iteration: 44; vars: 508450; clauses: 198647; decisions: 305573
iteration: 45; vars: 519732; clauses: 211277; decisions: 318875
iteration: 46; vars: 531014; clauses: 223907; decisions: 319452
iteration: 47; vars: 542296; clauses: 236537; decisions: 320028
iteration: 48; vars: 553578; clauses: 249167; decisions: 339855
iteration: 49; vars: 564860; clauses: 261797; decisions: 340334
iteration: 50; vars: 576142; clauses: 274427; decisions: 340817
iteration: 51; vars: 587424; clauses: 287057; decisions: 344332
iteration: 52; vars: 598706; clauses: 234868; decisions: 345501
iteration: 53; vars: 609988; clauses: 247498; decisions: 372692
iteration: 54; vars: 621270; clauses: 260128; decisions: 377516
iteration: 55; vars: 632552; clauses: 272758; decisions: 377984
iteration: 56; vars: 643834; clauses: 285388; decisions: 378453
iteration: 57; vars: 655116; clauses: 298018; decisions: 378938
iteration: 58; vars: 666398; clauses: 310648; decisions: 385816
iteration: 59; vars: 677680; clauses: 323278; decisions: 386404
iteration: 60; vars: 688962; clauses: 335908; decisions: 386994
iteration: 61; vars: 700244; clauses: 348538; decisions: 394691
iteration: 62; vars: 711526; clauses: 281461; decisions: 395181
iteration: 63; vars: 722808; clauses: 294091; decisions: 395672
iteration: 64; vars: 734090; clauses: 306721; decisions: 403146
iteration: 65; vars: 745372; clauses: 319351; decisions: 403656
iteration: 66; vars: 756654; clauses: 331981; decisions: 412001
iteration: 67; vars: 767936; clauses: 344611; decisions: 412484
iteration: 68; vars: 779218; clauses: 357241; decisions: 413011
iteration: 69; vars: 790500; clauses: 369871; decisions: 413701
iteration: 70; vars: 801782; clauses: 382501; decisions: 416650
iteration: 71; vars: 813064; clauses: 395131; decisions: 417167
iteration: 72; vars: 824346; clauses: 407761; decisions: 424321
iteration: 73; vars: 835628; clauses: 330867; decisions: 424836
iteration: 74; vars: 846910; clauses: 343497; decisions: 425352
iteration: 75; vars: 858192; clauses: 356127; decisions: 433349
iteration: 76; vars: 869474; clauses: 368757; decisions: 433918
iteration: 77; vars: 880756; clauses: 381387; decisions: 434487
iteration: 78; vars: 892038; clauses: 394017; decisions: 435056
iteration: 79; vars: 903320; clauses: 406647; decisions: 463124
iteration: 80; vars: 914602; clauses: 419277; decisions: 467974
iteration: 81; vars: 925884; clauses: 431907; decisions: 468408
iteration: 82; vars: 937166; clauses: 444537; decisions: 471972
iteration: 83; vars: 948448; clauses: 457167; decisions: 472454
iteration: 84; vars: 959730; clauses: 469797; decisions: 472941
iteration: 85; vars: 971012; clauses: 482427; decisions: 479360
iteration: 86; vars: 982294; clauses: 391116; decisions: 479943
iteration: 87; vars: 993576; clauses: 403746; decisions: 480527
iteration: 88; vars: 1004858; clauses: 416376; decisions: 501371
iteration: 89; vars: 1016140; clauses: 429006; decisions: 501969
iteration: 90; vars: 1027422; clauses: 441636; decisions: 502567
iteration: 91; vars: 1038704; clauses: 454266; decisions: 507055
iteration: 92; vars: 1049986; clauses: 466896; decisions: 507539
iteration: 93; vars: 1061268; clauses: 479526; decisions: 508023
iteration: 94; vars: 1072550; clauses: 492156; decisions: 508507
iteration: 95; vars: 1083832; clauses: 504786; decisions: 508991
iteration: 96; vars: 1095114; clauses: 517416; decisions: 526133
iteration: 97; vars: 1106396; clauses: 530046; decisions: 526592
iteration: 98; vars: 1117678; clauses: 542676; decisions: 527051
iteration: 99; vars: 1128960; clauses: 555306; decisions: 527510
iteration: 100; vars: 1140242; clauses: 567936; decisions: 534246
iteration: 101; vars: 1151524; clauses: 580566; decisions: 534725
iteration: 102; vars: 1162806; clauses: 464164; decisions: 535243
iteration: 103; vars: 1174088; clauses: 476794; decisions: 545926
iteration: 104; vars: 1185370; clauses: 489424; decisions: 546411
iteration: 105; vars: 1196652; clauses: 502054; decisions: 546896
iteration: 106; vars: 1207934; clauses: 514684; decisions: 547380
iteration: 107; vars: 1219216; clauses: 527314; decisions: 555201
iteration: 108; vars: 1230498; clauses: 539944; decisions: 555644
iteration: 109; vars: 1241780; clauses: 552574; decisions: 556092
iteration: 110; vars: 1253062; clauses: 565204; decisions: 569926
iteration: 111; vars: 1264344; clauses: 577834; decisions: 571182
iteration: 112; vars: 1275626; clauses: 590464; decisions: 579330
iteration: 113; vars: 1286908; clauses: 603094; decisions: 579801
iteration: 114; vars: 1298190; clauses: 615724; decisions: 580272
iteration: 115; vars: 1309472; clauses: 628354; decisions: 596082
iteration: 116; vars: 1320754; clauses: 640984; decisions: 596535
iteration: 117; vars: 1332036; clauses: 653614; decisions: 597040
iteration: 118; vars: 1343318; clauses: 666244; decisions: 607931
iteration: 119; vars: 1354600; clauses: 678874; decisions: 608356
iteration: 120; vars: 1365882; clauses: 691504; decisions: 608781
iteration: 121; vars: 1377164; clauses: 552447; decisions: 609290
iteration: 122; vars: 1388446; clauses: 565077; decisions: 611757
iteration: 123; vars: 1399728; clauses: 577707; decisions: 612271
iteration: 124; vars: 1411010; clauses: 590337; decisions: 612785
iteration: 125; vars: 1422292; clauses: 602967; decisions: 613299
iteration: 126; vars: 1433574; clauses: 615597; decisions: 621676
iteration: 127; vars: 1444856; clauses: 628227; decisions: 622180
iteration: 128; vars: 1456138; clauses: 640857; decisions: 648138
iteration: 129; vars: 1467420; clauses: 653487; decisions: 648612
iteration: 130; vars: 1478702; clauses: 666117; decisions: 649088
iteration: 131; vars: 1489984; clauses: 678747; decisions: 664121
iteration: 132; vars: 1501266; clauses: 691377; decisions: 664597
iteration: 133; vars: 1512548; clauses: 704007; decisions: 665074
iteration: 134; vars: 1523830; clauses: 716637; decisions: 677290
iteration: 135; vars: 1535112; clauses: 729267; decisions: 677796
iteration: 136; vars: 1546394; clauses: 741897; decisions: 678301
iteration: 137; vars: 1557676; clauses: 754527; decisions: 679924
iteration: 138; vars: 1568958; clauses: 767157; decisions: 680392
iteration: 139; vars: 1580240; clauses: 779787; decisions: 680860
iteration: 140; vars: 1591522; clauses: 792417; decisions: 681328
iteration: 141; vars: 1602804; clauses: 805047; decisions: 688331
iteration: 142; vars: 1614086; clauses: 817677; decisions: 688800
iteration: 143; vars: 1625368; clauses: 653115; decisions: 689282
iteration: 144; vars: 1636650; clauses: 665745; decisions: 689843
iteration: 145; vars: 1647932; clauses: 678375; decisions: 692991
iteration: 146; vars: 1659214; clauses: 691005; decisions: 693507
iteration: 147; vars: 1670496; clauses: 703635; decisions: 705685
iteration: 148; vars: 1681778; clauses: 716265; decisions: 706271
iteration: 149; vars: 1693060; clauses: 728895; decisions: 717775
iteration: 150; vars: 1704342; clauses: 741525; decisions: 718283
iteration: 151; vars: 1715624; clauses: 754155; decisions: 722333
iteration: 152; vars: 1726906; clauses: 766785; decisions: 722906
iteration: 153; vars: 1738188; clauses: 779415; decisions: 739781
iteration: 154; vars: 1749470; clauses: 792045; decisions: 740276
iteration: 155; vars: 1760752; clauses: 804675; decisions: 740771
iteration: 156; vars: 1772034; clauses: 817305; decisions: 742815
iteration: 157; vars: 1783316; clauses: 829935; decisions: 743215
iteration: 158; vars: 1794598; clauses: 842565; decisions: 743618
iteration: 159; vars: 1805880; clauses: 855195; decisions: 744020
iteration: 160; vars: 1817162; clauses: 867825; decisions: 746305
iteration: 161; vars: 1828444; clauses: 880455; decisions: 754998
iteration: 162; vars: 1839726; clauses: 893085; decisions: 755390
iteration: 163; vars: 1851008; clauses: 905715; decisions: 755786
iteration: 164; vars: 1862290; clauses: 918345; decisions: 761459
iteration: 165; vars: 1873572; clauses: 930975; decisions: 762116
iteration: 166; vars: 1884854; clauses: 943605; decisions: 765150
iteration: 167; vars: 1896136; clauses: 956235; decisions: 765627
iteration: 168; vars: 1907418; clauses: 968865; decisions: 774518
iteration: 169; vars: 1918700; clauses: 774035; decisions: 775071
iteration: 170; vars: 1929982; clauses: 786665; decisions: 775521
iteration: 171; vars: 1941264; clauses: 799295; decisions: 827665
iteration: 172; vars: 1952546; clauses: 811925; decisions: 828229
iteration: 173; vars: 1963828; clauses: 824555; decisions: 828793
iteration: 174; vars: 1975110; clauses: 837185; decisions: 858477
iteration: 175; vars: 1986392; clauses: 849815; decisions: 858977
iteration: 176; vars: 1997674; clauses: 862445; decisions: 859477
iteration: 177; vars: 2008956; clauses: 875075; decisions: 868535
iteration: 178; vars: 2020238; clauses: 887705; decisions: 868946
iteration: 179; vars: 2031520; clauses: 900335; decisions: 869375
iteration: 180; vars: 2042802; clauses: 912965; decisions: 875128
iteration: 181; vars: 2054084; clauses: 925595; decisions: 875594
iteration: 182; vars: 2065366; clauses: 938225; decisions: 876071
iteration: 183; vars: 2076648; clauses: 950855; decisions: 883027
iteration: 184; vars: 2087930; clauses: 963485; decisions: 883490
iteration: 185; vars: 2099212; clauses: 976115; decisions: 883954
iteration: 186; vars: 2110494; clauses: 988745; decisions: 884420
iteration: 187; vars: 2121776; clauses: 1001375; decisions: 890825
iteration: 188; vars: 2133058; clauses: 1014005; decisions: 891289
iteration: 189; vars: 2144340; clauses: 1026635; decisions: 891768
iteration: 190; vars: 2155622; clauses: 1039265; decisions: 903424
iteration: 191; vars: 2166904; clauses: 1051895; decisions: 903903
iteration: 192; vars: 2178186; clauses: 1064525; decisions: 904382
iteration: 193; vars: 2189468; clauses: 1077155; decisions: 904861
iteration: 194; vars: 2200750; clauses: 1089785; decisions: 912885
iteration: 195; vars: 2212032; clauses: 1102415; decisions: 913353
iteration: 196; vars: 2223314; clauses: 1115045; decisions: 913822
iteration: 197; vars: 2234596; clauses: 1127675; decisions: 922046
iteration: 198; vars: 2245878; clauses: 1140305; decisions: 922527
iteration: 199; vars: 2257160; clauses: 1152935; decisions: 928259
iteration: 200; vars: 2268442; clauses: 915620; decisions: 928796
iteration: 201; vars: 2279724; clauses: 928250; decisions: 929333
iteration: 202; vars: 2291006; clauses: 940880; decisions: 967636
iteration: 203; vars: 2302288; clauses: 953510; decisions: 968231
iteration: 204; vars: 2313570; clauses: 966140; decisions: 968827
iteration: 205; vars: 2324852; clauses: 978770; decisions: 969425
iteration: 206; vars: 2336134; clauses: 991400; decisions: 980481
iteration: 207; vars: 2347416; clauses: 1004030; decisions: 980922
iteration: 208; vars: 2358698; clauses: 1016660; decisions: 981364
iteration: 209; vars: 2369980; clauses: 1029290; decisions: 994327
iteration: 210; vars: 2381262; clauses: 1041920; decisions: 994780
iteration: 211; vars: 2392544; clauses: 1054550; decisions: 995235
iteration: 212; vars: 2403826; clauses: 1067180; decisions: 1005404
iteration: 213; vars: 2415108; clauses: 1079810; decisions: 1005924
iteration: 214; vars: 2426390; clauses: 1092440; decisions: 1006446
iteration: 215; vars: 2437672; clauses: 1105070; decisions: 1009484
iteration: 216; vars: 2448954; clauses: 1117700; decisions: 1009951
iteration: 217; vars: 2460236; clauses: 1130330; decisions: 1010418
iteration: 218; vars: 2471518; clauses: 1142960; decisions: 1014884
iteration: 219; vars: 2482800; clauses: 1155590; decisions: 1015302
iteration: 220; vars: 2494082; clauses: 1168220; decisions: 1019833
iteration: 221; vars: 2505364; clauses: 1180850; decisions: 1020323
iteration: 222; vars: 2516646; clauses: 1193480; decisions: 1020813
iteration: 223; vars: 2527928; clauses: 1206110; decisions: 1023942
iteration: 224; vars: 2539210; clauses: 1218740; decisions: 1024438
iteration: 225; vars: 2550492; clauses: 1231370; decisions: 1024934
iteration: 226; vars: 2561774; clauses: 1244000; decisions: 1044005
iteration: 227; vars: 2573056; clauses: 1256630; decisions: 1044487
iteration: 228; vars: 2584338; clauses: 1269260; decisions: 1044969
iteration: 229; vars: 2595620; clauses: 1281890; decisions: 1045451
iteration: 230; vars: 2606902; clauses: 1294520; decisions: 1047219
iteration: 231; vars: 2618184; clauses: 1307150; decisions: 1047705
iteration: 232; vars: 2629466; clauses: 1319780; decisions: 1048191
iteration: 233; vars: 2640748; clauses: 1332410; decisions: 1049836
iteration: 234; vars: 2652030; clauses: 1345040; decisions: 1050247
iteration: 235; vars: 2663312; clauses: 1357670; decisions: 1050660
iteration: 236; vars: 2674594; clauses: 1083153; decisions: 1087479
iteration: 237; vars: 2685876; clauses: 1095783; decisions: 1088021
iteration: 238; vars: 2697158; clauses: 1108413; decisions: 1088564
iteration: 239; vars: 2708440; clauses: 1121043; decisions: 1089111
iteration: 240; vars: 2719722; clauses: 1133673; decisions: 1100222
iteration: 241; vars: 2731004; clauses: 1146303; decisions: 1100772
iteration: 242; vars: 2742286; clauses: 1158933; decisions: 1101323
iteration: 243; vars: 2753568; clauses: 1171563; decisions: 1101875
iteration: 244; vars: 2764850; clauses: 1184193; decisions: 1119992
iteration: 245; vars: 2776132; clauses: 1196823; decisions: 1120593
iteration: 246; vars: 2787414; clauses: 1209453; decisions: 1121194
iteration: 247; vars: 2798696; clauses: 1222083; decisions: 1121795
iteration: 248; vars: 2809978; clauses: 1234713; decisions: 1142401
iteration: 249; vars: 2821260; clauses: 1247343; decisions: 1142866
iteration: 250; vars: 2832542; clauses: 1259973; decisions: 1143333
iteration: 251; vars: 2843824; clauses: 1272603; decisions: 1143804
iteration: 252; vars: 2855106; clauses: 1285233; decisions: 1162029
iteration: 253; vars: 2866388; clauses: 1297863; decisions: 1162523
iteration: 254; vars: 2877670; clauses: 1310493; decisions: 1163018
iteration: 255; vars: 2888952; clauses: 1323123; decisions: 1163517
iteration: 256; vars: 2900234; clauses: 1335753; decisions: 1178550
iteration: 257; vars: 2911516; clauses: 1348383; decisions: 1179086
iteration: 258; vars: 2922798; clauses: 1361013; decisions: 1179622
iteration: 259; vars: 2934080; clauses: 1373643; decisions: 1186038
iteration: 260; vars: 2945362; clauses: 1386273; decisions: 1186463
iteration: 261; vars: 2956644; clauses: 1398903; decisions: 1186890
iteration: 262; vars: 2967926; clauses: 1411533; decisions: 1192798
iteration: 263; vars: 2979208; clauses: 1424163; decisions: 1218068
iteration: 264; vars: 2990490; clauses: 1436793; decisions: 1218527
iteration: 265; vars: 3001772; clauses: 1449423; decisions: 1218986
iteration: 266; vars: 3013054; clauses: 1462053; decisions: 1219446
iteration: 267; vars: 3024336; clauses: 1474683; decisions: 1219905
iteration: 268; vars: 3035618; clauses: 1487313; decisions: 1220364
iteration: 269; vars: 3046900; clauses: 1499943; decisions: 1228148
iteration: 270; vars: 3058182; clauses: 1512573; decisions: 1228670
iteration: 271; vars: 3069464; clauses: 1525203; decisions: 1229192
iteration: 272; vars: 3080746; clauses: 1537833; decisions: 1238552
iteration: 273; vars: 3092028; clauses: 1550463; decisions: 1247534
iteration: 274; vars: 3103310; clauses: 1563093; decisions: 1251825
iteration: 275; vars: 3114592; clauses: 1575723; decisions: 1252317
iteration: 276; vars: 3125874; clauses: 1588353; decisions: 1252811
iteration: 277; vars: 3137156; clauses: 1600983; decisions: 1261088
iteration: 278; vars: 3148438; clauses: 1613613; decisions: 1261567
iteration: 279; vars: 3159720; clauses: 1281124; decisions: 1262075
iteration: 280; vars: 3171002; clauses: 1293754; decisions: 1284501
iteration: 281; vars: 3182284; clauses: 1306384; decisions: 1285163
iteration: 282; vars: 3193566; clauses: 1319014; decisions: 1285826
iteration: 283; vars: 3204848; clauses: 1331644; decisions: 1295458
iteration: 284; vars: 3216130; clauses: 1344274; decisions: 1296024
iteration: 285; vars: 3227412; clauses: 1356904; decisions: 1296590
iteration: 286; vars: 3238694; clauses: 1369534; decisions: 1297157
iteration: 287; vars: 3249976; clauses: 1382164; decisions: 1297735
iteration: 288; vars: 3261258; clauses: 1394794; decisions: 1298311
iteration: 289; vars: 3272540; clauses: 1407424; decisions: 1298886
iteration: 290; vars: 3283822; clauses: 1420054; decisions: 1299462
iteration: 291; vars: 3295104; clauses: 1432684; decisions: 1339968
iteration: 292; vars: 3306386; clauses: 1445314; decisions: 1340553
iteration: 293; vars: 3317668; clauses: 1457944; decisions: 1341140
iteration: 294; vars: 3328950; clauses: 1470574; decisions: 1357305
iteration: 295; vars: 3340232; clauses: 1483204; decisions: 1357806
iteration: 296; vars: 3351514; clauses: 1495834; decisions: 1358306
iteration: 297; vars: 3362796; clauses: 1508464; decisions: 1367574
iteration: 298; vars: 3374078; clauses: 1521094; decisions: 1368041
iteration: 299; vars: 3385360; clauses: 1533724; decisions: 1368510
iteration: 300; vars: 3396642; clauses: 1546354; decisions: 1380166
iteration: 301; vars: 3407924; clauses: 1558984; decisions: 1380674
iteration: 302; vars: 3419206; clauses: 1571614; decisions: 1381183
iteration: 303; vars: 3430488; clauses: 1584244; decisions: 1394149
iteration: 304; vars: 3441770; clauses: 1596874; decisions: 1394611
iteration: 305; vars: 3453052; clauses: 1609504; decisions: 1395660
iteration: 306; vars: 3464334; clauses: 1622134; decisions: 1396120
iteration: 307; vars: 3475616; clauses: 1634764; decisions: 1396578
iteration: 308; vars: 3486898; clauses: 1647394; decisions: 1397040
iteration: 309; vars: 3498180; clauses: 1660024; decisions: 1397501
iteration: 310; vars: 3509462; clauses: 1672654; decisions: 1397965
iteration: 311; vars: 3520744; clauses: 1685284; decisions: 1400479
iteration: 312; vars: 3532026; clauses: 1697914; decisions: 1400988
iteration: 313; vars: 3543308; clauses: 1710544; decisions: 1403347
iteration: 314; vars: 3554590; clauses: 1723174; decisions: 1404827
iteration: 315; vars: 3565872; clauses: 1735804; decisions: 1405261
iteration: 316; vars: 3577154; clauses: 1748434; decisions: 1405696
iteration: 317; vars: 3588436; clauses: 1761064; decisions: 1424302
iteration: 318; vars: 3599718; clauses: 1773694; decisions: 1424775
iteration: 319; vars: 3611000; clauses: 1786324; decisions: 1429052
iteration: 320; vars: 3622282; clauses: 1798954; decisions: 1429514
iteration: 321; vars: 3633564; clauses: 1811584; decisions: 1431730
iteration: 322; vars: 3644846; clauses: 1824214; decisions: 1437374
iteration: 323; vars: 3656128; clauses: 1836844; decisions: 1437796
iteration: 324; vars: 3667410; clauses: 1849474; decisions: 1438218
iteration: 325; vars: 3678692; clauses: 1862104; decisions: 1441973
iteration: 326; vars: 3689974; clauses: 1874734; decisions: 1442459
iteration: 327; vars: 3701256; clauses: 1887364; decisions: 1442949
iteration: 328; vars: 3712538; clauses: 1899994; decisions: 1446317
iteration: 329; vars: 3723820; clauses: 1912624; decisions: 1446825
iteration: 330; vars: 3735102; clauses: 1518963; decisions: 1447428
iteration: 331; vars: 3746384; clauses: 1531592; decisions: 1511622
iteration: 332; vars: 3757666; clauses: 1544222; decisions: 1512140
iteration: 333; vars: 3768948; clauses: 1556852; decisions: 1512661
iteration: 334; vars: 3780230; clauses: 1569482; decisions: 1513184
iteration: 335; vars: 3791512; clauses: 1582112; decisions: 1523874
iteration: 336; vars: 3802794; clauses: 1594742; decisions: 1524394
iteration: 337; vars: 3814076; clauses: 1607372; decisions: 1524914
iteration: 338; vars: 3825358; clauses: 1620002; decisions: 1526981
iteration: 339; vars: 3836640; clauses: 1632632; decisions: 1527490
iteration: 340; vars: 3847922; clauses: 1645262; decisions: 1527999
iteration: 341; vars: 3859204; clauses: 1657892; decisions: 1537405
iteration: 342; vars: 3870486; clauses: 1670522; decisions: 1537922
iteration: 343; vars: 3881768; clauses: 1683152; decisions: 1538439
iteration: 344; vars: 3893050; clauses: 1695782; decisions: 1538956
iteration: 345; vars: 3904332; clauses: 1708412; decisions: 1544021
iteration: 346; vars: 3915614; clauses: 1721042; decisions: 1544613
