inputs=75 keys=64 outputs=16 gates=6608
iteration: 1; vars: 13438; clauses: 8480; decisions: 10310
iteration: 2; vars: 20030; clauses: 10057; decisions: 13940
iteration: 3; vars: 26622; clauses: 11596; decisions: 14155
iteration: 4; vars: 33214; clauses: 17111; decisions: 20436
iteration: 5; vars: 39806; clauses: 15128; decisions: 24880
iteration: 6; vars: 46398; clauses: 20643; decisions: 25067
iteration: 7; vars: 52990; clauses: 18567; decisions: 25262
iteration: 8; vars: 59582; clauses: 24082; decisions: 29429
iteration: 9; vars: 66174; clauses: 22173; decisions: 30107
iteration: 10; vars: 72766; clauses: 27688; decisions: 30940
iteration: 11; vars: 79358; clauses: 33203; decisions: 31134
iteration: 12; vars: 85950; clauses: 27201; decisions: 31333
iteration: 13; vars: 92542; clauses: 32716; decisions: 31604
iteration: 14; vars: 99134; clauses: 38231; decisions: 36262
iteration: 15; vars: 105726; clauses: 30778; decisions: 36451
iteration: 16; vars: 112318; clauses: 36293; decisions: 36641
iteration: 17; vars: 118910; clauses: 41808; decisions: 46743
iteration: 18; vars: 125502; clauses: 36059; decisions: 46948
iteration: 19; vars: 132094; clauses: 41574; decisions: 47152
iteration: 20; vars: 138686; clauses: 47089; decisions: 47356
iteration: 21; vars: 145278; clauses: 52604; decisions: 54710
iteration: 22; vars: 151870; clauses: 42860; decisions: 54977
iteration: 23; vars: 158462; clauses: 48375; decisions: 55246
iteration: 24; vars: 165054; clauses: 53890; decisions: 62835
iteration: 25; vars: 171646; clauses: 59405; decisions: 65187
iteration: 26; vars: 178238; clauses: 49891; decisions: 65419
iteration: 27; vars: 184830; clauses: 55406; decisions: 65651
iteration: 28; vars: 191422; clauses: 60921; decisions: 65897
iteration: 29; vars: 198014; clauses: 66436; decisions: 67639
iteration: 30; vars: 204606; clauses: 71951; decisions: 67849
iteration: 31; vars: 211198; clauses: 59144; decisions: 68066
iteration: 32; vars: 217790; clauses: 64659; decisions: 72831
iteration: 33; vars: 224382; clauses: 70174; decisions: 73040
iteration: 34; vars: 230974; clauses: 75689; decisions: 73249
iteration: 35; vars: 237566; clauses: 81204; decisions: 73458
iteration: 36; vars: 244158; clauses: 86719; decisions: 73667
iteration: 37; vars: 250750; clauses: 69591; decisions: 73883
iteration: 38; vars: 257342; clauses: 75106; decisions: 74560
iteration: 39; vars: 263934; clauses: 80621; decisions: 74759
iteration: 40; vars: 270526; clauses: 86136; decisions: 74958
iteration: 41; vars: 277118; clauses: 91651; decisions: 75183
iteration: 42; vars: 283710; clauses: 97166; decisions: 75376
iteration: 43; vars: 290302; clauses: 102681; decisions: 75569
iteration: 44; vars: 296894; clauses: 82479; decisions: 76125
iteration: 45; vars: 303486; clauses: 87994; decisions: 76358
iteration: 46; vars: 310078; clauses: 93509; decisions: 76590
iteration: 47; vars: 316670; clauses: 99024; decisions: 76822
iteration: 48; vars: 323262; clauses: 104539; decisions: 78150
iteration: 49; vars: 329854; clauses: 110054; decisions: 78424
iteration: 50; vars: 336446; clauses: 115569; decisions: 80472
iteration: 51; vars: 343038; clauses: 121084; decisions: 80686
iteration: 52; vars: 349630; clauses: 96765; decisions: 80904
iteration: 53; vars: 356222; clauses: 102280; decisions: 83555
iteration: 54; vars: 362814; clauses: 107795; decisions: 83803
iteration: 55; vars: 369406; clauses: 113310; decisions: 84051
iteration: 56; vars: 375998; clauses: 118825; decisions: 84299
iteration: 57; vars: 382590; clauses: 124340; decisions: 84560
iteration: 58; vars: 389182; clauses: 129855; decisions: 84802
iteration: 59; vars: 395774; clauses: 135370; decisions: 85735
iteration: 60; vars: 402366; clauses: 140885; decisions: 85963
iteration: 61; vars: 408958; clauses: 113058; decisions: 88462
iteration: 62; vars: 415550; clauses: 118573; decisions: 90797
iteration: 63; vars: 422142; clauses: 124088; decisions: 93128
iteration: 64; vars: 428734; clauses: 129603; decisions: 93316
iteration: 65; vars: 435326; clauses: 135118; decisions: 93504
iteration: 66; vars: 441918; clauses: 140633; decisions: 93968
iteration: 67; vars: 448510; clauses: 146148; decisions: 94184
iteration: 68; vars: 455102; clauses: 151663; decisions: 94401
iteration: 69; vars: 461694; clauses: 157178; decisions: 98483
iteration: 70; vars: 468286; clauses: 162693; decisions: 98687
iteration: 71; vars: 474878; clauses: 168208; decisions: 98897
iteration: 72; vars: 481470; clauses: 133050; decisions: 103576
iteration: 73; vars: 488062; clauses: 138565; decisions: 103798
iteration: 74; vars: 494654; clauses: 144080; decisions: 104021
iteration: 75; vars: 501246; clauses: 149595; decisions: 105514
iteration: 76; vars: 507838; clauses: 155110; decisions: 105719
iteration: 77; vars: 514430; clauses: 160625; decisions: 107630
iteration: 78; vars: 521022; clauses: 166140; decisions: 107835
iteration: 79; vars: 527614; clauses: 171655; decisions: 108041
iteration: 80; vars: 534206; clauses: 177170; decisions: 110203
iteration: 81; vars: 540798; clauses: 182685; decisions: 110414
iteration: 82; vars: 547390; clauses: 188200; decisions: 110626
iteration: 83; vars: 553982; clauses: 193715; decisions: 114399
iteration: 84; vars: 560574; clauses: 199230; decisions: 114581
iteration: 85; vars: 567166; clauses: 157063; decisions: 114773
iteration: 86; vars: 573758; clauses: 162578; decisions: 115062
iteration: 87; vars: 580350; clauses: 168093; decisions: 118969
iteration: 88; vars: 586942; clauses: 173608; decisions: 119141
iteration: 89; vars: 593534; clauses: 179123; decisions: 119316
iteration: 90; vars: 600126; clauses: 184638; decisions: 120127
iteration: 91; vars: 606718; clauses: 190153; decisions: 120569
iteration: 92; vars: 613310; clauses: 195668; decisions: 120911
iteration: 93; vars: 619902; clauses: 201183; decisions: 121240
iteration: 94; vars: 626494; clauses: 206698; decisions: 121568
