inputs=256 keys=64 outputs=245 gates=13599
iteration: 1; vars: 27830; clauses: 16741; decisions: 147054
iteration: 2; vars: 41184; clauses: 25691; decisions: 152209
iteration: 3; vars: 54538; clauses: 20473; decisions: 152731
iteration: 4; vars: 67892; clauses: 29423; decisions: 153255
iteration: 5; vars: 81246; clauses: 23858; decisions: 154309
iteration: 6; vars: 94600; clauses: 32808; decisions: 155239
iteration: 7; vars: 107954; clauses: 41758; decisions: 155716
iteration: 8; vars: 121308; clauses: 29408; decisions: 156197
iteration: 9; vars: 134662; clauses: 38358; decisions: 156679
iteration: 10; vars: 148016; clauses: 47308; decisions: 170666
iteration: 11; vars: 161370; clauses: 34748; decisions: 171144
iteration: 12; vars: 174724; clauses: 43698; decisions: 171623
iteration: 13; vars: 188078; clauses: 52648; decisions: 172304
iteration: 14; vars: 201432; clauses: 61598; decisions: 172797
iteration: 15; vars: 214786; clauses: 41618; decisions: 173309
iteration: 16; vars: 228140; clauses: 50568; decisions: 173825
iteration: 17; vars: 241494; clauses: 59518; decisions: 175050
iteration: 18; vars: 254848; clauses: 68468; decisions: 177645
iteration: 19; vars: 268202; clauses: 48756; decisions: 178123
iteration: 20; vars: 281556; clauses: 57706; decisions: 178603
iteration: 21; vars: 294910; clauses: 66656; decisions: 183165
iteration: 22; vars: 308264; clauses: 75606; decisions: 183664
iteration: 23; vars: 321618; clauses: 84556; decisions: 184164
iteration: 24; vars: 334972; clauses: 57913; decisions: 184694
iteration: 25; vars: 348326; clauses: 66863; decisions: 190746
iteration: 26; vars: 361680; clauses: 75813; decisions: 191252
iteration: 27; vars: 375034; clauses: 84763; decisions: 191758
iteration: 28; vars: 388388; clauses: 93713; decisions: 192670
iteration: 29; vars: 401742; clauses: 102663; decisions: 193224
iteration: 30; vars: 415096; clauses: 68133; decisions: 193784
iteration: 31; vars: 428450; clauses: 77083; decisions: 209009
iteration: 32; vars: 441804; clauses: 86033; decisions: 209489
iteration: 33; vars: 455158; clauses: 94983; decisions: 209971
iteration: 34; vars: 468512; clauses: 103933; decisions: 216915
iteration: 35; vars: 481866; clauses: 112883; decisions: 217482
iteration: 36; vars: 495220; clauses: 121833; decisions: 218050
iteration: 37; vars: 508574; clauses: 80934; decisions: 221494
iteration: 38; vars: 521928; clauses: 89884; decisions: 245328
iteration: 39; vars: 535282; clauses: 98834; decisions: 245823
iteration: 40; vars: 548636; clauses: 107784; decisions: 246319
iteration: 41; vars: 561990; clauses: 116734; decisions: 249824
iteration: 42; vars: 575344; clauses: 125684; decisions: 250293
iteration: 43; vars: 588698; clauses: 134634; decisions: 250763
iteration: 44; vars: 602052; clauses: 143584; decisions: 254897
iteration: 45; vars: 615406; clauses: 95255; decisions: 255696
iteration: 46; vars: 628760; clauses: 104205; decisions: 257691
iteration: 47; vars: 642114; clauses: 113155; decisions: 258176
iteration: 48; vars: 655468; clauses: 122105; decisions: 261402
iteration: 49; vars: 668822; clauses: 131055; decisions: 264608
iteration: 50; vars: 682176; clauses: 140005; decisions: 271265
iteration: 51; vars: 695530; clauses: 148955; decisions: 277348
iteration: 52; vars: 708884; clauses: 157905; decisions: 323954
iteration: 53; vars: 722238; clauses: 166855; decisions: 324297
iteration: 54; vars: 735592; clauses: 175805; decisions: 324671
iteration: 55; vars: 748946; clauses: 112201; decisions: 328467
iteration: 56; vars: 762300; clauses: 121151; decisions: 334054
iteration: 57; vars: 775654; clauses: 130101; decisions: 334442
iteration: 58; vars: 789008; clauses: 139051; decisions: 336831
iteration: 59; vars: 802362; clauses: 148001; decisions: 337216
iteration: 60; vars: 815716; clauses: 156951; decisions: 337609
iteration: 61; vars: 829070; clauses: 165901; decisions: 338665
iteration: 62; vars: 842424; clauses: 174851; decisions: 339005
iteration: 63; vars: 855778; clauses: 183801; decisions: 361253
iteration: 64; vars: 869132; clauses: 192706; decisions: 365747
iteration: 65; vars: 882486; clauses: 201622; decisions: 366087
iteration: 66; vars: 895840; clauses: 129175; decisions: 367783
iteration: 67; vars: 909194; clauses: 138091; decisions: 368836
iteration: 68; vars: 922548; clauses: 147007; decisions: 369689
iteration: 69; vars: 935902; clauses: 155923; decisions: 370131
iteration: 70; vars: 949256; clauses: 164811; decisions: 370498
iteration: 71; vars: 962610; clauses: 173699; decisions: 372817
iteration: 72; vars: 975964; clauses: 182587; decisions: 373156
iteration: 73; vars: 989318; clauses: 191475; decisions: 375348
iteration: 74; vars: 1002672; clauses: 200335; decisions: 382148
finished solver loop. fail_count = 0
key=1010111001110100000000111001010000011001000111001010100011000000
iteration=75; backbones_count=0; cube_count=4870090; cpu_time=37.5572; maxrss=149.84
