inputs=33 keys=33 outputs=25 gates=2692
iteration: 1; vars: 5511; clauses: 3635; decisions: 4519
iteration: 2; vars: 8178; clauses: 4195; decisions: 5196
iteration: 3; vars: 10845; clauses: 6702; decisions: 5697
iteration: 4; vars: 13512; clauses: 5481; decisions: 5777
iteration: 5; vars: 16179; clauses: 7988; decisions: 5858
iteration: 6; vars: 18846; clauses: 6784; decisions: 6163
iteration: 7; vars: 21513; clauses: 9291; decisions: 6258
iteration: 8; vars: 24180; clauses: 7449; decisions: 6355
iteration: 9; vars: 26847; clauses: 9956; decisions: 6453
iteration: 10; vars: 29514; clauses: 8769; decisions: 6642
iteration: 11; vars: 32181; clauses: 11276; decisions: 7040
iteration: 12; vars: 34848; clauses: 10013; decisions: 7159
iteration: 13; vars: 37515; clauses: 12520; decisions: 7279
iteration: 14; vars: 40182; clauses: 15027; decisions: 7398
iteration: 15; vars: 42849; clauses: 10640; decisions: 7520
iteration: 16; vars: 45516; clauses: 13147; decisions: 7642
iteration: 17; vars: 48183; clauses: 15654; decisions: 7779
iteration: 18; vars: 50850; clauses: 12666; decisions: 7902
iteration: 19; vars: 53517; clauses: 15173; decisions: 8025
iteration: 20; vars: 56184; clauses: 17680; decisions: 8148
iteration: 21; vars: 58851; clauses: 14570; decisions: 8272
iteration: 22; vars: 61518; clauses: 17077; decisions: 8584
iteration: 23; vars: 64185; clauses: 19584; decisions: 8820
iteration: 24; vars: 66852; clauses: 22091; decisions: 9216
iteration: 25; vars: 69519; clauses: 17136; decisions: 9346
iteration: 26; vars: 72186; clauses: 19643; decisions: 9478
iteration: 27; vars: 74853; clauses: 22150; decisions: 9701
iteration: 28; vars: 77520; clauses: 24657; decisions: 9802
iteration: 29; vars: 80187; clauses: 19891; decisions: 9903
iteration: 30; vars: 82854; clauses: 22398; decisions: 10009
iteration: 31; vars: 85521; clauses: 24905; decisions: 10105
iteration: 32; vars: 88188; clauses: 27412; decisions: 10201
iteration: 33; vars: 90855; clauses: 29919; decisions: 10321
iteration: 34; vars: 93522; clauses: 23032; decisions: 10553
iteration: 35; vars: 96189; clauses: 25539; decisions: 11181
iteration: 36; vars: 98856; clauses: 28046; decisions: 11303
iteration: 37; vars: 101523; clauses: 30553; decisions: 11426
iteration: 38; vars: 104190; clauses: 33060; decisions: 12268
iteration: 39; vars: 106857; clauses: 26480; decisions: 12386
iteration: 40; vars: 109524; clauses: 28987; decisions: 12504
iteration: 41; vars: 112191; clauses: 31494; decisions: 13240
iteration: 42; vars: 114858; clauses: 34001; decisions: 13362
iteration: 43; vars: 117525; clauses: 36508; decisions: 13484
iteration: 44; vars: 120192; clauses: 39015; decisions: 13682
iteration: 45; vars: 122859; clauses: 30557; decisions: 13809
iteration: 46; vars: 125526; clauses: 33064; decisions: 13935
iteration: 47; vars: 128193; clauses: 35571; decisions: 14600
iteration: 48; vars: 130860; clauses: 38078; decisions: 14721
iteration: 49; vars: 133527; clauses: 40585; decisions: 14844
iteration: 50; vars: 136194; clauses: 43092; decisions: 16185
iteration: 51; vars: 138861; clauses: 45599; decisions: 16300
iteration: 52; vars: 141528; clauses: 35127; decisions: 16421
iteration: 53; vars: 144195; clauses: 37634; decisions: 16542
iteration: 54; vars: 146862; clauses: 40141; decisions: 16833
iteration: 55; vars: 149529; clauses: 42648; decisions: 16942
iteration: 56; vars: 152196; clauses: 45155; decisions: 17054
iteration: 57; vars: 154863; clauses: 47662; decisions: 17601
iteration: 58; vars: 157530; clauses: 50169; decisions: 17704
iteration: 59; vars: 160197; clauses: 52676; decisions: 18393
iteration: 60; vars: 162864; clauses: 40538; decisions: 18514
iteration: 61; vars: 165531; clauses: 43045; decisions: 18622
iteration: 62; vars: 168198; clauses: 45552; decisions: 18772
iteration: 63; vars: 170865; clauses: 48059; decisions: 18871
iteration: 64; vars: 173532; clauses: 50566; decisions: 18971
iteration: 65; vars: 176199; clauses: 53073; decisions: 19072
iteration: 66; vars: 178866; clauses: 55580; decisions: 19489
iteration: 67; vars: 181533; clauses: 58087; decisions: 19923
iteration: 68; vars: 184200; clauses: 60594; decisions: 20025
iteration: 69; vars: 186867; clauses: 46751; decisions: 20133
iteration: 70; vars: 189534; clauses: 49258; decisions: 21107
iteration: 71; vars: 192201; clauses: 51765; decisions: 21231
iteration: 72; vars: 194868; clauses: 54272; decisions: 21356
iteration: 73; vars: 197535; clauses: 56779; decisions: 21957
iteration: 74; vars: 200202; clauses: 59286; decisions: 22058
iteration: 75; vars: 202869; clauses: 61793; decisions: 22158
iteration: 76; vars: 205536; clauses: 64300; decisions: 22412
iteration: 77; vars: 208203; clauses: 66807; decisions: 22517
iteration: 78; vars: 210870; clauses: 69314; decisions: 23240
iteration: 79; vars: 213537; clauses: 53351; decisions: 23362
iteration: 80; vars: 216204; clauses: 55858; decisions: 23484
iteration: 81; vars: 218871; clauses: 58365; decisions: 24151
iteration: 82; vars: 221538; clauses: 60872; decisions: 24263
iteration: 83; vars: 224205; clauses: 63379; decisions: 24376
iteration: 84; vars: 226872; clauses: 65886; decisions: 25046
iteration: 85; vars: 229539; clauses: 68393; decisions: 25159
iteration: 86; vars: 232206; clauses: 70900; decisions: 26199
iteration: 87; vars: 234873; clauses: 73407; decisions: 26308
iteration: 88; vars: 237540; clauses: 75914; decisions: 26496
iteration: 89; vars: 240207; clauses: 78421; decisions: 26621
iteration: 90; vars: 242874; clauses: 80928; decisions: 27403
iteration: 91; vars: 245541; clauses: 61672; decisions: 27519
iteration: 92; vars: 248208; clauses: 64179; decisions: 27635
iteration: 93; vars: 250875; clauses: 66686; decisions: 27751
iteration: 94; vars: 253542; clauses: 69193; decisions: 27955
iteration: 95; vars: 256209; clauses: 71700; decisions: 28094
iteration: 96; vars: 258876; clauses: 74207; decisions: 28233
iteration: 97; vars: 261543; clauses: 76714; decisions: 28927
iteration: 98; vars: 264210; clauses: 79221; decisions: 29128
iteration: 99; vars: 266877; clauses: 81728; decisions: 29239
iteration: 100; vars: 269544; clauses: 84235; decisions: 29352
iteration: 101; vars: 272211; clauses: 86742; decisions: 29465
iteration: 102; vars: 274878; clauses: 89249; decisions: 29579
iteration: 103; vars: 277545; clauses: 91756; decisions: 29692
iteration: 104; vars: 280212; clauses: 94263; decisions: 29954
iteration: 105; vars: 282879; clauses: 71226; decisions: 30098
iteration: 106; vars: 285546; clauses: 73733; decisions: 30242
iteration: 107; vars: 288213; clauses: 76240; decisions: 30386
iteration: 108; vars: 290880; clauses: 78747; decisions: 31200
iteration: 109; vars: 293547; clauses: 81254; decisions: 31312
iteration: 110; vars: 296214; clauses: 83761; decisions: 31424
iteration: 111; vars: 298881; clauses: 86268; decisions: 31537
iteration: 112; vars: 301548; clauses: 88775; decisions: 31658
iteration: 113; vars: 304215; clauses: 91282; decisions: 31968
iteration: 114; vars: 306882; clauses: 93789; decisions: 32103
iteration: 115; vars: 309549; clauses: 96296; decisions: 32238
iteration: 116; vars: 312216; clauses: 98803; decisions: 32373
iteration: 117; vars: 314883; clauses: 101310; decisions: 32685
iteration: 118; vars: 317550; clauses: 103817; decisions: 32788
iteration: 119; vars: 320217; clauses: 106324; decisions: 32891
iteration: 120; vars: 322884; clauses: 108831; decisions: 32996
iteration: 121; vars: 325551; clauses: 82276; decisions: 33101
iteration: 122; vars: 328218; clauses: 84783; decisions: 33205
iteration: 123; vars: 330885; clauses: 87290; decisions: 33310
iteration: 124; vars: 333552; clauses: 89797; decisions: 33421
iteration: 125; vars: 336219; clauses: 92304; decisions: 33540
iteration: 126; vars: 338886; clauses: 94811; decisions: 33660
iteration: 127; vars: 341553; clauses: 97318; decisions: 34706
iteration: 128; vars: 344220; clauses: 99825; decisions: 34819
iteration: 129; vars: 346887; clauses: 102332; decisions: 36075
iteration: 130; vars: 349554; clauses: 104839; decisions: 36203
iteration: 131; vars: 352221; clauses: 107346; decisions: 36811
iteration: 132; vars: 354888; clauses: 109853; decisions: 36914
iteration: 133; vars: 357555; clauses: 112360; decisions: 37019
iteration: 134; vars: 360222; clauses: 114867; decisions: 37122
iteration: 135; vars: 362889; clauses: 117374; decisions: 37229
iteration: 136; vars: 365556; clauses: 119881; decisions: 37460
iteration: 137; vars: 368223; clauses: 122388; decisions: 37563
iteration: 138; vars: 370890; clauses: 124895; decisions: 37987
iteration: 139; vars: 373557; clauses: 94542; decisions: 38095
iteration: 140; vars: 376224; clauses: 97049; decisions: 38214
iteration: 141; vars: 378891; clauses: 99556; decisions: 39344
iteration: 142; vars: 381558; clauses: 102063; decisions: 39470
iteration: 143; vars: 384225; clauses: 104570; decisions: 39596
iteration: 144; vars: 386892; clauses: 107077; decisions: 39722
iteration: 145; vars: 389559; clauses: 109584; decisions: 39848
iteration: 146; vars: 392226; clauses: 112091; decisions: 40046
iteration: 147; vars: 394893; clauses: 114598; decisions: 40170
iteration: 148; vars: 397560; clauses: 117105; decisions: 40294
iteration: 149; vars: 400227; clauses: 119612; decisions: 41106
iteration: 150; vars: 402894; clauses: 122119; decisions: 41225
iteration: 151; vars: 405561; clauses: 124626; decisions: 41589
iteration: 152; vars: 408228; clauses: 127133; decisions: 41697
iteration: 153; vars: 410895; clauses: 129640; decisions: 41805
iteration: 154; vars: 413562; clauses: 132147; decisions: 42311
iteration: 155; vars: 416229; clauses: 134654; decisions: 42437
iteration: 156; vars: 418896; clauses: 137161; decisions: 43245
iteration: 157; vars: 421563; clauses: 139668; decisions: 43362
iteration: 158; vars: 424230; clauses: 142175; decisions: 43479
iteration: 159; vars: 426897; clauses: 144682; decisions: 43596
iteration: 160; vars: 429564; clauses: 109263; decisions: 44788
iteration: 161; vars: 432231; clauses: 111770; decisions: 44904
iteration: 162; vars: 434898; clauses: 114277; decisions: 45020
iteration: 163; vars: 437565; clauses: 116784; decisions: 45214
iteration: 164; vars: 440232; clauses: 119291; decisions: 45340
iteration: 165; vars: 442899; clauses: 121798; decisions: 45471
iteration: 166; vars: 445566; clauses: 124305; decisions: 46005
iteration: 167; vars: 448233; clauses: 126812; decisions: 46113
iteration: 168; vars: 450900; clauses: 129319; decisions: 46465
iteration: 169; vars: 453567; clauses: 131826; decisions: 46565
iteration: 170; vars: 456234; clauses: 134333; decisions: 47385
iteration: 171; vars: 458901; clauses: 136840; decisions: 47518
iteration: 172; vars: 461568; clauses: 139347; decisions: 47658
iteration: 173; vars: 464235; clauses: 141854; decisions: 47783
iteration: 174; vars: 466902; clauses: 144361; decisions: 47908
iteration: 175; vars: 469569; clauses: 146868; decisions: 48037
iteration: 176; vars: 472236; clauses: 149375; decisions: 48165
iteration: 177; vars: 474903; clauses: 151882; decisions: 48294
iteration: 178; vars: 477570; clauses: 154389; decisions: 48422
iteration: 179; vars: 480237; clauses: 156896; decisions: 48550
iteration: 180; vars: 482904; clauses: 159403; decisions: 48678
iteration: 181; vars: 485571; clauses: 161910; decisions: 48800
iteration: 182; vars: 488238; clauses: 164417; decisions: 49575
iteration: 183; vars: 490905; clauses: 166924; decisions: 49673
iteration: 184; vars: 493572; clauses: 125939; decisions: 49778
iteration: 185; vars: 496239; clauses: 128446; decisions: 50023
iteration: 186; vars: 498906; clauses: 130953; decisions: 50143
iteration: 187; vars: 501573; clauses: 133460; decisions: 50263
iteration: 188; vars: 504240; clauses: 135967; decisions: 50387
iteration: 189; vars: 506907; clauses: 138474; decisions: 50513
iteration: 190; vars: 509574; clauses: 140981; decisions: 50638
iteration: 191; vars: 512241; clauses: 143488; decisions: 51037
iteration: 192; vars: 514908; clauses: 145995; decisions: 51849
iteration: 193; vars: 517575; clauses: 148502; decisions: 51977
iteration: 194; vars: 520242; clauses: 151009; decisions: 52105
iteration: 195; vars: 522909; clauses: 153516; decisions: 52380
iteration: 196; vars: 525576; clauses: 156023; decisions: 52500
iteration: 197; vars: 528243; clauses: 158530; decisions: 52621
iteration: 198; vars: 530910; clauses: 161037; decisions: 52743
iteration: 199; vars: 533577; clauses: 163544; decisions: 53056
iteration: 200; vars: 536244; clauses: 166051; decisions: 53155
iteration: 201; vars: 538911; clauses: 168558; decisions: 53256
iteration: 202; vars: 541578; clauses: 171065; decisions: 53991
iteration: 203; vars: 544245; clauses: 173572; decisions: 54095
iteration: 204; vars: 546912; clauses: 176079; decisions: 54199
iteration: 205; vars: 549579; clauses: 178586; decisions: 54303
iteration: 206; vars: 552246; clauses: 181093; decisions: 54410
iteration: 207; vars: 554913; clauses: 183600; decisions: 54521
iteration: 208; vars: 557580; clauses: 186107; decisions: 54632
iteration: 209; vars: 560247; clauses: 188614; decisions: 55297
iteration: 210; vars: 562914; clauses: 191121; decisions: 55410
iteration: 211; vars: 565581; clauses: 193628; decisions: 55523
