inputs=256 keys=64 outputs=245 gates=13599
iteration: 1; vars: 27830; clauses: 16690; decisions: 129824
iteration: 2; vars: 41184; clauses: 17795; decisions: 160218
iteration: 3; vars: 54538; clauses: 26745; decisions: 160627
iteration: 4; vars: 67892; clauses: 21476; decisions: 161535
iteration: 5; vars: 81246; clauses: 30426; decisions: 161949
iteration: 6; vars: 94600; clauses: 39376; decisions: 163130
iteration: 7; vars: 107954; clauses: 26961; decisions: 163532
iteration: 8; vars: 121308; clauses: 35911; decisions: 165168
iteration: 9; vars: 134662; clauses: 44861; decisions: 165512
iteration: 10; vars: 148016; clauses: 31965; decisions: 167316
iteration: 11; vars: 161370; clauses: 40915; decisions: 167715
iteration: 12; vars: 174724; clauses: 49865; decisions: 168314
iteration: 13; vars: 188078; clauses: 37120; decisions: 168717
iteration: 14; vars: 201432; clauses: 46070; decisions: 172632
iteration: 15; vars: 214786; clauses: 55020; decisions: 175234
iteration: 16; vars: 228140; clauses: 63970; decisions: 175580
iteration: 17; vars: 241494; clauses: 44394; decisions: 176461
iteration: 18; vars: 254848; clauses: 53344; decisions: 176905
iteration: 19; vars: 268202; clauses: 62294; decisions: 177243
iteration: 20; vars: 281556; clauses: 71244; decisions: 177643
iteration: 21; vars: 294910; clauses: 80194; decisions: 178080
iteration: 22; vars: 308264; clauses: 52678; decisions: 178487
iteration: 23; vars: 321618; clauses: 61628; decisions: 179443
iteration: 24; vars: 334972; clauses: 70578; decisions: 179882
iteration: 25; vars: 348326; clauses: 79528; decisions: 182176
iteration: 26; vars: 361680; clauses: 88478; decisions: 182528
iteration: 27; vars: 375034; clauses: 61916; decisions: 183026
iteration: 28; vars: 388388; clauses: 70866; decisions: 184098
iteration: 29; vars: 401742; clauses: 79816; decisions: 184674
iteration: 30; vars: 415096; clauses: 88766; decisions: 185292
iteration: 31; vars: 428450; clauses: 97716; decisions: 185907
iteration: 32; vars: 441804; clauses: 106666; decisions: 186888
iteration: 33; vars: 455158; clauses: 72336; decisions: 187879
iteration: 34; vars: 468512; clauses: 81286; decisions: 188282
iteration: 35; vars: 481866; clauses: 90236; decisions: 190179
iteration: 36; vars: 495220; clauses: 99186; decisions: 190583
iteration: 37; vars: 508574; clauses: 108136; decisions: 206192
iteration: 38; vars: 521928; clauses: 117086; decisions: 207554
iteration: 39; vars: 535282; clauses: 126036; decisions: 212185
iteration: 40; vars: 548636; clauses: 84512; decisions: 217626
iteration: 41; vars: 561990; clauses: 93462; decisions: 219274
iteration: 42; vars: 575344; clauses: 102412; decisions: 220239
iteration: 43; vars: 588698; clauses: 111362; decisions: 220582
iteration: 44; vars: 602052; clauses: 120312; decisions: 221665
iteration: 45; vars: 615406; clauses: 129262; decisions: 222808
iteration: 46; vars: 628760; clauses: 138212; decisions: 223255
iteration: 47; vars: 642114; clauses: 147162; decisions: 224105
iteration: 48; vars: 655468; clauses: 98868; decisions: 225620
iteration: 49; vars: 668822; clauses: 107818; decisions: 226863
iteration: 50; vars: 682176; clauses: 116768; decisions: 227311
iteration: 51; vars: 695530; clauses: 125718; decisions: 228335
iteration: 52; vars: 708884; clauses: 134668; decisions: 228713
iteration: 53; vars: 722238; clauses: 143618; decisions: 229364
iteration: 54; vars: 735592; clauses: 152568; decisions: 229719
iteration: 55; vars: 748946; clauses: 161518; decisions: 230084
iteration: 56; vars: 762300; clauses: 170468; decisions: 230465
iteration: 57; vars: 775654; clauses: 115371; decisions: 231361
iteration: 58; vars: 789008; clauses: 124321; decisions: 232349
iteration: 59; vars: 802362; clauses: 133271; decisions: 232769
iteration: 60; vars: 815716; clauses: 142221; decisions: 233147
iteration: 61; vars: 829070; clauses: 151171; decisions: 233651
iteration: 62; vars: 842424; clauses: 160121; decisions: 235690
iteration: 63; vars: 855778; clauses: 169071; decisions: 236059
iteration: 64; vars: 869132; clauses: 178021; decisions: 236676
iteration: 65; vars: 882486; clauses: 186971; decisions: 237695
iteration: 66; vars: 895840; clauses: 195921; decisions: 238068
iteration: 67; vars: 909194; clauses: 204871; decisions: 238848
iteration: 68; vars: 922548; clauses: 134416; decisions: 239839
iteration: 69; vars: 935902; clauses: 143366; decisions: 240232
iteration: 70; vars: 949256; clauses: 152316; decisions: 240965
iteration: 71; vars: 962610; clauses: 161266; decisions: 241475
iteration: 72; vars: 975964; clauses: 170216; decisions: 242307
iteration: 73; vars: 989318; clauses: 179166; decisions: 242797
iteration: 74; vars: 1002672; clauses: 188116; decisions: 243187
iteration: 75; vars: 1016026; clauses: 197066; decisions: 243575
iteration: 76; vars: 1029380; clauses: 206016; decisions: 243970
iteration: 77; vars: 1042734; clauses: 214966; decisions: 244794
iteration: 78; vars: 1056088; clauses: 223916; decisions: 245931
iteration: 79; vars: 1069442; clauses: 232866; decisions: 248114
iteration: 80; vars: 1082796; clauses: 241816; decisions: 322015
iteration: 81; vars: 1096150; clauses: 157759; decisions: 341380
iteration: 82; vars: 1109504; clauses: 166709; decisions: 359840
finished solver loop. fail_count = 0
key=0010011100111010011001111011011110001011001100011111000010111100
iteration=83; backbones_count=0; cube_count=5395092; cpu_time=44.1574; maxrss=185.625
