inputs=10 keys=10 outputs=10 gates=5241
iteration: 1; vars: 10525; clauses: 4930; decisions: 47
iteration: 2; vars: 15756; clauses: 5330; decisions: 94
iteration: 3; vars: 20987; clauses: 5730; decisions: 122
iteration: 4; vars: 26218; clauses: 6130; decisions: 154
iteration: 5; vars: 31449; clauses: 6530; decisions: 182
iteration: 6; vars: 36680; clauses: 6930; decisions: 226
iteration: 7; vars: 41911; clauses: 7330; decisions: 256
iteration: 8; vars: 47142; clauses: 7730; decisions: 282
iteration: 9; vars: 52373; clauses: 8130; decisions: 305
iteration: 10; vars: 57604; clauses: 4981; decisions: 327
iteration: 11; vars: 62835; clauses: 5381; decisions: 350
iteration: 12; vars: 68066; clauses: 5781; decisions: 371
iteration: 13; vars: 73297; clauses: 6181; decisions: 393
iteration: 14; vars: 78528; clauses: 6581; decisions: 417
iteration: 15; vars: 83759; clauses: 6981; decisions: 438
iteration: 16; vars: 88990; clauses: 7381; decisions: 460
iteration: 17; vars: 94221; clauses: 7781; decisions: 493
iteration: 18; vars: 99452; clauses: 8181; decisions: 523
iteration: 19; vars: 104683; clauses: 5036; decisions: 551
iteration: 20; vars: 109914; clauses: 5436; decisions: 578
iteration: 21; vars: 115145; clauses: 5836; decisions: 606
iteration: 22; vars: 120376; clauses: 6236; decisions: 645
iteration: 23; vars: 125607; clauses: 6636; decisions: 672
iteration: 24; vars: 130838; clauses: 7036; decisions: 701
iteration: 25; vars: 136069; clauses: 7436; decisions: 730
iteration: 26; vars: 141300; clauses: 7836; decisions: 756
iteration: 27; vars: 146531; clauses: 8236; decisions: 781
iteration: 28; vars: 151762; clauses: 5093; decisions: 807
iteration: 29; vars: 156993; clauses: 5493; decisions: 834
iteration: 30; vars: 162224; clauses: 5893; decisions: 858
iteration: 31; vars: 167455; clauses: 6293; decisions: 881
iteration: 32; vars: 172686; clauses: 6693; decisions: 905
iteration: 33; vars: 177917; clauses: 7093; decisions: 928
iteration: 34; vars: 183148; clauses: 7493; decisions: 951
iteration: 35; vars: 188379; clauses: 7893; decisions: 977
iteration: 36; vars: 193610; clauses: 8293; decisions: 1002
