inputs=41 keys=41 outputs=35 gates=6135
iteration: 1; vars: 12431; clauses: 7346; decisions: 3193
iteration: 2; vars: 18531; clauses: 10844; decisions: 3655
iteration: 3; vars: 24631; clauses: 9099; decisions: 4024
iteration: 4; vars: 30731; clauses: 12597; decisions: 7490
iteration: 5; vars: 36831; clauses: 10959; decisions: 7739
iteration: 6; vars: 42931; clauses: 14457; decisions: 8265
iteration: 7; vars: 49031; clauses: 12732; decisions: 8660
iteration: 8; vars: 55131; clauses: 16230; decisions: 8962
iteration: 9; vars: 61231; clauses: 14557; decisions: 9109
iteration: 10; vars: 67331; clauses: 18055; decisions: 9266
iteration: 11; vars: 73431; clauses: 21553; decisions: 11085
iteration: 12; vars: 79531; clauses: 17448; decisions: 11251
iteration: 13; vars: 85631; clauses: 20946; decisions: 13091
iteration: 14; vars: 91731; clauses: 24444; decisions: 15003
iteration: 15; vars: 97831; clauses: 19962; decisions: 15124
iteration: 16; vars: 103931; clauses: 23460; decisions: 15245
iteration: 17; vars: 110031; clauses: 26958; decisions: 16382
iteration: 18; vars: 116131; clauses: 30456; decisions: 16525
iteration: 19; vars: 122231; clauses: 23841; decisions: 16664
iteration: 20; vars: 128331; clauses: 27339; decisions: 17349
iteration: 21; vars: 134431; clauses: 30837; decisions: 17479
iteration: 22; vars: 140531; clauses: 34335; decisions: 18270
iteration: 23; vars: 146631; clauses: 27613; decisions: 18399
iteration: 24; vars: 152731; clauses: 31111; decisions: 18533
iteration: 25; vars: 158831; clauses: 34609; decisions: 19916
iteration: 26; vars: 164931; clauses: 38107; decisions: 21346
iteration: 27; vars: 171031; clauses: 41605; decisions: 22263
iteration: 28; vars: 177131; clauses: 31531; decisions: 23096
iteration: 29; vars: 183231; clauses: 35029; decisions: 23927
iteration: 30; vars: 189331; clauses: 38527; decisions: 24695
iteration: 31; vars: 195431; clauses: 42025; decisions: 24826
iteration: 32; vars: 201531; clauses: 45523; decisions: 25207
iteration: 33; vars: 207631; clauses: 36231; decisions: 25349
iteration: 34; vars: 213731; clauses: 39729; decisions: 25624
iteration: 35; vars: 219831; clauses: 43227; decisions: 25939
iteration: 36; vars: 225931; clauses: 46725; decisions: 26836
iteration: 37; vars: 232031; clauses: 50223; decisions: 26940
iteration: 38; vars: 238131; clauses: 53721; decisions: 27313
iteration: 39; vars: 244231; clauses: 42175; decisions: 27701
iteration: 40; vars: 250331; clauses: 45673; decisions: 28103
iteration: 41; vars: 256431; clauses: 49171; decisions: 28384
iteration: 42; vars: 262531; clauses: 52669; decisions: 28496
iteration: 43; vars: 268631; clauses: 56167; decisions: 28875
iteration: 44; vars: 274731; clauses: 59665; decisions: 29362
iteration: 45; vars: 280831; clauses: 63163; decisions: 29479
iteration: 46; vars: 286931; clauses: 48523; decisions: 30160
iteration: 47; vars: 293031; clauses: 52021; decisions: 30291
iteration: 48; vars: 299131; clauses: 55519; decisions: 31180
iteration: 49; vars: 305231; clauses: 59017; decisions: 31647
iteration: 50; vars: 311331; clauses: 62515; decisions: 33337
iteration: 51; vars: 317431; clauses: 66013; decisions: 34851
iteration: 52; vars: 323531; clauses: 69511; decisions: 35303
iteration: 53; vars: 329631; clauses: 73009; decisions: 37710
iteration: 54; vars: 335731; clauses: 55417; decisions: 41654
finished solver loop. fail_count = 0
key=10010010011001111001010111010110110110111
iteration=55; backbones_count=0; cube_count=1604912; cpu_time=10.4397; maxrss=57.1992
