inputs=39 keys=39 outputs=3 gates=2810
iteration: 1; vars: 5743; clauses: 3889; decisions: 413
iteration: 2; vars: 8550; clauses: 4601; decisions: 2465
iteration: 3; vars: 11357; clauses: 5367; decisions: 2679
iteration: 4; vars: 14164; clauses: 6211; decisions: 2778
iteration: 5; vars: 16971; clauses: 9120; decisions: 2881
iteration: 6; vars: 19778; clauses: 7003; decisions: 3688
iteration: 7; vars: 22585; clauses: 9912; decisions: 3791
iteration: 8; vars: 25392; clauses: 8758; decisions: 3892
iteration: 9; vars: 28199; clauses: 11667; decisions: 3993
iteration: 10; vars: 31006; clauses: 10428; decisions: 4107
iteration: 11; vars: 33813; clauses: 13337; decisions: 4221
iteration: 12; vars: 36620; clauses: 11304; decisions: 4340
iteration: 13; vars: 39427; clauses: 14213; decisions: 4459
iteration: 14; vars: 42234; clauses: 12587; decisions: 4580
iteration: 15; vars: 45041; clauses: 15496; decisions: 5052
iteration: 16; vars: 47848; clauses: 18405; decisions: 5148
iteration: 17; vars: 50655; clauses: 15253; decisions: 5245
iteration: 18; vars: 53462; clauses: 18162; decisions: 5404
iteration: 19; vars: 56269; clauses: 21071; decisions: 6514
iteration: 20; vars: 59076; clauses: 17172; decisions: 6682
iteration: 21; vars: 61883; clauses: 20081; decisions: 6785
iteration: 22; vars: 64690; clauses: 22990; decisions: 7022
iteration: 23; vars: 67497; clauses: 19854; decisions: 7126
iteration: 24; vars: 70304; clauses: 22763; decisions: 7228
iteration: 25; vars: 73111; clauses: 25672; decisions: 8396
iteration: 26; vars: 75918; clauses: 28581; decisions: 8526
iteration: 27; vars: 78725; clauses: 23016; decisions: 8649
iteration: 28; vars: 81532; clauses: 25925; decisions: 8773
iteration: 29; vars: 84339; clauses: 28834; decisions: 9521
iteration: 30; vars: 87146; clauses: 31743; decisions: 9640
iteration: 31; vars: 89953; clauses: 26774; decisions: 9758
iteration: 32; vars: 92760; clauses: 29683; decisions: 10241
iteration: 33; vars: 95567; clauses: 32592; decisions: 10385
iteration: 34; vars: 98374; clauses: 35501; decisions: 10502
iteration: 35; vars: 101181; clauses: 38410; decisions: 11221
iteration: 36; vars: 103988; clauses: 31238; decisions: 11329
iteration: 37; vars: 106795; clauses: 34147; decisions: 11438
iteration: 38; vars: 109602; clauses: 37056; decisions: 11594
iteration: 39; vars: 112409; clauses: 39965; decisions: 11702
iteration: 40; vars: 115216; clauses: 42874; decisions: 11810
iteration: 41; vars: 118023; clauses: 45783; decisions: 11918
iteration: 42; vars: 120830; clauses: 36399; decisions: 12026
iteration: 43; vars: 123637; clauses: 39308; decisions: 12134
iteration: 44; vars: 126444; clauses: 42217; decisions: 12242
iteration: 45; vars: 129251; clauses: 45126; decisions: 12350
iteration: 46; vars: 132058; clauses: 48035; decisions: 12458
iteration: 47; vars: 134865; clauses: 50944; decisions: 12567
iteration: 48; vars: 137672; clauses: 41618; decisions: 12683
iteration: 49; vars: 140479; clauses: 44527; decisions: 12806
iteration: 50; vars: 143286; clauses: 47436; decisions: 12928
iteration: 51; vars: 146093; clauses: 50345; decisions: 13050
iteration: 52; vars: 148900; clauses: 53254; decisions: 13173
iteration: 53; vars: 151707; clauses: 56163; decisions: 13638
iteration: 54; vars: 154514; clauses: 59072; decisions: 13763
iteration: 55; vars: 157321; clauses: 48050; decisions: 13903
iteration: 56; vars: 160128; clauses: 50959; decisions: 14968
iteration: 57; vars: 162935; clauses: 53868; decisions: 15127
iteration: 58; vars: 165742; clauses: 56777; decisions: 15286
iteration: 59; vars: 168549; clauses: 59686; decisions: 15445
iteration: 60; vars: 171356; clauses: 62595; decisions: 15608
iteration: 61; vars: 174163; clauses: 65504; decisions: 16985
iteration: 62; vars: 176970; clauses: 68413; decisions: 17343
iteration: 63; vars: 179777; clauses: 54888; decisions: 17443
iteration: 64; vars: 182584; clauses: 57797; decisions: 17546
iteration: 65; vars: 185391; clauses: 60706; decisions: 19104
iteration: 66; vars: 188198; clauses: 63615; decisions: 19271
iteration: 67; vars: 191005; clauses: 66524; decisions: 19380
iteration: 68; vars: 193812; clauses: 69433; decisions: 19503
iteration: 69; vars: 196619; clauses: 72342; decisions: 20202
iteration: 70; vars: 199426; clauses: 75251; decisions: 20449
iteration: 71; vars: 202233; clauses: 78160; decisions: 20550
iteration: 72; vars: 205040; clauses: 62995; decisions: 20654
iteration: 73; vars: 207847; clauses: 65904; decisions: 20759
iteration: 74; vars: 210654; clauses: 68813; decisions: 21403
iteration: 75; vars: 213461; clauses: 71722; decisions: 21517
iteration: 76; vars: 216268; clauses: 74631; decisions: 21632
iteration: 77; vars: 219075; clauses: 77540; decisions: 22555
iteration: 78; vars: 221882; clauses: 80449; decisions: 22666
iteration: 79; vars: 224689; clauses: 83358; decisions: 22777
iteration: 80; vars: 227496; clauses: 86267; decisions: 23884
iteration: 81; vars: 230303; clauses: 89176; decisions: 24010
iteration: 82; vars: 233110; clauses: 92085; decisions: 24137
iteration: 83; vars: 235917; clauses: 73078; decisions: 24267
iteration: 84; vars: 238724; clauses: 75987; decisions: 24396
iteration: 85; vars: 241531; clauses: 78896; decisions: 24793
iteration: 86; vars: 244338; clauses: 81805; decisions: 24968
iteration: 87; vars: 247145; clauses: 84714; decisions: 25138
iteration: 88; vars: 249952; clauses: 87623; decisions: 25296
iteration: 89; vars: 252759; clauses: 90532; decisions: 25408
iteration: 90; vars: 255566; clauses: 93441; decisions: 25788
iteration: 91; vars: 258373; clauses: 96350; decisions: 25903
iteration: 92; vars: 261180; clauses: 99259; decisions: 26659
iteration: 93; vars: 263987; clauses: 102168; decisions: 26829
iteration: 94; vars: 266794; clauses: 105077; decisions: 26999
iteration: 95; vars: 269601; clauses: 84105; decisions: 27969
iteration: 96; vars: 272408; clauses: 87014; decisions: 28081
iteration: 97; vars: 275215; clauses: 89923; decisions: 28273
iteration: 98; vars: 278022; clauses: 92832; decisions: 28394
iteration: 99; vars: 280829; clauses: 95741; decisions: 28515
iteration: 100; vars: 283636; clauses: 98650; decisions: 29025
iteration: 101; vars: 286443; clauses: 101559; decisions: 29116
iteration: 102; vars: 289250; clauses: 104468; decisions: 29482
iteration: 103; vars: 292057; clauses: 107377; decisions: 29623
iteration: 104; vars: 294864; clauses: 110286; decisions: 30016
iteration: 105; vars: 297671; clauses: 113195; decisions: 30128
iteration: 106; vars: 300478; clauses: 116104; decisions: 30241
iteration: 107; vars: 303285; clauses: 119013; decisions: 30365
iteration: 108; vars: 306092; clauses: 121922; decisions: 31013
iteration: 109; vars: 308899; clauses: 96578; decisions: 31139
iteration: 110; vars: 311706; clauses: 99487; decisions: 31240
iteration: 111; vars: 314513; clauses: 102396; decisions: 31341
iteration: 112; vars: 317320; clauses: 105305; decisions: 31440
iteration: 113; vars: 320127; clauses: 108214; decisions: 31542
iteration: 114; vars: 322934; clauses: 111123; decisions: 31645
iteration: 115; vars: 325741; clauses: 114032; decisions: 32007
iteration: 116; vars: 328548; clauses: 116941; decisions: 32134
iteration: 117; vars: 331355; clauses: 119850; decisions: 32261
iteration: 118; vars: 334162; clauses: 122759; decisions: 32388
iteration: 119; vars: 336969; clauses: 125668; decisions: 32515
iteration: 120; vars: 339776; clauses: 128577; decisions: 32642
iteration: 121; vars: 342583; clauses: 131486; decisions: 32769
iteration: 122; vars: 345390; clauses: 134395; decisions: 32899
iteration: 123; vars: 348197; clauses: 137304; decisions: 33029
iteration: 124; vars: 351004; clauses: 140213; decisions: 33160
iteration: 125; vars: 353811; clauses: 111547; decisions: 33306
iteration: 126; vars: 356618; clauses: 114456; decisions: 33452
iteration: 127; vars: 359425; clauses: 117365; decisions: 33599
iteration: 128; vars: 362232; clauses: 120274; decisions: 33746
iteration: 129; vars: 365039; clauses: 123183; decisions: 34170
iteration: 130; vars: 367846; clauses: 126092; decisions: 34289
iteration: 131; vars: 370653; clauses: 129001; decisions: 34413
iteration: 132; vars: 373460; clauses: 131910; decisions: 34538
iteration: 133; vars: 376267; clauses: 134819; decisions: 34729
iteration: 134; vars: 379074; clauses: 137728; decisions: 34848
iteration: 135; vars: 381881; clauses: 140637; decisions: 35690
iteration: 136; vars: 384688; clauses: 143546; decisions: 35793
iteration: 137; vars: 387495; clauses: 146455; decisions: 35894
iteration: 138; vars: 390302; clauses: 149364; decisions: 35995
iteration: 139; vars: 393109; clauses: 152273; decisions: 36100
iteration: 140; vars: 395916; clauses: 155182; decisions: 36207
iteration: 141; vars: 398723; clauses: 158091; decisions: 36316
iteration: 142; vars: 401530; clauses: 161000; decisions: 36444
iteration: 143; vars: 404337; clauses: 163909; decisions: 36555
iteration: 144; vars: 407144; clauses: 129133; decisions: 36782
iteration: 145; vars: 409951; clauses: 132042; decisions: 37042
iteration: 146; vars: 412758; clauses: 134951; decisions: 37145
iteration: 147; vars: 415565; clauses: 137860; decisions: 37249
iteration: 148; vars: 418372; clauses: 140769; decisions: 37369
iteration: 149; vars: 421179; clauses: 143678; decisions: 37681
iteration: 150; vars: 423986; clauses: 146587; decisions: 37793
iteration: 151; vars: 426793; clauses: 149496; decisions: 38154
iteration: 152; vars: 429600; clauses: 152405; decisions: 38305
iteration: 153; vars: 432407; clauses: 155314; decisions: 38461
iteration: 154; vars: 435214; clauses: 158223; decisions: 38673
iteration: 155; vars: 438021; clauses: 161132; decisions: 38788
iteration: 156; vars: 440828; clauses: 164041; decisions: 39201
iteration: 157; vars: 443635; clauses: 166950; decisions: 39319
iteration: 158; vars: 446442; clauses: 169859; decisions: 39439
iteration: 159; vars: 449249; clauses: 172768; decisions: 39558
iteration: 160; vars: 452056; clauses: 175677; decisions: 39989
iteration: 161; vars: 454863; clauses: 178586; decisions: 40103
iteration: 162; vars: 457670; clauses: 181495; decisions: 40218
iteration: 163; vars: 460477; clauses: 184404; decisions: 40460
iteration: 164; vars: 463284; clauses: 187313; decisions: 40570
iteration: 165; vars: 466091; clauses: 190222; decisions: 40682
iteration: 166; vars: 468898; clauses: 149847; decisions: 40812
iteration: 167; vars: 471705; clauses: 152756; decisions: 40946
iteration: 168; vars: 474512; clauses: 155665; decisions: 42211
iteration: 169; vars: 477319; clauses: 158574; decisions: 42353
iteration: 170; vars: 480126; clauses: 161483; decisions: 42496
iteration: 171; vars: 482933; clauses: 164392; decisions: 42694
iteration: 172; vars: 485740; clauses: 167301; decisions: 42791
iteration: 173; vars: 488547; clauses: 170210; decisions: 42969
iteration: 174; vars: 491354; clauses: 173119; decisions: 43087
iteration: 175; vars: 494161; clauses: 176028; decisions: 44306
iteration: 176; vars: 496968; clauses: 178937; decisions: 44455
iteration: 177; vars: 499775; clauses: 181846; decisions: 44584
iteration: 178; vars: 502582; clauses: 184755; decisions: 44880
iteration: 179; vars: 505389; clauses: 187664; decisions: 45014
iteration: 180; vars: 508196; clauses: 190573; decisions: 45235
iteration: 181; vars: 511003; clauses: 193482; decisions: 45498
iteration: 182; vars: 513810; clauses: 196391; decisions: 45659
iteration: 183; vars: 516617; clauses: 199300; decisions: 45818
iteration: 184; vars: 519424; clauses: 202209; decisions: 45967
iteration: 185; vars: 522231; clauses: 205118; decisions: 46118
iteration: 186; vars: 525038; clauses: 208027; decisions: 46508
iteration: 187; vars: 527845; clauses: 210936; decisions: 46616
iteration: 188; vars: 530652; clauses: 213845; decisions: 46724
iteration: 189; vars: 533459; clauses: 216754; decisions: 47129
iteration: 190; vars: 536266; clauses: 219663; decisions: 47231
iteration: 191; vars: 539073; clauses: 172784; decisions: 47341
iteration: 192; vars: 541880; clauses: 175693; decisions: 47455
iteration: 193; vars: 544687; clauses: 178602; decisions: 48272
iteration: 194; vars: 547494; clauses: 181511; decisions: 48389
iteration: 195; vars: 550301; clauses: 184420; decisions: 48508
iteration: 196; vars: 553108; clauses: 187329; decisions: 48638
iteration: 197; vars: 555915; clauses: 190238; decisions: 49035
iteration: 198; vars: 558722; clauses: 193147; decisions: 49153
iteration: 199; vars: 561529; clauses: 196056; decisions: 49527
iteration: 200; vars: 564336; clauses: 198965; decisions: 49714
iteration: 201; vars: 567143; clauses: 201874; decisions: 49893
iteration: 202; vars: 569950; clauses: 204783; decisions: 50176
iteration: 203; vars: 572757; clauses: 207692; decisions: 50277
iteration: 204; vars: 575564; clauses: 210601; decisions: 51177
iteration: 205; vars: 578371; clauses: 213510; decisions: 51341
iteration: 206; vars: 581178; clauses: 216419; decisions: 51582
iteration: 207; vars: 583985; clauses: 219328; decisions: 52783
iteration: 208; vars: 586792; clauses: 222237; decisions: 52915
iteration: 209; vars: 589599; clauses: 225146; decisions: 53055
iteration: 210; vars: 592406; clauses: 228055; decisions: 53372
iteration: 211; vars: 595213; clauses: 230964; decisions: 53994
iteration: 212; vars: 598020; clauses: 233873; decisions: 54136
iteration: 213; vars: 600827; clauses: 236782; decisions: 54568
iteration: 214; vars: 603634; clauses: 239691; decisions: 54720
iteration: 215; vars: 606441; clauses: 242600; decisions: 54867
iteration: 216; vars: 609248; clauses: 245509; decisions: 55329
iteration: 217; vars: 612055; clauses: 248418; decisions: 55464
iteration: 218; vars: 614862; clauses: 251327; decisions: 55600
iteration: 219; vars: 617669; clauses: 254236; decisions: 56011
iteration: 220; vars: 620476; clauses: 199996; decisions: 56127
iteration: 221; vars: 623283; clauses: 202905; decisions: 56249
iteration: 222; vars: 626090; clauses: 205814; decisions: 57374
iteration: 223; vars: 628897; clauses: 208723; decisions: 57487
iteration: 224; vars: 631704; clauses: 211632; decisions: 57601
iteration: 225; vars: 634511; clauses: 214541; decisions: 57729
iteration: 226; vars: 637318; clauses: 217450; decisions: 58532
iteration: 227; vars: 640125; clauses: 220359; decisions: 58646
iteration: 228; vars: 642932; clauses: 223268; decisions: 58761
iteration: 229; vars: 645739; clauses: 226177; decisions: 58884
iteration: 230; vars: 648546; clauses: 229086; decisions: 59637
iteration: 231; vars: 651353; clauses: 231995; decisions: 59812
iteration: 232; vars: 654160; clauses: 234904; decisions: 60190
iteration: 233; vars: 656967; clauses: 237813; decisions: 60770
iteration: 234; vars: 659774; clauses: 240722; decisions: 60894
iteration: 235; vars: 662581; clauses: 243631; decisions: 61053
iteration: 236; vars: 665388; clauses: 246540; decisions: 61588
iteration: 237; vars: 668195; clauses: 249449; decisions: 62526
iteration: 238; vars: 671002; clauses: 252358; decisions: 62625
iteration: 239; vars: 673809; clauses: 255267; decisions: 62730
iteration: 240; vars: 676616; clauses: 258176; decisions: 62828
iteration: 241; vars: 679423; clauses: 261085; decisions: 62929
iteration: 242; vars: 682230; clauses: 263994; decisions: 63799
iteration: 243; vars: 685037; clauses: 266903; decisions: 63943
iteration: 244; vars: 687844; clauses: 269812; decisions: 64086
iteration: 245; vars: 690651; clauses: 272721; decisions: 64518
iteration: 246; vars: 693458; clauses: 275630; decisions: 64685
iteration: 247; vars: 696265; clauses: 278539; decisions: 64850
iteration: 248; vars: 699072; clauses: 281448; decisions: 65529
iteration: 249; vars: 701879; clauses: 284357; decisions: 65695
iteration: 250; vars: 704686; clauses: 287266; decisions: 65861
iteration: 251; vars: 707493; clauses: 290175; decisions: 65970
iteration: 252; vars: 710300; clauses: 293084; decisions: 66322
iteration: 253; vars: 713107; clauses: 295993; decisions: 66478
iteration: 254; vars: 715914; clauses: 231493; decisions: 66598
iteration: 255; vars: 718721; clauses: 234402; decisions: 66719
iteration: 256; vars: 721528; clauses: 237311; decisions: 66839
iteration: 257; vars: 724335; clauses: 240220; decisions: 66959
iteration: 258; vars: 727142; clauses: 243129; decisions: 67079
iteration: 259; vars: 729949; clauses: 246038; decisions: 67199
iteration: 260; vars: 732756; clauses: 248947; decisions: 67319
iteration: 261; vars: 735563; clauses: 251856; decisions: 67439
iteration: 262; vars: 738370; clauses: 254765; decisions: 67559
iteration: 263; vars: 741177; clauses: 257674; decisions: 67679
iteration: 264; vars: 743984; clauses: 260583; decisions: 67799
iteration: 265; vars: 746791; clauses: 263492; decisions: 67920
iteration: 266; vars: 749598; clauses: 266401; decisions: 68040
iteration: 267; vars: 752405; clauses: 269310; decisions: 68160
iteration: 268; vars: 755212; clauses: 272219; decisions: 69220
iteration: 269; vars: 758019; clauses: 275128; decisions: 69346
iteration: 270; vars: 760826; clauses: 278037; decisions: 69472
iteration: 271; vars: 763633; clauses: 280946; decisions: 69598
iteration: 272; vars: 766440; clauses: 283855; decisions: 69711
iteration: 273; vars: 769247; clauses: 286764; decisions: 69824
iteration: 274; vars: 772054; clauses: 289673; decisions: 69937
