inputs=207 keys=64 outputs=108 gates=8234
iteration: 1; vars: 16914; clauses: 10089; decisions: 40905
iteration: 2; vars: 25041; clauses: 16749; decisions: 41614
iteration: 3; vars: 33168; clauses: 13729; decisions: 44468
iteration: 4; vars: 41295; clauses: 20389; decisions: 44796
iteration: 5; vars: 49422; clauses: 17156; decisions: 45136
iteration: 6; vars: 57549; clauses: 23816; decisions: 47458
iteration: 7; vars: 65676; clauses: 20776; decisions: 47905
iteration: 8; vars: 73803; clauses: 27436; decisions: 48249
iteration: 9; vars: 81930; clauses: 24162; decisions: 48566
iteration: 10; vars: 90057; clauses: 30822; decisions: 48878
iteration: 11; vars: 98184; clauses: 37482; decisions: 49196
iteration: 12; vars: 106311; clauses: 29185; decisions: 49612
iteration: 13; vars: 114438; clauses: 35845; decisions: 49956
iteration: 14; vars: 122565; clauses: 42505; decisions: 51799
iteration: 15; vars: 130692; clauses: 34349; decisions: 52178
iteration: 16; vars: 138819; clauses: 41009; decisions: 52526
iteration: 17; vars: 146946; clauses: 47669; decisions: 52875
iteration: 18; vars: 155073; clauses: 54329; decisions: 53218
iteration: 19; vars: 163200; clauses: 41601; decisions: 53559
iteration: 20; vars: 171327; clauses: 48261; decisions: 54019
iteration: 21; vars: 179454; clauses: 54921; decisions: 54472
iteration: 22; vars: 187581; clauses: 61581; decisions: 56588
iteration: 23; vars: 195708; clauses: 47986; decisions: 59151
iteration: 24; vars: 203835; clauses: 54646; decisions: 60487
iteration: 25; vars: 211962; clauses: 61306; decisions: 60833
iteration: 26; vars: 220089; clauses: 67966; decisions: 62235
iteration: 27; vars: 228216; clauses: 74626; decisions: 62564
iteration: 28; vars: 236343; clauses: 57153; decisions: 62896
iteration: 29; vars: 244470; clauses: 63813; decisions: 63228
iteration: 30; vars: 252597; clauses: 70473; decisions: 63774
iteration: 31; vars: 260724; clauses: 77133; decisions: 64082
iteration: 32; vars: 268851; clauses: 83793; decisions: 64390
iteration: 33; vars: 276978; clauses: 90453; decisions: 64699
iteration: 34; vars: 285105; clauses: 67996; decisions: 65749
iteration: 35; vars: 293232; clauses: 74656; decisions: 67951
iteration: 36; vars: 301359; clauses: 81316; decisions: 68280
iteration: 37; vars: 309486; clauses: 87976; decisions: 68611
iteration: 38; vars: 317613; clauses: 94636; decisions: 69017
iteration: 39; vars: 325740; clauses: 101296; decisions: 69315
iteration: 40; vars: 333867; clauses: 107956; decisions: 69851
iteration: 41; vars: 341994; clauses: 80408; decisions: 70149
iteration: 42; vars: 350121; clauses: 87068; decisions: 70448
iteration: 43; vars: 358248; clauses: 93728; decisions: 72875
iteration: 44; vars: 366375; clauses: 100388; decisions: 73220
iteration: 45; vars: 374502; clauses: 107048; decisions: 74629
iteration: 46; vars: 382629; clauses: 113708; decisions: 74944
iteration: 47; vars: 390756; clauses: 120368; decisions: 75261
iteration: 48; vars: 398883; clauses: 127028; decisions: 75816
iteration: 49; vars: 407010; clauses: 94819; decisions: 76118
iteration: 50; vars: 415137; clauses: 101479; decisions: 76418
iteration: 51; vars: 423264; clauses: 108139; decisions: 76717
iteration: 52; vars: 431391; clauses: 114799; decisions: 77257
iteration: 53; vars: 439518; clauses: 121459; decisions: 79989
iteration: 54; vars: 447645; clauses: 128119; decisions: 80360
iteration: 55; vars: 455772; clauses: 134779; decisions: 80728
iteration: 56; vars: 463899; clauses: 141439; decisions: 81097
iteration: 57; vars: 472026; clauses: 148099; decisions: 83364
iteration: 58; vars: 480153; clauses: 111488; decisions: 83708
iteration: 59; vars: 488280; clauses: 118148; decisions: 84060
iteration: 60; vars: 496407; clauses: 124808; decisions: 84390
iteration: 61; vars: 504534; clauses: 131468; decisions: 84721
iteration: 62; vars: 512661; clauses: 138128; decisions: 85053
iteration: 63; vars: 520788; clauses: 144788; decisions: 85385
iteration: 64; vars: 528915; clauses: 151448; decisions: 85723
iteration: 65; vars: 537042; clauses: 158108; decisions: 88550
iteration: 66; vars: 545169; clauses: 164768; decisions: 88902
iteration: 67; vars: 553296; clauses: 171428; decisions: 89255
iteration: 68; vars: 561423; clauses: 178088; decisions: 90756
iteration: 69; vars: 569550; clauses: 131338; decisions: 91406
iteration: 70; vars: 577677; clauses: 137998; decisions: 91776
iteration: 71; vars: 585804; clauses: 144658; decisions: 92163
iteration: 72; vars: 593931; clauses: 151318; decisions: 92485
iteration: 73; vars: 602058; clauses: 157978; decisions: 92808
iteration: 74; vars: 610185; clauses: 164638; decisions: 93288
iteration: 75; vars: 618312; clauses: 171298; decisions: 93574
iteration: 76; vars: 626439; clauses: 177958; decisions: 93861
iteration: 77; vars: 634566; clauses: 184618; decisions: 95598
iteration: 78; vars: 642693; clauses: 191278; decisions: 95955
iteration: 79; vars: 650820; clauses: 197938; decisions: 96315
iteration: 80; vars: 658947; clauses: 204598; decisions: 96676
iteration: 81; vars: 667074; clauses: 153666; decisions: 97049
iteration: 82; vars: 675201; clauses: 160326; decisions: 98532
iteration: 83; vars: 683328; clauses: 166986; decisions: 98824
iteration: 84; vars: 691455; clauses: 173646; decisions: 99192
iteration: 85; vars: 699582; clauses: 180306; decisions: 100918
iteration: 86; vars: 707709; clauses: 186966; decisions: 101281
iteration: 87; vars: 715836; clauses: 193626; decisions: 101638
iteration: 88; vars: 723963; clauses: 200286; decisions: 101996
iteration: 89; vars: 732090; clauses: 206946; decisions: 102355
iteration: 90; vars: 740217; clauses: 213606; decisions: 103569
iteration: 91; vars: 748344; clauses: 220266; decisions: 103899
iteration: 92; vars: 756471; clauses: 226926; decisions: 104355
iteration: 93; vars: 764598; clauses: 233586; decisions: 104632
iteration: 94; vars: 772725; clauses: 240246; decisions: 104909
iteration: 95; vars: 780852; clauses: 179266; decisions: 105269
iteration: 96; vars: 788979; clauses: 185926; decisions: 106216
iteration: 97; vars: 797106; clauses: 192586; decisions: 106517
iteration: 98; vars: 805233; clauses: 199246; decisions: 106817
iteration: 99; vars: 813360; clauses: 205906; decisions: 107118
iteration: 100; vars: 821487; clauses: 212566; decisions: 108595
