inputs=256 keys=64 outputs=245 gates=13593
iteration: 1; vars: 27818; clauses: 16765; decisions: 149434
iteration: 2; vars: 41166; clauses: 25744; decisions: 153575
iteration: 3; vars: 54514; clauses: 20448; decisions: 153999
iteration: 4; vars: 67862; clauses: 29427; decisions: 154418
iteration: 5; vars: 81210; clauses: 23857; decisions: 154842
iteration: 6; vars: 94558; clauses: 32836; decisions: 155473
iteration: 7; vars: 107906; clauses: 41815; decisions: 155934
iteration: 8; vars: 121254; clauses: 29432; decisions: 156398
iteration: 9; vars: 134602; clauses: 38411; decisions: 156861
iteration: 10; vars: 147950; clauses: 47390; decisions: 157485
iteration: 11; vars: 161298; clauses: 34714; decisions: 164237
iteration: 12; vars: 174646; clauses: 43693; decisions: 164618
iteration: 13; vars: 187994; clauses: 52672; decisions: 165000
iteration: 14; vars: 201342; clauses: 61651; decisions: 167588
iteration: 15; vars: 214690; clauses: 41477; decisions: 168053
iteration: 16; vars: 228038; clauses: 50456; decisions: 168521
iteration: 17; vars: 241386; clauses: 59435; decisions: 169160
iteration: 18; vars: 254734; clauses: 68414; decisions: 210482
iteration: 19; vars: 268082; clauses: 48554; decisions: 212804
iteration: 20; vars: 281430; clauses: 57533; decisions: 213153
iteration: 21; vars: 294778; clauses: 66512; decisions: 213503
iteration: 22; vars: 308126; clauses: 75491; decisions: 213862
iteration: 23; vars: 321474; clauses: 84470; decisions: 215364
iteration: 24; vars: 334822; clauses: 57634; decisions: 215728
iteration: 25; vars: 348170; clauses: 66613; decisions: 216093
iteration: 26; vars: 361518; clauses: 75592; decisions: 218127
iteration: 27; vars: 374866; clauses: 84571; decisions: 218511
iteration: 28; vars: 388214; clauses: 93550; decisions: 220727
iteration: 29; vars: 401562; clauses: 102529; decisions: 221102
iteration: 30; vars: 414910; clauses: 67712; decisions: 221465
iteration: 31; vars: 428258; clauses: 76691; decisions: 222093
iteration: 32; vars: 441606; clauses: 85670; decisions: 222667
iteration: 33; vars: 454954; clauses: 94649; decisions: 223032
iteration: 34; vars: 468302; clauses: 103628; decisions: 223398
iteration: 35; vars: 481650; clauses: 112607; decisions: 223766
iteration: 36; vars: 494998; clauses: 121586; decisions: 225514
iteration: 37; vars: 508346; clauses: 80579; decisions: 228970
iteration: 38; vars: 521694; clauses: 89558; decisions: 229352
iteration: 39; vars: 535042; clauses: 98537; decisions: 229736
iteration: 40; vars: 548390; clauses: 107516; decisions: 232200
iteration: 41; vars: 561738; clauses: 116495; decisions: 232524
iteration: 42; vars: 575086; clauses: 125474; decisions: 232849
iteration: 43; vars: 588434; clauses: 134453; decisions: 233873
iteration: 44; vars: 601782; clauses: 143432; decisions: 234232
iteration: 45; vars: 615130; clauses: 94866; decisions: 234593
iteration: 46; vars: 628478; clauses: 103845; decisions: 234968
iteration: 47; vars: 641826; clauses: 112824; decisions: 251303
iteration: 48; vars: 655174; clauses: 121803; decisions: 253638
iteration: 49; vars: 668522; clauses: 130782; decisions: 253987
iteration: 50; vars: 681870; clauses: 139761; decisions: 254340
iteration: 51; vars: 695218; clauses: 148740; decisions: 254693
iteration: 52; vars: 708566; clauses: 157719; decisions: 255057
iteration: 53; vars: 721914; clauses: 166698; decisions: 257394
iteration: 54; vars: 735262; clauses: 111028; decisions: 257875
iteration: 55; vars: 748610; clauses: 120007; decisions: 258357
iteration: 56; vars: 761958; clauses: 128986; decisions: 264762
