inputs=199 keys=64 outputs=67 gates=6198
iteration: 1; vars: 12793; clauses: 8583; decisions: 16385
iteration: 2; vars: 18924; clauses: 10267; decisions: 23957
iteration: 3; vars: 25055; clauses: 16576; decisions: 24267
iteration: 4; vars: 31186; clauses: 13637; decisions: 29600
iteration: 5; vars: 37317; clauses: 19946; decisions: 29931
iteration: 6; vars: 43448; clauses: 17061; decisions: 30284
iteration: 7; vars: 49579; clauses: 23370; decisions: 30636
iteration: 8; vars: 55710; clauses: 20428; decisions: 36608
iteration: 9; vars: 61841; clauses: 26737; decisions: 36926
iteration: 10; vars: 67972; clauses: 23929; decisions: 37289
iteration: 11; vars: 74103; clauses: 30238; decisions: 40969
iteration: 12; vars: 80234; clauses: 36547; decisions: 41285
iteration: 13; vars: 86365; clauses: 28821; decisions: 45619
iteration: 14; vars: 92496; clauses: 35130; decisions: 46964
iteration: 15; vars: 98627; clauses: 41439; decisions: 48352
iteration: 16; vars: 104758; clauses: 34287; decisions: 48701
iteration: 17; vars: 110889; clauses: 40596; decisions: 49050
iteration: 18; vars: 117020; clauses: 46905; decisions: 49398
iteration: 19; vars: 123151; clauses: 53214; decisions: 49747
iteration: 20; vars: 129282; clauses: 41409; decisions: 50112
iteration: 21; vars: 135413; clauses: 47718; decisions: 50476
iteration: 22; vars: 141544; clauses: 54027; decisions: 52573
iteration: 23; vars: 147675; clauses: 60336; decisions: 52925
iteration: 24; vars: 153806; clauses: 48017; decisions: 53325
iteration: 25; vars: 159937; clauses: 54326; decisions: 53725
iteration: 26; vars: 166068; clauses: 60635; decisions: 54132
iteration: 27; vars: 172199; clauses: 66944; decisions: 57278
iteration: 28; vars: 178330; clauses: 73253; decisions: 60066
iteration: 29; vars: 184461; clauses: 56952; decisions: 60355
iteration: 30; vars: 190592; clauses: 63261; decisions: 60646
iteration: 31; vars: 196723; clauses: 69570; decisions: 63628
iteration: 32; vars: 202854; clauses: 75879; decisions: 63967
iteration: 33; vars: 208985; clauses: 82188; decisions: 64307
iteration: 34; vars: 215116; clauses: 88497; decisions: 65918
iteration: 35; vars: 221247; clauses: 67936; decisions: 66399
iteration: 36; vars: 227378; clauses: 74245; decisions: 66778
iteration: 37; vars: 233509; clauses: 80554; decisions: 67122
iteration: 38; vars: 239640; clauses: 86863; decisions: 67469
iteration: 39; vars: 245771; clauses: 93172; decisions: 69177
iteration: 40; vars: 251902; clauses: 99481; decisions: 70565
iteration: 41; vars: 258033; clauses: 105790; decisions: 70853
iteration: 42; vars: 264164; clauses: 79785; decisions: 71806
iteration: 43; vars: 270295; clauses: 86094; decisions: 72165
iteration: 44; vars: 276426; clauses: 92403; decisions: 72527
iteration: 45; vars: 282557; clauses: 98712; decisions: 83161
iteration: 46; vars: 288688; clauses: 105021; decisions: 83467
iteration: 47; vars: 294819; clauses: 111330; decisions: 83780
iteration: 48; vars: 300950; clauses: 117639; decisions: 84340
iteration: 49; vars: 307081; clauses: 123948; decisions: 84592
iteration: 50; vars: 313212; clauses: 94514; decisions: 84875
iteration: 51; vars: 319343; clauses: 100823; decisions: 85162
iteration: 52; vars: 325474; clauses: 107132; decisions: 86883
iteration: 53; vars: 331605; clauses: 113441; decisions: 87268
iteration: 54; vars: 337736; clauses: 119750; decisions: 87654
iteration: 55; vars: 343867; clauses: 126059; decisions: 88558
iteration: 56; vars: 349998; clauses: 132368; decisions: 90475
iteration: 57; vars: 356129; clauses: 138677; decisions: 90878
iteration: 58; vars: 362260; clauses: 144986; decisions: 92468
iteration: 59; vars: 368391; clauses: 110778; decisions: 92798
iteration: 60; vars: 374522; clauses: 117087; decisions: 93130
iteration: 61; vars: 380653; clauses: 123396; decisions: 96357
iteration: 62; vars: 386784; clauses: 129705; decisions: 96647
iteration: 63; vars: 392915; clauses: 136014; decisions: 96938
iteration: 64; vars: 399046; clauses: 142323; decisions: 97333
iteration: 65; vars: 405177; clauses: 148632; decisions: 97649
iteration: 66; vars: 411308; clauses: 154941; decisions: 97965
iteration: 67; vars: 417439; clauses: 161250; decisions: 98281
iteration: 68; vars: 423570; clauses: 167559; decisions: 99028
iteration: 69; vars: 429701; clauses: 128780; decisions: 99609
iteration: 70; vars: 435832; clauses: 135089; decisions: 99911
iteration: 71; vars: 441963; clauses: 141398; decisions: 100217
iteration: 72; vars: 448094; clauses: 147707; decisions: 101030
