inputs=41 keys=41 outputs=35 gates=6138
iteration: 1; vars: 12437; clauses: 7471; decisions: 1993
iteration: 2; vars: 18540; clauses: 11060; decisions: 4559
iteration: 3; vars: 24643; clauses: 9222; decisions: 4696
iteration: 4; vars: 30746; clauses: 12811; decisions: 4791
iteration: 5; vars: 36849; clauses: 11022; decisions: 4890
iteration: 6; vars: 42952; clauses: 14611; decisions: 5078
iteration: 7; vars: 49055; clauses: 12846; decisions: 5189
iteration: 8; vars: 55158; clauses: 16435; decisions: 5302
iteration: 9; vars: 61261; clauses: 13755; decisions: 6791
iteration: 10; vars: 67364; clauses: 17344; decisions: 6903
iteration: 11; vars: 73467; clauses: 20933; decisions: 7016
iteration: 12; vars: 79570; clauses: 16730; decisions: 7177
iteration: 13; vars: 85673; clauses: 20319; decisions: 7461
iteration: 14; vars: 91776; clauses: 23908; decisions: 7610
iteration: 15; vars: 97879; clauses: 19340; decisions: 7736
iteration: 16; vars: 103982; clauses: 22929; decisions: 7864
iteration: 17; vars: 110085; clauses: 26518; decisions: 8546
iteration: 18; vars: 116188; clauses: 21250; decisions: 8943
iteration: 19; vars: 122291; clauses: 24839; decisions: 9075
iteration: 20; vars: 128394; clauses: 28428; decisions: 9208
iteration: 21; vars: 134497; clauses: 32017; decisions: 9340
iteration: 22; vars: 140600; clauses: 25178; decisions: 9476
iteration: 23; vars: 146703; clauses: 28767; decisions: 9616
iteration: 24; vars: 152806; clauses: 32356; decisions: 9737
iteration: 25; vars: 158909; clauses: 35945; decisions: 10058
iteration: 26; vars: 165012; clauses: 28792; decisions: 10186
iteration: 27; vars: 171115; clauses: 32381; decisions: 10315
iteration: 28; vars: 177218; clauses: 35970; decisions: 10531
iteration: 29; vars: 183321; clauses: 39559; decisions: 10766
iteration: 30; vars: 189424; clauses: 43148; decisions: 10968
iteration: 31; vars: 195527; clauses: 33655; decisions: 11065
iteration: 32; vars: 201630; clauses: 37244; decisions: 11161
iteration: 33; vars: 207733; clauses: 40833; decisions: 11298
iteration: 34; vars: 213836; clauses: 44422; decisions: 12166
iteration: 35; vars: 219939; clauses: 48011; decisions: 12739
iteration: 36; vars: 226042; clauses: 51600; decisions: 12836
iteration: 37; vars: 232145; clauses: 39691; decisions: 12983
iteration: 38; vars: 238248; clauses: 43280; decisions: 13100
iteration: 39; vars: 244351; clauses: 46869; decisions: 13808
iteration: 40; vars: 250454; clauses: 50458; decisions: 13909
iteration: 41; vars: 256557; clauses: 54047; decisions: 14011
iteration: 42; vars: 262660; clauses: 57636; decisions: 14695
iteration: 43; vars: 268763; clauses: 44748; decisions: 14809
iteration: 44; vars: 274866; clauses: 48337; decisions: 14924
iteration: 45; vars: 280969; clauses: 51926; decisions: 15919
iteration: 46; vars: 287072; clauses: 55515; decisions: 16008
iteration: 47; vars: 293175; clauses: 59104; decisions: 16485
iteration: 48; vars: 299278; clauses: 62693; decisions: 16642
iteration: 49; vars: 305381; clauses: 66282; decisions: 17443
iteration: 50; vars: 311484; clauses: 51737; decisions: 17582
iteration: 51; vars: 317587; clauses: 55326; decisions: 17721
iteration: 52; vars: 323690; clauses: 58915; decisions: 17861
iteration: 53; vars: 329793; clauses: 62504; decisions: 18473
iteration: 54; vars: 335896; clauses: 66093; decisions: 18602
