inputs=33 keys=33 outputs=25 gates=2690
iteration: 1; vars: 5507; clauses: 3660; decisions: 1492
iteration: 2; vars: 8172; clauses: 4189; decisions: 2072
iteration: 3; vars: 10837; clauses: 4783; decisions: 2354
iteration: 4; vars: 13502; clauses: 7291; decisions: 2484
iteration: 5; vars: 16167; clauses: 6048; decisions: 2616
iteration: 6; vars: 18832; clauses: 8556; decisions: 2748
iteration: 7; vars: 21497; clauses: 6635; decisions: 3086
iteration: 8; vars: 24162; clauses: 9143; decisions: 3210
iteration: 9; vars: 26827; clauses: 7989; decisions: 3883
iteration: 10; vars: 29492; clauses: 10497; decisions: 5714
iteration: 11; vars: 32157; clauses: 9245; decisions: 6311
iteration: 12; vars: 34822; clauses: 11753; decisions: 6871
iteration: 13; vars: 37487; clauses: 14261; decisions: 7026
iteration: 14; vars: 40152; clauses: 10943; decisions: 7733
iteration: 15; vars: 42817; clauses: 13451; decisions: 7861
iteration: 16; vars: 45482; clauses: 15959; decisions: 10048
iteration: 17; vars: 48147; clauses: 12891; decisions: 11160
iteration: 18; vars: 50812; clauses: 15399; decisions: 11266
iteration: 19; vars: 53477; clauses: 17907; decisions: 11637
iteration: 20; vars: 56142; clauses: 14641; decisions: 11764
iteration: 21; vars: 58807; clauses: 17149; decisions: 12587
iteration: 22; vars: 61472; clauses: 19657; decisions: 12736
iteration: 23; vars: 64137; clauses: 22165; decisions: 13140
iteration: 24; vars: 66802; clauses: 16876; decisions: 14370
iteration: 25; vars: 69467; clauses: 19384; decisions: 15420
iteration: 26; vars: 72132; clauses: 21892; decisions: 15527
iteration: 27; vars: 74797; clauses: 24400; decisions: 16563
iteration: 28; vars: 77462; clauses: 19505; decisions: 16690
iteration: 29; vars: 80127; clauses: 22013; decisions: 17414
iteration: 30; vars: 82792; clauses: 24521; decisions: 17531
iteration: 31; vars: 85457; clauses: 27029; decisions: 19226
iteration: 32; vars: 88122; clauses: 29537; decisions: 19672
iteration: 33; vars: 90787; clauses: 22594; decisions: 20565
iteration: 34; vars: 93452; clauses: 25102; decisions: 23046
iteration: 35; vars: 96117; clauses: 27610; decisions: 23366
iteration: 36; vars: 98782; clauses: 30118; decisions: 23846
iteration: 37; vars: 101447; clauses: 32626; decisions: 23978
iteration: 38; vars: 104112; clauses: 25981; decisions: 28176
iteration: 39; vars: 106777; clauses: 28489; decisions: 28868
iteration: 40; vars: 109442; clauses: 30997; decisions: 28999
iteration: 41; vars: 112107; clauses: 33505; decisions: 29115
iteration: 42; vars: 114772; clauses: 36013; decisions: 29231
iteration: 43; vars: 117437; clauses: 38521; decisions: 30828
iteration: 44; vars: 120102; clauses: 29986; decisions: 32548
iteration: 45; vars: 122767; clauses: 32494; decisions: 34702
iteration: 46; vars: 125432; clauses: 35002; decisions: 35545
iteration: 47; vars: 128097; clauses: 37510; decisions: 36312
iteration: 48; vars: 130762; clauses: 40018; decisions: 37900
iteration: 49; vars: 133427; clauses: 42526; decisions: 41257
iteration: 50; vars: 136092; clauses: 45034; decisions: 42445
iteration: 51; vars: 138757; clauses: 34316; decisions: 44991
iteration: 52; vars: 141422; clauses: 36824; decisions: 46968
iteration: 53; vars: 144087; clauses: 39332; decisions: 48070
iteration: 54; vars: 146752; clauses: 41840; decisions: 49038
iteration: 55; vars: 149417; clauses: 44348; decisions: 49304
iteration: 56; vars: 152082; clauses: 46856; decisions: 49662
iteration: 57; vars: 154747; clauses: 49364; decisions: 51784
iteration: 58; vars: 157412; clauses: 51872; decisions: 52785
iteration: 59; vars: 160077; clauses: 39581; decisions: 52942
iteration: 60; vars: 162742; clauses: 42089; decisions: 54276
iteration: 61; vars: 165407; clauses: 44597; decisions: 56906
iteration: 62; vars: 168072; clauses: 47105; decisions: 57618
iteration: 63; vars: 170737; clauses: 49613; decisions: 59858
iteration: 64; vars: 173402; clauses: 52121; decisions: 60787
iteration: 65; vars: 176067; clauses: 54629; decisions: 61211
iteration: 66; vars: 178732; clauses: 57137; decisions: 63061
iteration: 67; vars: 181397; clauses: 59645; decisions: 65320
iteration: 68; vars: 184062; clauses: 45718; decisions: 65468
iteration: 69; vars: 186727; clauses: 48226; decisions: 69141
iteration: 70; vars: 189392; clauses: 50734; decisions: 69291
iteration: 71; vars: 192057; clauses: 53242; decisions: 70986
iteration: 72; vars: 194722; clauses: 55750; decisions: 72220
iteration: 73; vars: 197387; clauses: 58258; decisions: 72330
iteration: 74; vars: 200052; clauses: 60766; decisions: 73775
iteration: 75; vars: 202717; clauses: 63274; decisions: 80583
iteration: 76; vars: 205382; clauses: 65782; decisions: 94187
iteration: 77; vars: 208047; clauses: 68290; decisions: 99516
iteration: 78; vars: 210712; clauses: 52190; decisions: 102584
iteration: 79; vars: 213377; clauses: 54698; decisions: 110396
iteration: 80; vars: 216042; clauses: 57206; decisions: 110805
iteration: 81; vars: 218707; clauses: 59714; decisions: 111686
iteration: 82; vars: 221372; clauses: 62222; decisions: 115145
iteration: 83; vars: 224037; clauses: 64730; decisions: 117795
iteration: 84; vars: 226702; clauses: 67238; decisions: 124415
iteration: 85; vars: 229367; clauses: 69746; decisions: 126880
iteration: 86; vars: 232032; clauses: 72254; decisions: 134900
iteration: 87; vars: 234697; clauses: 74762; decisions: 138019
iteration: 88; vars: 237362; clauses: 77270; decisions: 150911
iteration: 89; vars: 240027; clauses: 79778; decisions: 161056
iteration: 90; vars: 242692; clauses: 59752; decisions: 165346
iteration: 91; vars: 245357; clauses: 62260; decisions: 167193
iteration: 92; vars: 248022; clauses: 64768; decisions: 185531
iteration: 93; vars: 250687; clauses: 67276; decisions: 185813
iteration: 94; vars: 253352; clauses: 69784; decisions: 187778
iteration: 95; vars: 256017; clauses: 72292; decisions: 188052
iteration: 96; vars: 258682; clauses: 74800; decisions: 212630
iteration: 97; vars: 261347; clauses: 54628; decisions: 238550
iteration: 98; vars: 264012; clauses: 57136; decisions: 271312
iteration: 99; vars: 266677; clauses: 54574; decisions: 292390
iteration: 100; vars: 269342; clauses: 57082; decisions: 340667
iteration: 101; vars: 272007; clauses: 59590; decisions: 340984
finished solver loop. fail_count = 0
key=011000001000111000101011111101110
iteration=102; backbones_count=0; cube_count=1315936; cpu_time=80.5151; maxrss=54.6992
