inputs=178 keys=128 outputs=123 gates=14056
iteration: 1; vars: 28672; clauses: 16933; decisions: 97103
iteration: 2; vars: 42605; clauses: 21637; decisions: 109791
iteration: 3; vars: 56538; clauses: 26013; decisions: 132491
iteration: 4; vars: 70471; clauses: 40295; decisions: 132979
iteration: 5; vars: 84404; clauses: 35209; decisions: 133465
iteration: 6; vars: 98337; clauses: 49491; decisions: 207234
iteration: 7; vars: 112270; clauses: 44494; decisions: 227347
iteration: 8; vars: 126203; clauses: 58776; decisions: 227781
iteration: 9; vars: 140136; clauses: 52585; decisions: 228215
iteration: 10; vars: 154069; clauses: 66867; decisions: 262368
iteration: 11; vars: 168002; clauses: 61872; decisions: 262771
iteration: 12; vars: 181935; clauses: 76154; decisions: 287288
iteration: 13; vars: 195868; clauses: 90436; decisions: 287748
iteration: 14; vars: 209801; clauses: 75270; decisions: 288212
iteration: 15; vars: 223734; clauses: 89552; decisions: 356411
iteration: 16; vars: 237667; clauses: 103834; decisions: 356918
iteration: 17; vars: 251600; clauses: 88738; decisions: 357428
iteration: 18; vars: 265533; clauses: 103020; decisions: 371142
iteration: 19; vars: 279466; clauses: 117302; decisions: 371570
iteration: 20; vars: 293399; clauses: 131584; decisions: 382611
iteration: 21; vars: 307332; clauses: 106606; decisions: 394124
iteration: 22; vars: 321265; clauses: 120888; decisions: 394961
iteration: 23; vars: 335198; clauses: 135170; decisions: 396537
iteration: 24; vars: 349131; clauses: 149452; decisions: 396946
iteration: 25; vars: 363064; clauses: 163734; decisions: 397363
iteration: 26; vars: 376997; clauses: 129877; decisions: 411218
iteration: 27; vars: 390930; clauses: 144159; decisions: 433620
iteration: 28; vars: 404863; clauses: 158441; decisions: 434039
iteration: 29; vars: 418796; clauses: 172723; decisions: 434458
iteration: 30; vars: 432729; clauses: 187005; decisions: 443506
iteration: 31; vars: 446662; clauses: 152207; decisions: 444002
iteration: 32; vars: 460595; clauses: 166489; decisions: 444500
iteration: 33; vars: 474528; clauses: 180771; decisions: 444996
iteration: 34; vars: 488461; clauses: 195053; decisions: 450905
iteration: 35; vars: 502394; clauses: 209335; decisions: 451355
iteration: 36; vars: 516327; clauses: 223617; decisions: 454890
iteration: 37; vars: 530260; clauses: 180021; decisions: 455456
iteration: 38; vars: 544193; clauses: 194303; decisions: 479745
iteration: 39; vars: 558126; clauses: 208585; decisions: 517641
iteration: 40; vars: 572059; clauses: 222867; decisions: 537541
iteration: 41; vars: 585992; clauses: 237149; decisions: 537999
iteration: 42; vars: 599925; clauses: 251431; decisions: 538459
iteration: 43; vars: 613858; clauses: 265713; decisions: 538916
