inputs=256 keys=128 outputs=245 gates=19466
iteration: 1; vars: 39692; clauses: 23083; decisions: 182394
iteration: 2; vars: 58913; clauses: 27789; decisions: 237990
iteration: 3; vars: 78134; clauses: 44160; decisions: 238524
iteration: 4; vars: 97355; clauses: 37204; decisions: 239209
iteration: 5; vars: 116576; clauses: 53575; decisions: 261721
iteration: 6; vars: 135797; clauses: 46156; decisions: 262279
iteration: 7; vars: 155018; clauses: 62527; decisions: 262838
iteration: 8; vars: 174239; clauses: 55139; decisions: 277531
iteration: 9; vars: 193460; clauses: 71510; decisions: 278121
iteration: 10; vars: 212681; clauses: 87881; decisions: 278712
iteration: 11; vars: 231902; clauses: 68706; decisions: 279319
iteration: 12; vars: 251123; clauses: 85077; decisions: 299872
iteration: 13; vars: 270344; clauses: 101448; decisions: 300528
iteration: 14; vars: 289565; clauses: 82486; decisions: 301187
iteration: 15; vars: 308786; clauses: 98857; decisions: 301846
iteration: 16; vars: 328007; clauses: 115228; decisions: 314609
iteration: 17; vars: 347228; clauses: 131599; decisions: 315113
iteration: 18; vars: 366449; clauses: 100303; decisions: 315634
iteration: 19; vars: 385670; clauses: 116674; decisions: 320848
iteration: 20; vars: 404891; clauses: 133045; decisions: 397757
iteration: 21; vars: 424112; clauses: 149416; decisions: 491236
iteration: 22; vars: 443333; clauses: 104705; decisions: 884304
iteration: 23; vars: 462554; clauses: 121076; decisions: 1028564
iteration: 24; vars: 481775; clauses: 111007; decisions: 1657357
iteration: 25; vars: 500996; clauses: 110311; decisions: 3377630
iteration: 26; vars: 520217; clauses: 113875; decisions: 3659385
iteration: 27; vars: 539438; clauses: 130246; decisions: 3794777
iteration: 28; vars: 558659; clauses: 146617; decisions: 3826506
iteration: 29; vars: 577880; clauses: 162988; decisions: 4002229
iteration: 30; vars: 597101; clauses: 179359; decisions: 4241445
iteration: 31; vars: 616322; clauses: 137170; decisions: 4355198
iteration: 32; vars: 635543; clauses: 153541; decisions: 4448963
iteration: 33; vars: 654764; clauses: 169912; decisions: 4449503
iteration: 34; vars: 673985; clauses: 186283; decisions: 4567094
iteration: 35; vars: 693206; clauses: 202654; decisions: 5103167
iteration: 36; vars: 712427; clauses: 149737; decisions: 5950928
iteration: 37; vars: 731648; clauses: 152732; decisions: 7649028
iteration: 38; vars: 750869; clauses: 156300; decisions: 9873106
