inputs=256 keys=128 outputs=245 gates=19466
iteration: 1; vars: 39692; clauses: 23576; decisions: 182002
iteration: 2; vars: 58913; clauses: 28286; decisions: 221185
iteration: 3; vars: 78134; clauses: 44657; decisions: 237357
iteration: 4; vars: 97355; clauses: 37531; decisions: 238005
iteration: 5; vars: 116576; clauses: 53902; decisions: 238546
iteration: 6; vars: 135797; clauses: 46606; decisions: 239094
iteration: 7; vars: 155018; clauses: 62977; decisions: 239779
iteration: 8; vars: 174239; clauses: 55692; decisions: 271862
iteration: 9; vars: 193460; clauses: 72063; decisions: 272478
iteration: 10; vars: 212681; clauses: 88434; decisions: 310903
iteration: 11; vars: 231902; clauses: 69041; decisions: 311459
iteration: 12; vars: 251123; clauses: 85412; decisions: 312018
iteration: 13; vars: 270344; clauses: 101783; decisions: 356504
iteration: 14; vars: 289565; clauses: 82844; decisions: 357095
iteration: 15; vars: 308786; clauses: 99215; decisions: 357687
iteration: 16; vars: 328007; clauses: 115586; decisions: 383123
iteration: 17; vars: 347228; clauses: 131957; decisions: 383614
iteration: 18; vars: 366449; clauses: 100837; decisions: 420443
iteration: 19; vars: 385670; clauses: 117208; decisions: 421000
iteration: 20; vars: 404891; clauses: 133579; decisions: 424925
iteration: 21; vars: 424112; clauses: 149950; decisions: 425569
iteration: 22; vars: 443333; clauses: 119105; decisions: 435439
iteration: 23; vars: 462554; clauses: 135476; decisions: 436110
iteration: 24; vars: 481775; clauses: 151847; decisions: 436783
iteration: 25; vars: 500996; clauses: 168218; decisions: 466763
iteration: 26; vars: 520217; clauses: 184589; decisions: 467275
iteration: 27; vars: 539438; clauses: 141496; decisions: 511136
iteration: 28; vars: 558659; clauses: 157867; decisions: 511914
iteration: 29; vars: 577880; clauses: 174238; decisions: 522677
iteration: 30; vars: 597101; clauses: 190609; decisions: 528988
iteration: 31; vars: 616322; clauses: 206980; decisions: 529559
iteration: 32; vars: 635543; clauses: 223351; decisions: 530132
iteration: 33; vars: 654764; clauses: 169947; decisions: 550626
iteration: 34; vars: 673985; clauses: 186318; decisions: 561053
iteration: 35; vars: 693206; clauses: 202689; decisions: 561603
iteration: 36; vars: 712427; clauses: 219060; decisions: 562153
iteration: 37; vars: 731648; clauses: 235431; decisions: 577858
iteration: 38; vars: 750869; clauses: 251802; decisions: 578443
iteration: 39; vars: 770090; clauses: 268173; decisions: 579029
iteration: 40; vars: 789311; clauses: 200828; decisions: 579634
iteration: 41; vars: 808532; clauses: 217199; decisions: 606341
iteration: 42; vars: 827753; clauses: 233570; decisions: 607146
iteration: 43; vars: 846974; clauses: 249941; decisions: 608476
iteration: 44; vars: 866195; clauses: 266312; decisions: 609284
iteration: 45; vars: 885416; clauses: 282683; decisions: 630851
iteration: 46; vars: 904637; clauses: 299054; decisions: 631366
iteration: 47; vars: 923858; clauses: 315425; decisions: 634831
iteration: 48; vars: 943079; clauses: 238755; decisions: 635399
iteration: 49; vars: 962300; clauses: 255126; decisions: 635967
iteration: 50; vars: 981521; clauses: 271497; decisions: 636536
iteration: 51; vars: 1000742; clauses: 287868; decisions: 646219
iteration: 52; vars: 1019963; clauses: 304239; decisions: 646907
iteration: 53; vars: 1039184; clauses: 320610; decisions: 647595
iteration: 54; vars: 1058405; clauses: 336981; decisions: 648288
iteration: 55; vars: 1077626; clauses: 353352; decisions: 662915
iteration: 56; vars: 1096847; clauses: 369723; decisions: 663415
iteration: 57; vars: 1116068; clauses: 386094; decisions: 709813
iteration: 58; vars: 1135289; clauses: 283734; decisions: 710340
iteration: 59; vars: 1154510; clauses: 300105; decisions: 710868
iteration: 60; vars: 1173731; clauses: 316476; decisions: 711397
iteration: 61; vars: 1192952; clauses: 332847; decisions: 735376
iteration: 62; vars: 1212173; clauses: 349218; decisions: 736017
iteration: 63; vars: 1231394; clauses: 365589; decisions: 736658
iteration: 64; vars: 1250615; clauses: 381960; decisions: 737299
iteration: 65; vars: 1269836; clauses: 398331; decisions: 770834
iteration: 66; vars: 1289057; clauses: 414702; decisions: 771373
iteration: 67; vars: 1308278; clauses: 431073; decisions: 773534
iteration: 68; vars: 1327499; clauses: 447444; decisions: 774063
iteration: 69; vars: 1346720; clauses: 334890; decisions: 805068
iteration: 70; vars: 1365941; clauses: 351261; decisions: 805664
iteration: 71; vars: 1385162; clauses: 367632; decisions: 831878
iteration: 72; vars: 1404383; clauses: 384003; decisions: 832398
