inputs=192 keys=64 outputs=6 gates=4657
iteration: 1; vars: 9643; clauses: 6786; decisions: 10220
iteration: 2; vars: 14294; clauses: 8450; decisions: 12100
iteration: 3; vars: 18945; clauses: 10027; decisions: 12458
iteration: 4; vars: 23596; clauses: 11761; decisions: 13005
iteration: 5; vars: 28247; clauses: 17206; decisions: 14491
iteration: 6; vars: 32898; clauses: 15155; decisions: 14837
iteration: 7; vars: 37549; clauses: 20600; decisions: 16421
iteration: 8; vars: 42200; clauses: 18853; decisions: 16761
iteration: 9; vars: 46851; clauses: 24298; decisions: 17102
iteration: 10; vars: 51502; clauses: 22083; decisions: 19594
iteration: 11; vars: 56153; clauses: 27528; decisions: 21360
iteration: 12; vars: 60804; clauses: 32973; decisions: 21719
iteration: 13; vars: 65455; clauses: 25837; decisions: 22079
iteration: 14; vars: 70106; clauses: 31282; decisions: 23667
iteration: 15; vars: 74757; clauses: 36727; decisions: 24014
iteration: 16; vars: 79408; clauses: 31110; decisions: 24347
iteration: 17; vars: 84059; clauses: 36555; decisions: 24681
iteration: 18; vars: 88710; clauses: 42000; decisions: 25987
iteration: 19; vars: 93361; clauses: 36308; decisions: 26309
iteration: 20; vars: 98012; clauses: 41753; decisions: 26635
iteration: 21; vars: 102663; clauses: 47198; decisions: 31042
iteration: 22; vars: 107314; clauses: 52643; decisions: 40812
iteration: 23; vars: 111965; clauses: 43485; decisions: 41150
iteration: 24; vars: 116616; clauses: 48930; decisions: 46765
iteration: 25; vars: 121267; clauses: 54375; decisions: 70139
iteration: 26; vars: 125918; clauses: 59820; decisions: 71334
iteration: 27; vars: 130569; clauses: 50564; decisions: 81206
iteration: 28; vars: 135220; clauses: 56009; decisions: 107921
iteration: 29; vars: 139871; clauses: 61454; decisions: 108253
iteration: 30; vars: 144522; clauses: 66899; decisions: 126866
iteration: 31; vars: 149173; clauses: 72344; decisions: 136327
iteration: 32; vars: 153824; clauses: 58689; decisions: 137739
iteration: 33; vars: 158475; clauses: 64134; decisions: 163464
iteration: 34; vars: 163126; clauses: 61860; decisions: 208146
iteration: 35; vars: 167777; clauses: 54825; decisions: 309956
iteration: 36; vars: 172428; clauses: 60270; decisions: 340596
iteration: 37; vars: 177079; clauses: 57141; decisions: 434443
iteration: 38; vars: 181730; clauses: 62586; decisions: 454594
iteration: 39; vars: 186381; clauses: 68031; decisions: 521448
iteration: 40; vars: 191032; clauses: 60741; decisions: 551267
iteration: 41; vars: 195683; clauses: 66186; decisions: 587407
iteration: 42; vars: 200334; clauses: 71631; decisions: 598277
iteration: 43; vars: 204985; clauses: 77076; decisions: 641320
iteration: 44; vars: 209636; clauses: 82521; decisions: 652700
iteration: 45; vars: 214287; clauses: 87966; decisions: 666827
iteration: 46; vars: 218938; clauses: 72044; decisions: 680675
iteration: 47; vars: 223589; clauses: 77489; decisions: 686879
iteration: 48; vars: 228240; clauses: 82934; decisions: 743127
iteration: 49; vars: 232891; clauses: 88379; decisions: 768510
iteration: 50; vars: 237542; clauses: 74782; decisions: 866299
iteration: 51; vars: 242193; clauses: 80227; decisions: 909169
iteration: 52; vars: 246844; clauses: 85672; decisions: 941895
iteration: 53; vars: 251495; clauses: 91117; decisions: 982587
iteration: 54; vars: 256146; clauses: 80433; decisions: 1095931
finished solver loop. fail_count = 0
key=0011001111101100011101001101010000010101110101010110000011011001
iteration=55; backbones_count=0; cube_count=1211956; cpu_time=303.589; maxrss=95.6523
