inputs=133 keys=128 outputs=81 gates=12809
iteration: 1; vars: 26091; clauses: 16140; decisions: 75055
iteration: 2; vars: 38819; clauses: 20761; decisions: 102884
iteration: 3; vars: 51547; clauses: 25338; decisions: 103216
iteration: 4; vars: 64275; clauses: 29602; decisions: 121209
iteration: 5; vars: 77003; clauses: 43444; decisions: 121581
iteration: 6; vars: 89731; clauses: 38388; decisions: 141834
iteration: 7; vars: 102459; clauses: 52230; decisions: 142137
iteration: 8; vars: 115187; clauses: 47270; decisions: 142492
iteration: 9; vars: 127915; clauses: 61112; decisions: 163875
iteration: 10; vars: 140643; clauses: 56384; decisions: 164250
iteration: 11; vars: 153371; clauses: 70226; decisions: 164629
iteration: 12; vars: 166099; clauses: 84068; decisions: 188413
iteration: 13; vars: 178827; clauses: 69267; decisions: 188748
iteration: 14; vars: 191555; clauses: 83109; decisions: 189099
iteration: 15; vars: 204283; clauses: 96951; decisions: 189449
iteration: 16; vars: 217011; clauses: 83111; decisions: 227183
iteration: 17; vars: 229739; clauses: 96953; decisions: 227553
iteration: 18; vars: 242467; clauses: 110795; decisions: 227923
iteration: 19; vars: 255195; clauses: 124637; decisions: 243436
iteration: 20; vars: 267923; clauses: 100932; decisions: 243763
iteration: 21; vars: 280651; clauses: 114774; decisions: 244090
iteration: 22; vars: 293379; clauses: 128616; decisions: 244417
iteration: 23; vars: 306107; clauses: 142458; decisions: 254363
iteration: 24; vars: 318835; clauses: 118952; decisions: 286461
iteration: 25; vars: 331563; clauses: 132794; decisions: 287724
iteration: 26; vars: 344291; clauses: 146636; decisions: 290278
iteration: 27; vars: 357019; clauses: 160478; decisions: 298970
iteration: 28; vars: 369747; clauses: 174320; decisions: 299313
iteration: 29; vars: 382475; clauses: 141046; decisions: 308257
iteration: 30; vars: 395203; clauses: 154888; decisions: 308687
iteration: 31; vars: 407931; clauses: 168730; decisions: 309121
iteration: 32; vars: 420659; clauses: 182572; decisions: 332900
iteration: 33; vars: 433387; clauses: 196414; decisions: 333396
iteration: 34; vars: 446115; clauses: 210256; decisions: 345004
iteration: 35; vars: 458843; clauses: 168754; decisions: 372274
iteration: 36; vars: 471571; clauses: 182596; decisions: 372656
iteration: 37; vars: 484299; clauses: 196438; decisions: 373470
iteration: 38; vars: 497027; clauses: 210280; decisions: 373818
iteration: 39; vars: 509755; clauses: 224122; decisions: 374165
iteration: 40; vars: 522483; clauses: 237964; decisions: 375936
iteration: 41; vars: 535211; clauses: 251806; decisions: 376382
iteration: 42; vars: 547939; clauses: 200451; decisions: 398100
iteration: 43; vars: 560667; clauses: 214293; decisions: 418738
iteration: 44; vars: 573395; clauses: 228135; decisions: 421718
iteration: 45; vars: 586123; clauses: 241977; decisions: 422025
iteration: 46; vars: 598851; clauses: 255819; decisions: 422332
iteration: 47; vars: 611579; clauses: 269661; decisions: 423007
