inputs=233 keys=64 outputs=140 gates=5508
iteration: 1; vars: 11520; clauses: 7002; decisions: 26322
iteration: 2; vars: 16964; clauses: 8811; decisions: 35002
iteration: 3; vars: 22408; clauses: 10516; decisions: 40547
iteration: 4; vars: 27852; clauses: 15797; decisions: 40915
iteration: 5; vars: 33296; clauses: 12366; decisions: 46264
iteration: 6; vars: 38740; clauses: 17647; decisions: 46637
iteration: 7; vars: 44184; clauses: 15910; decisions: 47018
iteration: 8; vars: 49628; clauses: 21191; decisions: 47400
iteration: 9; vars: 55072; clauses: 19254; decisions: 48697
iteration: 10; vars: 60516; clauses: 24535; decisions: 49072
iteration: 11; vars: 65960; clauses: 20743; decisions: 49448
iteration: 12; vars: 71404; clauses: 26024; decisions: 49823
iteration: 13; vars: 76848; clauses: 24364; decisions: 50206
iteration: 14; vars: 82292; clauses: 29644; decisions: 55301
iteration: 15; vars: 87736; clauses: 34925; decisions: 55690
iteration: 16; vars: 93180; clauses: 29461; decisions: 56087
iteration: 17; vars: 98624; clauses: 34742; decisions: 59234
iteration: 18; vars: 104068; clauses: 40023; decisions: 59928
iteration: 19; vars: 109512; clauses: 34851; decisions: 68040
iteration: 20; vars: 114956; clauses: 40132; decisions: 68396
iteration: 21; vars: 120400; clauses: 45413; decisions: 68761
iteration: 22; vars: 125844; clauses: 50694; decisions: 72766
iteration: 23; vars: 131288; clauses: 41994; decisions: 76274
iteration: 24; vars: 136732; clauses: 47275; decisions: 76660
iteration: 25; vars: 142176; clauses: 52556; decisions: 77046
iteration: 26; vars: 147620; clauses: 57837; decisions: 78132
iteration: 27; vars: 153064; clauses: 48764; decisions: 78524
iteration: 28; vars: 158508; clauses: 54045; decisions: 82299
iteration: 29; vars: 163952; clauses: 59326; decisions: 82623
iteration: 30; vars: 169396; clauses: 64607; decisions: 82948
iteration: 31; vars: 174840; clauses: 69888; decisions: 89121
iteration: 32; vars: 180284; clauses: 53736; decisions: 89496
iteration: 33; vars: 185728; clauses: 59017; decisions: 93632
iteration: 34; vars: 191172; clauses: 64298; decisions: 95523
iteration: 35; vars: 196616; clauses: 69579; decisions: 97337
iteration: 36; vars: 202060; clauses: 74860; decisions: 97884
iteration: 37; vars: 207504; clauses: 62791; decisions: 98319
iteration: 38; vars: 212948; clauses: 68072; decisions: 98755
iteration: 39; vars: 218392; clauses: 73353; decisions: 102796
iteration: 40; vars: 223836; clauses: 78634; decisions: 110524
iteration: 41; vars: 229280; clauses: 83915; decisions: 110851
iteration: 42; vars: 234724; clauses: 89196; decisions: 112748
iteration: 43; vars: 240168; clauses: 72711; decisions: 114257
iteration: 44; vars: 245612; clauses: 77992; decisions: 118097
iteration: 45; vars: 251056; clauses: 83273; decisions: 118423
iteration: 46; vars: 256500; clauses: 88554; decisions: 118736
iteration: 47; vars: 261944; clauses: 93835; decisions: 119653
iteration: 48; vars: 267388; clauses: 99116; decisions: 120031
iteration: 49; vars: 272832; clauses: 104397; decisions: 120587
iteration: 50; vars: 278276; clauses: 85665; decisions: 121196
iteration: 51; vars: 283720; clauses: 90946; decisions: 123321
iteration: 52; vars: 289164; clauses: 96227; decisions: 124420
iteration: 53; vars: 294608; clauses: 101508; decisions: 125132
iteration: 54; vars: 300052; clauses: 106789; decisions: 125627
iteration: 55; vars: 305496; clauses: 112070; decisions: 126586
iteration: 56; vars: 310940; clauses: 117351; decisions: 130843
iteration: 57; vars: 316384; clauses: 122632; decisions: 131362
iteration: 58; vars: 321828; clauses: 100105; decisions: 132608
iteration: 59; vars: 327272; clauses: 105386; decisions: 134324
iteration: 60; vars: 332716; clauses: 110667; decisions: 136103
iteration: 61; vars: 338160; clauses: 115948; decisions: 136424
iteration: 62; vars: 343604; clauses: 121229; decisions: 136853
iteration: 63; vars: 349048; clauses: 126510; decisions: 137172
iteration: 64; vars: 354492; clauses: 131791; decisions: 138072
iteration: 65; vars: 359936; clauses: 137072; decisions: 138755
iteration: 66; vars: 365380; clauses: 142353; decisions: 139078
iteration: 67; vars: 370824; clauses: 147634; decisions: 139876
iteration: 68; vars: 376268; clauses: 118049; decisions: 142589
iteration: 69; vars: 381712; clauses: 123330; decisions: 149259
iteration: 70; vars: 387156; clauses: 128611; decisions: 151432
iteration: 71; vars: 392600; clauses: 133892; decisions: 154689
iteration: 72; vars: 398044; clauses: 139173; decisions: 157982
iteration: 73; vars: 403488; clauses: 144454; decisions: 158650
iteration: 74; vars: 408932; clauses: 149735; decisions: 159082
iteration: 75; vars: 414376; clauses: 155016; decisions: 162304
finished solver loop. fail_count = 0
key=0001110000010100100000110011001101111111011111010110011000110011
iteration=76; backbones_count=0; cube_count=1973842; cpu_time=35.7641; maxrss=90.0195
