inputs=39 keys=39 outputs=3 gates=2742
iteration: 1; vars: 5607; clauses: 3776; decisions: 1884
iteration: 2; vars: 8346; clauses: 4434; decisions: 3090
iteration: 3; vars: 11085; clauses: 5227; decisions: 3200
iteration: 4; vars: 13824; clauses: 6025; decisions: 3311
iteration: 5; vars: 16563; clauses: 8854; decisions: 3421
iteration: 6; vars: 19302; clauses: 6910; decisions: 3532
iteration: 7; vars: 22041; clauses: 9739; decisions: 3644
iteration: 8; vars: 24780; clauses: 8746; decisions: 5316
iteration: 9; vars: 27519; clauses: 11575; decisions: 5427
iteration: 10; vars: 30258; clauses: 10322; decisions: 5545
iteration: 11; vars: 32997; clauses: 13151; decisions: 7386
iteration: 12; vars: 35736; clauses: 12146; decisions: 7489
iteration: 13; vars: 38475; clauses: 14975; decisions: 7591
iteration: 14; vars: 41214; clauses: 17804; decisions: 7693
iteration: 15; vars: 43953; clauses: 14751; decisions: 7796
iteration: 16; vars: 46692; clauses: 17580; decisions: 8463
iteration: 17; vars: 49431; clauses: 20409; decisions: 8591
iteration: 18; vars: 52170; clauses: 17145; decisions: 8727
iteration: 19; vars: 54909; clauses: 19974; decisions: 8863
iteration: 20; vars: 57648; clauses: 22803; decisions: 9123
iteration: 21; vars: 60387; clauses: 18703; decisions: 9241
iteration: 22; vars: 63126; clauses: 21532; decisions: 9360
iteration: 23; vars: 65865; clauses: 24361; decisions: 9478
iteration: 24; vars: 68604; clauses: 27190; decisions: 9596
iteration: 25; vars: 71343; clauses: 22408; decisions: 10001
iteration: 26; vars: 74082; clauses: 25237; decisions: 10127
iteration: 27; vars: 76821; clauses: 28066; decisions: 10256
iteration: 28; vars: 79560; clauses: 30895; decisions: 10377
iteration: 29; vars: 82299; clauses: 25681; decisions: 10504
iteration: 30; vars: 85038; clauses: 28510; decisions: 11188
iteration: 31; vars: 87777; clauses: 31339; decisions: 11309
iteration: 32; vars: 90516; clauses: 34168; decisions: 11676
iteration: 33; vars: 93255; clauses: 36997; decisions: 11815
iteration: 34; vars: 95994; clauses: 30322; decisions: 11957
iteration: 35; vars: 98733; clauses: 33151; decisions: 12182
iteration: 36; vars: 101472; clauses: 35980; decisions: 12283
iteration: 37; vars: 104211; clauses: 38809; decisions: 12392
iteration: 38; vars: 106950; clauses: 41638; decisions: 12609
iteration: 39; vars: 109689; clauses: 34812; decisions: 13134
iteration: 40; vars: 112428; clauses: 37641; decisions: 13267
iteration: 41; vars: 115167; clauses: 40470; decisions: 14265
iteration: 42; vars: 117906; clauses: 43299; decisions: 14390
iteration: 43; vars: 120645; clauses: 46128; decisions: 14516
iteration: 44; vars: 123384; clauses: 48957; decisions: 14646
iteration: 45; vars: 126123; clauses: 39772; decisions: 15094
iteration: 46; vars: 128862; clauses: 42601; decisions: 15238
iteration: 47; vars: 131601; clauses: 45430; decisions: 15382
iteration: 48; vars: 134340; clauses: 48259; decisions: 15526
iteration: 49; vars: 137079; clauses: 51088; decisions: 16257
iteration: 50; vars: 139818; clauses: 53917; decisions: 16376
iteration: 51; vars: 142557; clauses: 56746; decisions: 16495
iteration: 52; vars: 145296; clauses: 45984; decisions: 16778
iteration: 53; vars: 148035; clauses: 48813; decisions: 16922
iteration: 54; vars: 150774; clauses: 51642; decisions: 17066
iteration: 55; vars: 153513; clauses: 54471; decisions: 17210
iteration: 56; vars: 156252; clauses: 57300; decisions: 18395
iteration: 57; vars: 158991; clauses: 60129; decisions: 18519
iteration: 58; vars: 161730; clauses: 62958; decisions: 19668
iteration: 59; vars: 164469; clauses: 65787; decisions: 19800
iteration: 60; vars: 167208; clauses: 53482; decisions: 19976
iteration: 61; vars: 169947; clauses: 56311; decisions: 20155
iteration: 62; vars: 172686; clauses: 59140; decisions: 21144
iteration: 63; vars: 175425; clauses: 61969; decisions: 21284
iteration: 64; vars: 178164; clauses: 64798; decisions: 21625
iteration: 65; vars: 180903; clauses: 67627; decisions: 21757
iteration: 66; vars: 183642; clauses: 70456; decisions: 21887
iteration: 67; vars: 186381; clauses: 73285; decisions: 22017
iteration: 68; vars: 189120; clauses: 76114; decisions: 22147
iteration: 69; vars: 191859; clauses: 61380; decisions: 22302
iteration: 70; vars: 194598; clauses: 64209; decisions: 23247
iteration: 71; vars: 197337; clauses: 67038; decisions: 23388
iteration: 72; vars: 200076; clauses: 69867; decisions: 23529
iteration: 73; vars: 202815; clauses: 72696; decisions: 24411
iteration: 74; vars: 205554; clauses: 75525; decisions: 24557
iteration: 75; vars: 208293; clauses: 78354; decisions: 24696
iteration: 76; vars: 211032; clauses: 81183; decisions: 24831
iteration: 77; vars: 213771; clauses: 84012; decisions: 25011
iteration: 78; vars: 216510; clauses: 86841; decisions: 25150
iteration: 79; vars: 219249; clauses: 89670; decisions: 26184
iteration: 80; vars: 221988; clauses: 71534; decisions: 27013
iteration: 81; vars: 224727; clauses: 74363; decisions: 27173
iteration: 82; vars: 227466; clauses: 77192; decisions: 27333
iteration: 83; vars: 230205; clauses: 80021; decisions: 27986
iteration: 84; vars: 232944; clauses: 82850; decisions: 28284
iteration: 85; vars: 235683; clauses: 85679; decisions: 28406
iteration: 86; vars: 238422; clauses: 88508; decisions: 28567
iteration: 87; vars: 241161; clauses: 91337; decisions: 28684
iteration: 88; vars: 243900; clauses: 94166; decisions: 29523
iteration: 89; vars: 246639; clauses: 96995; decisions: 29642
iteration: 90; vars: 249378; clauses: 99824; decisions: 29880
iteration: 91; vars: 252117; clauses: 102653; decisions: 29998
iteration: 92; vars: 254856; clauses: 82501; decisions: 30135
iteration: 93; vars: 257595; clauses: 85330; decisions: 30436
iteration: 94; vars: 260334; clauses: 88159; decisions: 30686
iteration: 95; vars: 263073; clauses: 90988; decisions: 30843
iteration: 96; vars: 265812; clauses: 93817; decisions: 31000
iteration: 97; vars: 268551; clauses: 96646; decisions: 31327
iteration: 98; vars: 271290; clauses: 99475; decisions: 31450
iteration: 99; vars: 274029; clauses: 102304; decisions: 31575
iteration: 100; vars: 276768; clauses: 105133; decisions: 32725
iteration: 101; vars: 279507; clauses: 107962; decisions: 32859
iteration: 102; vars: 282246; clauses: 110791; decisions: 32994
iteration: 103; vars: 284985; clauses: 113620; decisions: 33791
iteration: 104; vars: 287724; clauses: 116449; decisions: 33937
iteration: 105; vars: 290463; clauses: 119278; decisions: 34083
iteration: 106; vars: 293202; clauses: 95487; decisions: 34245
iteration: 107; vars: 295941; clauses: 98316; decisions: 34415
iteration: 108; vars: 298680; clauses: 101145; decisions: 35508
iteration: 109; vars: 301419; clauses: 103974; decisions: 35651
iteration: 110; vars: 304158; clauses: 106803; decisions: 35797
iteration: 111; vars: 306897; clauses: 109632; decisions: 36738
iteration: 112; vars: 309636; clauses: 112461; decisions: 36858
iteration: 113; vars: 312375; clauses: 115290; decisions: 36978
iteration: 114; vars: 315114; clauses: 118119; decisions: 37099
iteration: 115; vars: 317853; clauses: 120948; decisions: 37219
iteration: 116; vars: 320592; clauses: 123777; decisions: 37339
iteration: 117; vars: 323331; clauses: 126606; decisions: 37486
iteration: 118; vars: 326070; clauses: 129435; decisions: 37605
iteration: 119; vars: 328809; clauses: 132264; decisions: 37750
iteration: 120; vars: 331548; clauses: 135093; decisions: 37866
iteration: 121; vars: 334287; clauses: 137922; decisions: 37982
iteration: 122; vars: 337026; clauses: 110098; decisions: 38113
iteration: 123; vars: 339765; clauses: 112927; decisions: 38244
iteration: 124; vars: 342504; clauses: 115756; decisions: 38376
iteration: 125; vars: 345243; clauses: 118585; decisions: 39038
iteration: 126; vars: 347982; clauses: 121414; decisions: 39187
iteration: 127; vars: 350721; clauses: 124243; decisions: 39336
iteration: 128; vars: 353460; clauses: 127072; decisions: 39489
iteration: 129; vars: 356199; clauses: 129901; decisions: 39644
iteration: 130; vars: 358938; clauses: 132730; decisions: 39799
iteration: 131; vars: 361677; clauses: 135559; decisions: 40761
iteration: 132; vars: 364416; clauses: 138388; decisions: 40900
iteration: 133; vars: 367155; clauses: 141217; decisions: 41039
iteration: 134; vars: 369894; clauses: 144046; decisions: 41179
iteration: 135; vars: 372633; clauses: 146875; decisions: 41319
iteration: 136; vars: 375372; clauses: 149704; decisions: 41459
iteration: 137; vars: 378111; clauses: 152533; decisions: 41595
iteration: 138; vars: 380850; clauses: 155362; decisions: 41740
iteration: 139; vars: 383589; clauses: 158191; decisions: 41885
iteration: 140; vars: 386328; clauses: 161020; decisions: 42037
iteration: 141; vars: 389067; clauses: 127967; decisions: 42200
iteration: 142; vars: 391806; clauses: 130796; decisions: 42363
iteration: 143; vars: 394545; clauses: 133625; decisions: 42526
iteration: 144; vars: 397284; clauses: 136454; decisions: 43374
iteration: 145; vars: 400023; clauses: 139283; decisions: 43569
iteration: 146; vars: 402762; clauses: 142112; decisions: 43937
iteration: 147; vars: 405501; clauses: 144941; decisions: 44098
iteration: 148; vars: 408240; clauses: 147770; decisions: 44260
iteration: 149; vars: 410979; clauses: 150599; decisions: 44440
iteration: 150; vars: 413718; clauses: 153428; decisions: 45156
iteration: 151; vars: 416457; clauses: 156257; decisions: 45293
iteration: 152; vars: 419196; clauses: 159086; decisions: 45911
iteration: 153; vars: 421935; clauses: 161915; decisions: 46054
iteration: 154; vars: 424674; clauses: 164744; decisions: 46197
iteration: 155; vars: 427413; clauses: 167573; decisions: 46641
iteration: 156; vars: 430152; clauses: 170402; decisions: 46766
iteration: 157; vars: 432891; clauses: 173231; decisions: 46891
iteration: 158; vars: 435630; clauses: 176060; decisions: 47016
iteration: 159; vars: 438369; clauses: 178889; decisions: 47170
iteration: 160; vars: 441108; clauses: 181718; decisions: 47304
iteration: 161; vars: 443847; clauses: 184547; decisions: 47446
iteration: 162; vars: 446586; clauses: 187376; decisions: 47561
iteration: 163; vars: 449325; clauses: 148270; decisions: 47707
iteration: 164; vars: 452064; clauses: 151099; decisions: 49087
iteration: 165; vars: 454803; clauses: 153928; decisions: 49241
iteration: 166; vars: 457542; clauses: 156757; decisions: 49395
iteration: 167; vars: 460281; clauses: 159586; decisions: 49553
iteration: 168; vars: 463020; clauses: 162415; decisions: 49708
iteration: 169; vars: 465759; clauses: 165244; decisions: 49863
iteration: 170; vars: 468498; clauses: 168073; decisions: 50018
iteration: 171; vars: 471237; clauses: 170902; decisions: 50180
iteration: 172; vars: 473976; clauses: 173731; decisions: 50329
iteration: 173; vars: 476715; clauses: 176560; decisions: 50478
iteration: 174; vars: 479454; clauses: 179389; decisions: 50627
iteration: 175; vars: 482193; clauses: 182218; decisions: 51089
iteration: 176; vars: 484932; clauses: 185047; decisions: 51247
iteration: 177; vars: 487671; clauses: 187876; decisions: 51405
iteration: 178; vars: 490410; clauses: 190705; decisions: 51563
iteration: 179; vars: 493149; clauses: 193534; decisions: 51721
iteration: 180; vars: 495888; clauses: 196363; decisions: 51879
iteration: 181; vars: 498627; clauses: 199192; decisions: 52390
iteration: 182; vars: 501366; clauses: 202021; decisions: 52544
iteration: 183; vars: 504105; clauses: 204850; decisions: 52698
iteration: 184; vars: 506844; clauses: 207679; decisions: 52870
iteration: 185; vars: 509583; clauses: 210508; decisions: 53045
iteration: 186; vars: 512322; clauses: 213337; decisions: 54172
iteration: 187; vars: 515061; clauses: 216166; decisions: 54366
iteration: 188; vars: 517800; clauses: 171722; decisions: 54872
iteration: 189; vars: 520539; clauses: 174551; decisions: 55029
iteration: 190; vars: 523278; clauses: 177380; decisions: 55186
iteration: 191; vars: 526017; clauses: 180209; decisions: 55424
iteration: 192; vars: 528756; clauses: 183038; decisions: 55572
iteration: 193; vars: 531495; clauses: 185867; decisions: 55721
iteration: 194; vars: 534234; clauses: 188696; decisions: 56110
iteration: 195; vars: 536973; clauses: 191525; decisions: 56240
iteration: 196; vars: 539712; clauses: 194354; decisions: 56369
iteration: 197; vars: 542451; clauses: 197183; decisions: 56908
iteration: 198; vars: 545190; clauses: 200012; decisions: 57091
iteration: 199; vars: 547929; clauses: 202841; decisions: 57276
iteration: 200; vars: 550668; clauses: 205670; decisions: 57463
iteration: 201; vars: 553407; clauses: 208499; decisions: 57875
iteration: 202; vars: 556146; clauses: 211328; decisions: 58039
iteration: 203; vars: 558885; clauses: 214157; decisions: 58204
iteration: 204; vars: 561624; clauses: 216986; decisions: 58586
iteration: 205; vars: 564363; clauses: 219815; decisions: 58735
iteration: 206; vars: 567102; clauses: 222644; decisions: 58884
iteration: 207; vars: 569841; clauses: 225473; decisions: 59556
iteration: 208; vars: 572580; clauses: 228302; decisions: 59695
iteration: 209; vars: 575319; clauses: 231131; decisions: 59835
iteration: 210; vars: 578058; clauses: 233960; decisions: 60411
iteration: 211; vars: 580797; clauses: 236789; decisions: 60537
iteration: 212; vars: 583536; clauses: 239618; decisions: 60663
iteration: 213; vars: 586275; clauses: 242447; decisions: 61327
iteration: 214; vars: 589014; clauses: 245276; decisions: 61461
iteration: 215; vars: 591753; clauses: 248105; decisions: 61595
iteration: 216; vars: 594492; clauses: 250934; decisions: 61949
iteration: 217; vars: 597231; clauses: 253763; decisions: 62077
iteration: 218; vars: 599970; clauses: 199605; decisions: 62220
iteration: 219; vars: 602709; clauses: 202434; decisions: 63366
iteration: 220; vars: 605448; clauses: 205263; decisions: 63533
iteration: 221; vars: 608187; clauses: 208092; decisions: 63700
iteration: 222; vars: 610926; clauses: 210921; decisions: 64706
iteration: 223; vars: 613665; clauses: 213750; decisions: 64872
iteration: 224; vars: 616404; clauses: 216579; decisions: 65038
iteration: 225; vars: 619143; clauses: 219408; decisions: 65626
iteration: 226; vars: 621882; clauses: 222237; decisions: 65758
iteration: 227; vars: 624621; clauses: 225066; decisions: 65890
iteration: 228; vars: 627360; clauses: 227895; decisions: 66200
iteration: 229; vars: 630099; clauses: 230724; decisions: 66327
iteration: 230; vars: 632838; clauses: 233553; decisions: 66454
iteration: 231; vars: 635577; clauses: 236382; decisions: 66582
iteration: 232; vars: 638316; clauses: 239211; decisions: 67514
iteration: 233; vars: 641055; clauses: 242040; decisions: 67641
iteration: 234; vars: 643794; clauses: 244869; decisions: 67768
iteration: 235; vars: 646533; clauses: 247698; decisions: 67889
iteration: 236; vars: 649272; clauses: 250527; decisions: 68010
iteration: 237; vars: 652011; clauses: 253356; decisions: 68131
iteration: 238; vars: 654750; clauses: 256185; decisions: 68295
iteration: 239; vars: 657489; clauses: 259014; decisions: 68422
iteration: 240; vars: 660228; clauses: 261843; decisions: 68549
iteration: 241; vars: 662967; clauses: 264672; decisions: 68673
iteration: 242; vars: 665706; clauses: 267501; decisions: 68798
iteration: 243; vars: 668445; clauses: 270330; decisions: 68922
iteration: 244; vars: 671184; clauses: 273159; decisions: 69047
iteration: 245; vars: 673923; clauses: 275988; decisions: 69172
iteration: 246; vars: 676662; clauses: 278817; decisions: 69297
iteration: 247; vars: 679401; clauses: 281646; decisions: 69423
iteration: 248; vars: 682140; clauses: 284475; decisions: 69549
iteration: 249; vars: 684879; clauses: 287304; decisions: 69675
iteration: 250; vars: 687618; clauses: 290133; decisions: 69802
iteration: 251; vars: 690357; clauses: 292962; decisions: 69929
iteration: 252; vars: 693096; clauses: 231575; decisions: 70119
iteration: 253; vars: 695835; clauses: 234404; decisions: 70308
iteration: 254; vars: 698574; clauses: 237233; decisions: 70499
iteration: 255; vars: 701313; clauses: 240062; decisions: 70690
iteration: 256; vars: 704052; clauses: 242891; decisions: 70881
iteration: 257; vars: 706791; clauses: 245720; decisions: 71067
iteration: 258; vars: 709530; clauses: 248549; decisions: 71253
iteration: 259; vars: 712269; clauses: 251378; decisions: 71439
iteration: 260; vars: 715008; clauses: 254207; decisions: 71625
iteration: 261; vars: 717747; clauses: 257036; decisions: 71811
iteration: 262; vars: 720486; clauses: 259865; decisions: 71998
iteration: 263; vars: 723225; clauses: 262694; decisions: 72185
iteration: 264; vars: 725964; clauses: 265523; decisions: 72372
iteration: 265; vars: 728703; clauses: 268352; decisions: 72559
iteration: 266; vars: 731442; clauses: 271181; decisions: 72746
iteration: 267; vars: 734181; clauses: 274010; decisions: 72933
iteration: 268; vars: 736920; clauses: 276839; decisions: 73120
iteration: 269; vars: 739659; clauses: 279668; decisions: 73307
iteration: 270; vars: 742398; clauses: 282497; decisions: 73494
iteration: 271; vars: 745137; clauses: 285326; decisions: 73681
iteration: 272; vars: 747876; clauses: 288155; decisions: 73871
iteration: 273; vars: 750615; clauses: 290984; decisions: 74072
iteration: 274; vars: 753354; clauses: 293813; decisions: 74265
iteration: 275; vars: 756093; clauses: 296642; decisions: 74458
iteration: 276; vars: 758832; clauses: 299471; decisions: 74691
iteration: 277; vars: 761571; clauses: 302300; decisions: 74846
iteration: 278; vars: 764310; clauses: 305129; decisions: 75001
iteration: 279; vars: 767049; clauses: 307958; decisions: 77062
iteration: 280; vars: 769788; clauses: 310787; decisions: 77199
iteration: 281; vars: 772527; clauses: 313616; decisions: 77337
iteration: 282; vars: 775266; clauses: 316445; decisions: 77484
iteration: 283; vars: 778005; clauses: 319274; decisions: 77629
iteration: 284; vars: 780744; clauses: 322103; decisions: 77774
iteration: 285; vars: 783483; clauses: 324932; decisions: 77918
iteration: 286; vars: 786222; clauses: 327761; decisions: 78056
iteration: 287; vars: 788961; clauses: 330590; decisions: 78195
iteration: 288; vars: 791700; clauses: 333419; decisions: 78335
iteration: 289; vars: 794439; clauses: 336248; decisions: 79111
iteration: 290; vars: 797178; clauses: 339077; decisions: 79243
iteration: 291; vars: 799917; clauses: 341906; decisions: 79375
iteration: 292; vars: 802656; clauses: 268683; decisions: 79527
iteration: 293; vars: 805395; clauses: 271512; decisions: 80331
iteration: 294; vars: 808134; clauses: 274341; decisions: 80475
iteration: 295; vars: 810873; clauses: 277170; decisions: 80619
iteration: 296; vars: 813612; clauses: 279999; decisions: 80765
iteration: 297; vars: 816351; clauses: 282828; decisions: 80919
iteration: 298; vars: 819090; clauses: 285657; decisions: 81217
iteration: 299; vars: 821829; clauses: 288486; decisions: 81450
iteration: 300; vars: 824568; clauses: 291315; decisions: 82260
iteration: 301; vars: 827307; clauses: 294144; decisions: 82398
iteration: 302; vars: 830046; clauses: 296973; decisions: 83542
iteration: 303; vars: 832785; clauses: 299802; decisions: 83697
iteration: 304; vars: 835524; clauses: 302631; decisions: 83929
iteration: 305; vars: 838263; clauses: 305460; decisions: 84748
iteration: 306; vars: 841002; clauses: 308289; decisions: 84904
iteration: 307; vars: 843741; clauses: 311118; decisions: 85061
iteration: 308; vars: 846480; clauses: 313947; decisions: 87214
iteration: 309; vars: 849219; clauses: 316776; decisions: 87364
iteration: 310; vars: 851958; clauses: 319605; decisions: 87668
iteration: 311; vars: 854697; clauses: 322434; decisions: 87814
iteration: 312; vars: 857436; clauses: 325263; decisions: 88161
