inputs=75 keys=64 outputs=16 gates=6608
iteration: 1; vars: 13438; clauses: 8452; decisions: 13328
iteration: 2; vars: 20030; clauses: 10087; decisions: 16140
iteration: 3; vars: 26622; clauses: 11693; decisions: 16353
iteration: 4; vars: 33214; clauses: 17208; decisions: 16578
iteration: 5; vars: 39806; clauses: 15172; decisions: 21593
iteration: 6; vars: 46398; clauses: 20687; decisions: 21808
iteration: 7; vars: 52990; clauses: 18166; decisions: 22024
iteration: 8; vars: 59582; clauses: 23681; decisions: 22240
iteration: 9; vars: 66174; clauses: 21849; decisions: 22456
iteration: 10; vars: 72766; clauses: 27364; decisions: 23415
iteration: 11; vars: 79358; clauses: 25002; decisions: 23811
iteration: 12; vars: 85950; clauses: 30517; decisions: 24065
iteration: 13; vars: 92542; clauses: 36032; decisions: 26976
iteration: 14; vars: 99134; clauses: 30499; decisions: 27256
iteration: 15; vars: 105726; clauses: 36014; decisions: 28575
iteration: 16; vars: 112318; clauses: 41529; decisions: 28784
iteration: 17; vars: 118910; clauses: 35787; decisions: 29029
iteration: 18; vars: 125502; clauses: 41302; decisions: 33581
iteration: 19; vars: 132094; clauses: 46817; decisions: 33781
iteration: 20; vars: 138686; clauses: 52332; decisions: 33981
iteration: 21; vars: 145278; clauses: 42610; decisions: 34188
iteration: 22; vars: 151870; clauses: 48125; decisions: 39382
iteration: 23; vars: 158462; clauses: 53640; decisions: 39596
iteration: 24; vars: 165054; clauses: 59155; decisions: 39810
iteration: 25; vars: 171646; clauses: 49534; decisions: 40659
iteration: 26; vars: 178238; clauses: 55049; decisions: 40849
iteration: 27; vars: 184830; clauses: 60564; decisions: 41041
iteration: 28; vars: 191422; clauses: 66079; decisions: 44941
iteration: 29; vars: 198014; clauses: 71594; decisions: 45141
iteration: 30; vars: 204606; clauses: 58749; decisions: 45344
iteration: 31; vars: 211198; clauses: 64264; decisions: 47980
iteration: 32; vars: 217790; clauses: 69779; decisions: 48216
iteration: 33; vars: 224382; clauses: 75294; decisions: 48453
iteration: 34; vars: 230974; clauses: 80809; decisions: 50106
iteration: 35; vars: 237566; clauses: 86324; decisions: 50276
iteration: 36; vars: 244158; clauses: 68990; decisions: 50459
iteration: 37; vars: 250750; clauses: 74505; decisions: 51598
iteration: 38; vars: 257342; clauses: 80020; decisions: 51828
iteration: 39; vars: 263934; clauses: 85535; decisions: 52059
iteration: 40; vars: 270526; clauses: 91050; decisions: 53017
iteration: 41; vars: 277118; clauses: 96565; decisions: 53218
iteration: 42; vars: 283710; clauses: 102080; decisions: 53420
iteration: 43; vars: 290302; clauses: 81856; decisions: 53637
iteration: 44; vars: 296894; clauses: 87371; decisions: 53855
iteration: 45; vars: 303486; clauses: 92886; decisions: 55801
iteration: 46; vars: 310078; clauses: 98401; decisions: 56033
iteration: 47; vars: 316670; clauses: 103916; decisions: 56265
iteration: 48; vars: 323262; clauses: 109431; decisions: 58158
iteration: 49; vars: 329854; clauses: 114946; decisions: 58360
iteration: 50; vars: 336446; clauses: 120461; decisions: 60250
iteration: 51; vars: 343038; clauses: 96265; decisions: 60529
iteration: 52; vars: 349630; clauses: 101780; decisions: 60808
iteration: 53; vars: 356222; clauses: 107295; decisions: 61086
iteration: 54; vars: 362814; clauses: 112810; decisions: 63801
iteration: 55; vars: 369406; clauses: 118325; decisions: 63996
iteration: 56; vars: 375998; clauses: 123840; decisions: 64193
iteration: 57; vars: 382590; clauses: 129355; decisions: 66882
iteration: 58; vars: 389182; clauses: 134870; decisions: 67182
iteration: 59; vars: 395774; clauses: 140385; decisions: 68163
iteration: 60; vars: 402366; clauses: 112657; decisions: 68369
iteration: 61; vars: 408958; clauses: 118172; decisions: 68575
iteration: 62; vars: 415550; clauses: 123687; decisions: 70312
iteration: 63; vars: 422142; clauses: 129202; decisions: 70520
iteration: 64; vars: 428734; clauses: 134717; decisions: 70728
iteration: 65; vars: 435326; clauses: 140232; decisions: 74870
iteration: 66; vars: 441918; clauses: 145747; decisions: 76454
iteration: 67; vars: 448510; clauses: 151262; decisions: 77657
iteration: 68; vars: 455102; clauses: 156777; decisions: 77865
iteration: 69; vars: 461694; clauses: 162292; decisions: 78073
iteration: 70; vars: 468286; clauses: 167807; decisions: 80310
iteration: 71; vars: 474878; clauses: 132518; decisions: 80538
iteration: 72; vars: 481470; clauses: 138033; decisions: 80779
iteration: 73; vars: 488062; clauses: 143548; decisions: 83613
iteration: 74; vars: 494654; clauses: 149063; decisions: 83837
iteration: 75; vars: 501246; clauses: 154578; decisions: 84062
iteration: 76; vars: 507838; clauses: 160093; decisions: 89381
iteration: 77; vars: 514430; clauses: 165608; decisions: 89598
iteration: 78; vars: 521022; clauses: 171123; decisions: 89814
iteration: 79; vars: 527614; clauses: 176638; decisions: 93026
iteration: 80; vars: 534206; clauses: 182153; decisions: 93248
iteration: 81; vars: 540798; clauses: 187668; decisions: 95315
iteration: 82; vars: 547390; clauses: 193183; decisions: 95547
iteration: 83; vars: 553982; clauses: 154680; decisions: 95791
iteration: 84; vars: 560574; clauses: 160195; decisions: 96716
iteration: 85; vars: 567166; clauses: 165710; decisions: 96961
iteration: 86; vars: 573758; clauses: 171225; decisions: 97207
iteration: 87; vars: 580350; clauses: 176740; decisions: 99508
iteration: 88; vars: 586942; clauses: 182255; decisions: 99735
iteration: 89; vars: 593534; clauses: 187770; decisions: 99964
iteration: 90; vars: 600126; clauses: 193285; decisions: 104918
iteration: 91; vars: 606718; clauses: 198800; decisions: 105130
iteration: 92; vars: 613310; clauses: 204315; decisions: 105342
iteration: 93; vars: 619902; clauses: 209830; decisions: 106112
iteration: 94; vars: 626494; clauses: 215345; decisions: 106326
iteration: 95; vars: 633086; clauses: 220860; decisions: 108103
iteration: 96; vars: 639678; clauses: 226375; decisions: 108284
iteration: 97; vars: 646270; clauses: 179959; decisions: 108466
iteration: 98; vars: 652862; clauses: 185474; decisions: 108649
iteration: 99; vars: 659454; clauses: 190989; decisions: 112425
iteration: 100; vars: 666046; clauses: 196504; decisions: 112619
iteration: 101; vars: 672638; clauses: 202019; decisions: 112813
iteration: 102; vars: 679230; clauses: 207534; decisions: 113148
iteration: 103; vars: 685822; clauses: 213049; decisions: 113330
iteration: 104; vars: 692414; clauses: 218564; decisions: 113512
iteration: 105; vars: 699006; clauses: 224079; decisions: 113694
iteration: 106; vars: 705598; clauses: 229594; decisions: 114261
iteration: 107; vars: 712190; clauses: 235109; decisions: 114457
iteration: 108; vars: 718782; clauses: 240624; decisions: 114654
iteration: 109; vars: 725374; clauses: 246139; decisions: 116669
iteration: 110; vars: 731966; clauses: 251654; decisions: 116856
iteration: 111; vars: 738558; clauses: 257169; decisions: 117042
iteration: 112; vars: 745150; clauses: 262684; decisions: 117577
iteration: 113; vars: 751742; clauses: 268199; decisions: 117768
iteration: 114; vars: 758334; clauses: 211487; decisions: 118168
iteration: 115; vars: 764926; clauses: 217002; decisions: 118371
iteration: 116; vars: 771518; clauses: 222517; decisions: 118574
iteration: 117; vars: 778110; clauses: 228032; decisions: 120339
iteration: 118; vars: 784702; clauses: 233547; decisions: 120555
iteration: 119; vars: 791294; clauses: 239062; decisions: 120771
iteration: 120; vars: 797886; clauses: 244577; decisions: 120986
iteration: 121; vars: 804478; clauses: 250092; decisions: 121199
iteration: 122; vars: 811070; clauses: 255607; decisions: 121411
iteration: 123; vars: 817662; clauses: 261122; decisions: 121623
iteration: 124; vars: 824254; clauses: 266637; decisions: 121856
iteration: 125; vars: 830846; clauses: 272152; decisions: 122075
iteration: 126; vars: 837438; clauses: 277667; decisions: 122294
iteration: 127; vars: 844030; clauses: 283182; decisions: 122929
iteration: 128; vars: 850622; clauses: 288697; decisions: 123143
iteration: 129; vars: 857214; clauses: 294212; decisions: 123357
iteration: 130; vars: 863806; clauses: 299727; decisions: 123931
iteration: 131; vars: 870398; clauses: 305242; decisions: 124145
iteration: 132; vars: 876990; clauses: 310757; decisions: 124362
iteration: 133; vars: 883582; clauses: 316272; decisions: 126327
iteration: 134; vars: 890174; clauses: 248092; decisions: 126547
iteration: 135; vars: 896766; clauses: 253607; decisions: 126827
iteration: 136; vars: 903358; clauses: 259122; decisions: 127046
iteration: 137; vars: 909950; clauses: 264637; decisions: 128078
iteration: 138; vars: 916542; clauses: 270152; decisions: 128371
iteration: 139; vars: 923134; clauses: 275667; decisions: 128665
iteration: 140; vars: 929726; clauses: 281182; decisions: 132510
iteration: 141; vars: 936318; clauses: 286697; decisions: 132703
iteration: 142; vars: 942910; clauses: 292212; decisions: 132897
iteration: 143; vars: 949502; clauses: 297727; decisions: 133177
iteration: 144; vars: 956094; clauses: 303242; decisions: 133383
iteration: 145; vars: 962686; clauses: 308757; decisions: 133587
iteration: 146; vars: 969278; clauses: 314272; decisions: 133793
iteration: 147; vars: 975870; clauses: 319787; decisions: 133992
iteration: 148; vars: 982462; clauses: 325302; decisions: 135305
iteration: 149; vars: 989054; clauses: 330817; decisions: 135525
iteration: 150; vars: 995646; clauses: 336332; decisions: 135746
iteration: 151; vars: 1002238; clauses: 341847; decisions: 137876
iteration: 152; vars: 1008830; clauses: 347362; decisions: 138658
iteration: 153; vars: 1015422; clauses: 352877; decisions: 138844
iteration: 154; vars: 1022014; clauses: 358392; decisions: 139031
