inputs=256 keys=64 outputs=245 gates=13599
iteration: 1; vars: 27830; clauses: 16690; decisions: 156415
iteration: 2; vars: 41184; clauses: 18500; decisions: 164378
iteration: 3; vars: 54538; clauses: 27450; decisions: 168238
iteration: 4; vars: 67892; clauses: 22047; decisions: 168626
iteration: 5; vars: 81246; clauses: 30997; decisions: 169047
iteration: 6; vars: 94600; clauses: 39947; decisions: 170695
iteration: 7; vars: 107954; clauses: 27659; decisions: 171090
iteration: 8; vars: 121308; clauses: 36609; decisions: 177574
iteration: 9; vars: 134662; clauses: 45559; decisions: 182820
iteration: 10; vars: 148016; clauses: 32971; decisions: 183219
iteration: 11; vars: 161370; clauses: 41921; decisions: 183617
iteration: 12; vars: 174724; clauses: 50871; decisions: 184017
iteration: 13; vars: 188078; clauses: 59821; decisions: 186389
iteration: 14; vars: 201432; clauses: 39738; decisions: 186837
iteration: 15; vars: 214786; clauses: 48688; decisions: 187287
iteration: 16; vars: 228140; clauses: 57638; decisions: 195694
iteration: 17; vars: 241494; clauses: 66588; decisions: 196104
iteration: 18; vars: 254848; clauses: 46823; decisions: 196508
iteration: 19; vars: 268202; clauses: 55773; decisions: 196913
iteration: 20; vars: 281556; clauses: 64723; decisions: 202004
iteration: 21; vars: 294910; clauses: 73673; decisions: 203591
iteration: 22; vars: 308264; clauses: 82623; decisions: 203987
iteration: 23; vars: 321618; clauses: 55993; decisions: 204395
iteration: 24; vars: 334972; clauses: 64943; decisions: 220736
iteration: 25; vars: 348326; clauses: 73893; decisions: 221135
iteration: 26; vars: 361680; clauses: 82843; decisions: 221534
iteration: 27; vars: 375034; clauses: 91793; decisions: 221933
iteration: 28; vars: 388388; clauses: 100743; decisions: 222332
iteration: 29; vars: 401742; clauses: 66240; decisions: 223123
iteration: 30; vars: 415096; clauses: 75190; decisions: 223628
iteration: 31; vars: 428450; clauses: 84140; decisions: 229161
iteration: 32; vars: 441804; clauses: 93090; decisions: 232880
iteration: 33; vars: 455158; clauses: 102040; decisions: 233267
iteration: 34; vars: 468512; clauses: 110990; decisions: 233653
iteration: 35; vars: 481866; clauses: 77272; decisions: 268398
iteration: 36; vars: 495220; clauses: 86222; decisions: 268760
iteration: 37; vars: 508574; clauses: 95172; decisions: 269123
iteration: 38; vars: 521928; clauses: 104122; decisions: 271686
iteration: 39; vars: 535282; clauses: 113072; decisions: 272110
