inputs=192 keys=64 outputs=6 gates=4604
iteration: 1; vars: 9537; clauses: 6700; decisions: 8791
iteration: 2; vars: 14135; clauses: 8392; decisions: 9665
iteration: 3; vars: 18733; clauses: 9942; decisions: 9977
iteration: 4; vars: 23331; clauses: 15307; decisions: 17055
iteration: 5; vars: 27929; clauses: 13451; decisions: 17391
iteration: 6; vars: 32527; clauses: 18816; decisions: 17727
iteration: 7; vars: 37125; clauses: 14934; decisions: 28984
iteration: 8; vars: 41723; clauses: 20299; decisions: 29257
iteration: 9; vars: 46321; clauses: 18525; decisions: 33324
iteration: 10; vars: 50919; clauses: 23890; decisions: 33609
iteration: 11; vars: 55517; clauses: 21711; decisions: 33909
iteration: 12; vars: 60115; clauses: 27076; decisions: 40392
iteration: 13; vars: 64713; clauses: 32441; decisions: 40753
iteration: 14; vars: 69311; clauses: 25274; decisions: 41116
iteration: 15; vars: 73909; clauses: 30639; decisions: 42329
iteration: 16; vars: 78507; clauses: 36004; decisions: 42665
iteration: 17; vars: 83105; clauses: 30527; decisions: 44233
iteration: 18; vars: 87703; clauses: 35892; decisions: 44527
iteration: 19; vars: 92301; clauses: 41257; decisions: 44915
iteration: 20; vars: 96899; clauses: 35485; decisions: 52979
iteration: 21; vars: 101497; clauses: 40850; decisions: 54877
iteration: 22; vars: 106095; clauses: 46215; decisions: 55780
iteration: 23; vars: 110693; clauses: 51579; decisions: 56171
iteration: 24; vars: 115291; clauses: 42566; decisions: 56500
iteration: 25; vars: 119889; clauses: 47931; decisions: 58889
iteration: 26; vars: 124487; clauses: 53296; decisions: 59166
iteration: 27; vars: 129085; clauses: 58661; decisions: 59444
iteration: 28; vars: 133683; clauses: 49876; decisions: 60440
iteration: 29; vars: 138281; clauses: 55241; decisions: 60724
iteration: 30; vars: 142879; clauses: 60606; decisions: 61011
iteration: 31; vars: 147477; clauses: 65971; decisions: 62899
iteration: 32; vars: 152075; clauses: 71336; decisions: 63224
iteration: 33; vars: 156673; clauses: 58128; decisions: 63566
iteration: 34; vars: 161271; clauses: 63493; decisions: 65508
iteration: 35; vars: 165869; clauses: 68858; decisions: 65816
iteration: 36; vars: 170467; clauses: 74223; decisions: 66125
iteration: 37; vars: 175065; clauses: 79588; decisions: 70070
iteration: 38; vars: 179663; clauses: 84953; decisions: 70357
iteration: 39; vars: 184261; clauses: 69088; decisions: 70794
iteration: 40; vars: 188859; clauses: 74453; decisions: 71168
iteration: 41; vars: 193457; clauses: 79818; decisions: 74303
iteration: 42; vars: 198055; clauses: 85183; decisions: 74606
iteration: 43; vars: 202653; clauses: 90548; decisions: 75087
iteration: 44; vars: 207251; clauses: 95913; decisions: 75378
iteration: 45; vars: 211849; clauses: 101278; decisions: 75872
iteration: 46; vars: 216447; clauses: 81557; decisions: 76168
iteration: 47; vars: 221045; clauses: 86922; decisions: 82812
iteration: 48; vars: 225643; clauses: 92287; decisions: 83098
iteration: 49; vars: 230241; clauses: 97652; decisions: 83384
iteration: 50; vars: 234839; clauses: 103017; decisions: 84138
iteration: 51; vars: 239437; clauses: 108382; decisions: 84465
iteration: 52; vars: 244035; clauses: 113747; decisions: 84792
iteration: 53; vars: 248633; clauses: 119112; decisions: 85634
iteration: 54; vars: 253231; clauses: 95937; decisions: 85955
iteration: 55; vars: 257829; clauses: 101302; decisions: 86276
iteration: 56; vars: 262427; clauses: 106667; decisions: 87931
iteration: 57; vars: 267025; clauses: 112032; decisions: 88236
iteration: 58; vars: 271623; clauses: 117397; decisions: 88541
iteration: 59; vars: 276221; clauses: 122762; decisions: 92582
iteration: 60; vars: 280819; clauses: 128127; decisions: 92890
iteration: 61; vars: 285417; clauses: 133492; decisions: 93199
iteration: 62; vars: 290015; clauses: 138857; decisions: 94543
iteration: 63; vars: 294613; clauses: 112212; decisions: 94810
iteration: 64; vars: 299211; clauses: 117577; decisions: 95078
iteration: 65; vars: 303809; clauses: 122942; decisions: 97647
iteration: 66; vars: 308407; clauses: 128307; decisions: 97969
iteration: 67; vars: 313005; clauses: 133672; decisions: 105834
iteration: 68; vars: 317603; clauses: 139037; decisions: 106140
iteration: 69; vars: 322201; clauses: 144402; decisions: 106446
iteration: 70; vars: 326799; clauses: 149767; decisions: 107337
iteration: 71; vars: 331397; clauses: 155132; decisions: 107623
iteration: 72; vars: 335995; clauses: 160497; decisions: 107910
iteration: 73; vars: 340593; clauses: 165862; decisions: 110193
iteration: 74; vars: 345191; clauses: 132679; decisions: 110469
iteration: 75; vars: 349789; clauses: 138044; decisions: 110747
iteration: 76; vars: 354387; clauses: 143409; decisions: 112610
iteration: 77; vars: 358985; clauses: 148774; decisions: 112928
iteration: 78; vars: 363583; clauses: 154139; decisions: 116870
iteration: 79; vars: 368181; clauses: 159504; decisions: 117178
iteration: 80; vars: 372779; clauses: 164869; decisions: 117485
iteration: 81; vars: 377377; clauses: 170234; decisions: 119073
iteration: 82; vars: 381975; clauses: 175599; decisions: 119398
iteration: 83; vars: 386573; clauses: 180964; decisions: 119724
iteration: 84; vars: 391171; clauses: 186329; decisions: 123279
iteration: 85; vars: 395769; clauses: 191694; decisions: 123603
iteration: 86; vars: 400367; clauses: 197059; decisions: 123927
iteration: 87; vars: 404965; clauses: 156238; decisions: 124667
iteration: 88; vars: 409563; clauses: 161603; decisions: 124972
iteration: 89; vars: 414161; clauses: 166968; decisions: 125280
iteration: 90; vars: 418759; clauses: 172333; decisions: 127145
iteration: 91; vars: 423357; clauses: 177698; decisions: 127480
iteration: 92; vars: 427955; clauses: 183063; decisions: 127801
iteration: 93; vars: 432553; clauses: 188428; decisions: 129015
iteration: 94; vars: 437151; clauses: 193793; decisions: 129394
iteration: 95; vars: 441749; clauses: 199158; decisions: 129773
iteration: 96; vars: 446347; clauses: 204523; decisions: 133494
iteration: 97; vars: 450945; clauses: 209888; decisions: 133830
iteration: 98; vars: 455543; clauses: 215253; decisions: 135085
iteration: 99; vars: 460141; clauses: 220618; decisions: 135399
iteration: 100; vars: 464739; clauses: 225983; decisions: 135716
iteration: 101; vars: 469337; clauses: 231348; decisions: 136478
iteration: 102; vars: 473935; clauses: 183975; decisions: 136891
iteration: 103; vars: 478533; clauses: 189340; decisions: 140137
iteration: 104; vars: 483131; clauses: 194705; decisions: 140470
iteration: 105; vars: 487729; clauses: 200070; decisions: 140805
iteration: 106; vars: 492327; clauses: 205435; decisions: 145055
iteration: 107; vars: 496925; clauses: 210800; decisions: 145363
iteration: 108; vars: 501523; clauses: 216165; decisions: 145672
iteration: 109; vars: 506121; clauses: 221530; decisions: 149603
iteration: 110; vars: 510719; clauses: 226895; decisions: 149915
iteration: 111; vars: 515317; clauses: 232260; decisions: 150280
iteration: 112; vars: 519915; clauses: 237625; decisions: 150569
iteration: 113; vars: 524513; clauses: 242990; decisions: 150860
iteration: 114; vars: 529111; clauses: 248355; decisions: 155158
iteration: 115; vars: 533709; clauses: 253720; decisions: 155462
iteration: 116; vars: 538307; clauses: 259085; decisions: 155766
iteration: 117; vars: 542905; clauses: 264450; decisions: 156070
iteration: 118; vars: 547503; clauses: 269815; decisions: 157092
iteration: 119; vars: 552101; clauses: 214958; decisions: 157365
iteration: 120; vars: 556699; clauses: 220323; decisions: 157638
iteration: 121; vars: 561297; clauses: 225688; decisions: 157926
iteration: 122; vars: 565895; clauses: 231053; decisions: 158201
iteration: 123; vars: 570493; clauses: 236418; decisions: 158474
iteration: 124; vars: 575091; clauses: 241783; decisions: 159013
iteration: 125; vars: 579689; clauses: 247148; decisions: 159325
iteration: 126; vars: 584287; clauses: 252513; decisions: 160563
iteration: 127; vars: 588885; clauses: 257878; decisions: 160890
iteration: 128; vars: 593483; clauses: 263243; decisions: 162752
iteration: 129; vars: 598081; clauses: 268608; decisions: 163080
iteration: 130; vars: 602679; clauses: 273973; decisions: 163407
iteration: 131; vars: 607277; clauses: 279338; decisions: 166296
iteration: 132; vars: 611875; clauses: 284703; decisions: 166586
iteration: 133; vars: 616473; clauses: 290068; decisions: 166877
iteration: 134; vars: 621071; clauses: 295433; decisions: 168516
iteration: 135; vars: 625669; clauses: 300798; decisions: 168819
iteration: 136; vars: 630267; clauses: 306163; decisions: 172616
iteration: 137; vars: 634865; clauses: 311528; decisions: 173669
iteration: 138; vars: 639463; clauses: 316893; decisions: 173939
iteration: 139; vars: 644061; clauses: 251925; decisions: 174217
iteration: 140; vars: 648659; clauses: 257290; decisions: 174495
iteration: 141; vars: 653257; clauses: 262655; decisions: 175254
iteration: 142; vars: 657855; clauses: 268020; decisions: 175557
iteration: 143; vars: 662453; clauses: 273385; decisions: 176522
iteration: 144; vars: 667051; clauses: 278750; decisions: 176866
iteration: 145; vars: 671649; clauses: 284115; decisions: 177210
iteration: 146; vars: 676247; clauses: 289480; decisions: 178611
iteration: 147; vars: 680845; clauses: 294845; decisions: 178926
iteration: 148; vars: 685443; clauses: 300210; decisions: 179242
iteration: 149; vars: 690041; clauses: 305575; decisions: 184015
iteration: 150; vars: 694639; clauses: 310940; decisions: 184394
iteration: 151; vars: 699237; clauses: 316305; decisions: 184776
iteration: 152; vars: 703835; clauses: 321670; decisions: 185527
iteration: 153; vars: 708433; clauses: 327035; decisions: 185836
iteration: 154; vars: 713031; clauses: 332400; decisions: 186900
iteration: 155; vars: 717629; clauses: 337765; decisions: 187184
iteration: 156; vars: 722227; clauses: 343130; decisions: 187468
iteration: 157; vars: 726825; clauses: 348495; decisions: 188877
iteration: 158; vars: 731423; clauses: 353860; decisions: 189221
iteration: 159; vars: 736021; clauses: 359225; decisions: 189566
iteration: 160; vars: 740619; clauses: 364590; decisions: 190908
iteration: 161; vars: 745217; clauses: 369955; decisions: 192487
iteration: 162; vars: 749815; clauses: 293916; decisions: 200115
iteration: 163; vars: 754413; clauses: 299281; decisions: 200400
iteration: 164; vars: 759011; clauses: 304646; decisions: 200685
iteration: 165; vars: 763609; clauses: 310011; decisions: 200971
iteration: 166; vars: 768207; clauses: 315376; decisions: 201257
iteration: 167; vars: 772805; clauses: 320741; decisions: 201543
iteration: 168; vars: 777403; clauses: 326106; decisions: 201829
iteration: 169; vars: 782001; clauses: 331471; decisions: 202115
iteration: 170; vars: 786599; clauses: 336836; decisions: 202614
iteration: 171; vars: 791197; clauses: 342201; decisions: 202940
iteration: 172; vars: 795795; clauses: 347566; decisions: 203266
iteration: 173; vars: 800393; clauses: 352931; decisions: 203596
