inputs=46 keys=46 outputs=45 gates=4884
iteration: 1; vars: 9954; clauses: 7461; decisions: 5151
iteration: 2; vars: 14793; clauses: 11576; decisions: 7342
iteration: 3; vars: 19632; clauses: 9645; decisions: 8862
iteration: 4; vars: 24471; clauses: 13760; decisions: 9354
iteration: 5; vars: 29310; clauses: 11750; decisions: 12074
iteration: 6; vars: 34149; clauses: 15865; decisions: 12197
iteration: 7; vars: 38988; clauses: 13874; decisions: 13673
iteration: 8; vars: 43827; clauses: 17989; decisions: 13799
iteration: 9; vars: 48666; clauses: 14843; decisions: 14488
iteration: 10; vars: 53505; clauses: 18958; decisions: 14843
iteration: 11; vars: 58344; clauses: 23073; decisions: 14970
iteration: 12; vars: 63183; clauses: 18379; decisions: 15288
iteration: 13; vars: 68022; clauses: 22494; decisions: 15585
iteration: 14; vars: 72861; clauses: 26609; decisions: 15737
iteration: 15; vars: 77700; clauses: 21602; decisions: 15948
iteration: 16; vars: 82539; clauses: 25717; decisions: 17035
iteration: 17; vars: 87378; clauses: 29832; decisions: 17171
iteration: 18; vars: 92217; clauses: 25099; decisions: 17977
iteration: 19; vars: 97056; clauses: 29214; decisions: 18196
iteration: 20; vars: 101895; clauses: 33329; decisions: 18354
iteration: 21; vars: 106734; clauses: 37444; decisions: 19737
iteration: 22; vars: 111573; clauses: 29639; decisions: 19914
iteration: 23; vars: 116412; clauses: 33754; decisions: 20943
iteration: 24; vars: 121251; clauses: 37869; decisions: 21106
iteration: 25; vars: 126090; clauses: 41984; decisions: 21989
iteration: 26; vars: 130929; clauses: 46099; decisions: 22121
iteration: 27; vars: 135768; clauses: 35036; decisions: 23142
iteration: 28; vars: 140607; clauses: 39151; decisions: 24099
iteration: 29; vars: 145446; clauses: 43266; decisions: 24255
iteration: 30; vars: 150285; clauses: 47381; decisions: 24411
iteration: 31; vars: 155124; clauses: 51496; decisions: 24696
iteration: 32; vars: 159963; clauses: 38106; decisions: 24861
iteration: 33; vars: 164802; clauses: 42221; decisions: 25026
iteration: 34; vars: 169641; clauses: 46336; decisions: 25939
iteration: 35; vars: 174480; clauses: 50451; decisions: 26105
iteration: 36; vars: 179319; clauses: 54566; decisions: 26484
iteration: 37; vars: 184158; clauses: 58681; decisions: 26666
iteration: 38; vars: 188997; clauses: 45053; decisions: 27619
iteration: 39; vars: 193836; clauses: 49168; decisions: 27746
iteration: 40; vars: 198675; clauses: 53283; decisions: 29092
iteration: 41; vars: 203514; clauses: 57398; decisions: 29234
iteration: 42; vars: 208353; clauses: 61513; decisions: 30070
iteration: 43; vars: 213192; clauses: 65628; decisions: 30192
iteration: 44; vars: 218031; clauses: 69743; decisions: 31567
iteration: 45; vars: 222870; clauses: 52940; decisions: 31749
iteration: 46; vars: 227709; clauses: 57055; decisions: 31934
iteration: 47; vars: 232548; clauses: 61170; decisions: 33434
iteration: 48; vars: 237387; clauses: 65285; decisions: 33587
iteration: 49; vars: 242226; clauses: 69400; decisions: 33856
iteration: 50; vars: 247065; clauses: 73515; decisions: 33995
iteration: 51; vars: 251904; clauses: 77630; decisions: 34160
iteration: 52; vars: 256743; clauses: 81745; decisions: 34304
iteration: 53; vars: 261582; clauses: 62400; decisions: 34838
iteration: 54; vars: 266421; clauses: 66515; decisions: 35030
iteration: 55; vars: 271260; clauses: 70630; decisions: 36834
iteration: 56; vars: 276099; clauses: 74745; decisions: 36975
iteration: 57; vars: 280938; clauses: 78860; decisions: 37267
iteration: 58; vars: 285777; clauses: 82975; decisions: 37410
iteration: 59; vars: 290616; clauses: 87090; decisions: 38227
iteration: 60; vars: 295455; clauses: 91205; decisions: 39089
iteration: 61; vars: 300294; clauses: 95320; decisions: 40016
iteration: 62; vars: 305133; clauses: 72738; decisions: 40142
iteration: 63; vars: 309972; clauses: 76853; decisions: 40287
iteration: 64; vars: 314811; clauses: 80968; decisions: 40414
iteration: 65; vars: 319650; clauses: 85083; decisions: 40540
iteration: 66; vars: 324489; clauses: 89198; decisions: 41143
iteration: 67; vars: 329328; clauses: 93313; decisions: 41564
iteration: 68; vars: 334167; clauses: 97428; decisions: 41728
iteration: 69; vars: 339006; clauses: 101543; decisions: 43515
iteration: 70; vars: 343845; clauses: 105658; decisions: 43655
iteration: 71; vars: 348684; clauses: 109773; decisions: 43940
iteration: 72; vars: 353523; clauses: 84545; decisions: 44103
iteration: 73; vars: 358362; clauses: 88660; decisions: 44266
iteration: 74; vars: 363201; clauses: 92775; decisions: 44804
iteration: 75; vars: 368040; clauses: 96890; decisions: 44959
iteration: 76; vars: 372879; clauses: 101005; decisions: 45755
iteration: 77; vars: 377718; clauses: 105120; decisions: 45912
iteration: 78; vars: 382557; clauses: 109235; decisions: 47496
iteration: 79; vars: 387396; clauses: 113350; decisions: 47653
iteration: 80; vars: 392235; clauses: 117465; decisions: 47810
iteration: 81; vars: 397074; clauses: 121580; decisions: 47967
iteration: 82; vars: 401913; clauses: 125695; decisions: 48137
iteration: 83; vars: 406752; clauses: 129810; decisions: 48307
iteration: 84; vars: 411591; clauses: 98511; decisions: 48497
iteration: 85; vars: 416430; clauses: 102626; decisions: 49363
iteration: 86; vars: 421269; clauses: 106741; decisions: 49542
iteration: 87; vars: 426108; clauses: 110856; decisions: 52291
iteration: 88; vars: 430947; clauses: 114971; decisions: 52420
iteration: 89; vars: 435786; clauses: 119086; decisions: 52550
iteration: 90; vars: 440625; clauses: 123201; decisions: 53966
iteration: 91; vars: 445464; clauses: 127316; decisions: 54158
iteration: 92; vars: 450303; clauses: 131431; decisions: 54458
iteration: 93; vars: 455142; clauses: 135546; decisions: 55543
iteration: 94; vars: 459981; clauses: 139661; decisions: 55682
iteration: 95; vars: 464820; clauses: 143776; decisions: 55826
iteration: 96; vars: 469659; clauses: 147891; decisions: 56837
iteration: 97; vars: 474498; clauses: 152006; decisions: 56991
iteration: 98; vars: 479337; clauses: 115206; decisions: 58149
iteration: 99; vars: 484176; clauses: 119321; decisions: 58320
iteration: 100; vars: 489015; clauses: 123436; decisions: 58648
iteration: 101; vars: 493854; clauses: 127551; decisions: 59000
iteration: 102; vars: 498693; clauses: 131666; decisions: 59255
iteration: 103; vars: 503532; clauses: 135781; decisions: 59637
iteration: 104; vars: 508371; clauses: 139896; decisions: 60173
iteration: 105; vars: 513210; clauses: 144011; decisions: 60351
iteration: 106; vars: 518049; clauses: 148126; decisions: 60544
iteration: 107; vars: 522888; clauses: 152241; decisions: 60716
iteration: 108; vars: 527727; clauses: 156356; decisions: 60888
iteration: 109; vars: 532566; clauses: 160471; decisions: 61056
iteration: 110; vars: 537405; clauses: 164586; decisions: 61361
iteration: 111; vars: 542244; clauses: 168701; decisions: 61527
iteration: 112; vars: 547083; clauses: 172816; decisions: 61693
iteration: 113; vars: 551922; clauses: 176931; decisions: 62141
iteration: 114; vars: 556761; clauses: 133831; decisions: 62320
iteration: 115; vars: 561600; clauses: 137946; decisions: 63152
iteration: 116; vars: 566439; clauses: 142061; decisions: 63316
iteration: 117; vars: 571278; clauses: 146176; decisions: 63783
iteration: 118; vars: 576117; clauses: 150291; decisions: 64488
iteration: 119; vars: 580956; clauses: 154406; decisions: 64677
iteration: 120; vars: 585795; clauses: 158521; decisions: 64895
