inputs=41 keys=41 outputs=35 gates=6135
iteration: 1; vars: 12431; clauses: 7346; decisions: 3346
iteration: 2; vars: 18531; clauses: 10844; decisions: 6924
iteration: 3; vars: 24631; clauses: 9106; decisions: 7409
iteration: 4; vars: 30731; clauses: 12604; decisions: 7558
iteration: 5; vars: 36831; clauses: 10941; decisions: 7846
iteration: 6; vars: 42931; clauses: 14439; decisions: 8929
iteration: 7; vars: 49031; clauses: 12610; decisions: 9051
iteration: 8; vars: 55131; clauses: 16108; decisions: 10749
iteration: 9; vars: 61231; clauses: 14424; decisions: 10876
iteration: 10; vars: 67331; clauses: 17922; decisions: 12561
iteration: 11; vars: 73431; clauses: 21420; decisions: 12705
iteration: 12; vars: 79531; clauses: 17281; decisions: 12847
iteration: 13; vars: 85631; clauses: 20779; decisions: 13668
iteration: 14; vars: 91731; clauses: 24277; decisions: 13826
iteration: 15; vars: 97831; clauses: 20003; decisions: 13985
iteration: 16; vars: 103931; clauses: 23501; decisions: 14144
iteration: 17; vars: 110031; clauses: 26999; decisions: 14672
iteration: 18; vars: 116131; clauses: 30497; decisions: 14829
iteration: 19; vars: 122231; clauses: 23892; decisions: 15056
iteration: 20; vars: 128331; clauses: 27390; decisions: 15282
iteration: 21; vars: 134431; clauses: 30888; decisions: 15569
iteration: 22; vars: 140531; clauses: 34386; decisions: 15719
iteration: 23; vars: 146631; clauses: 27767; decisions: 15872
iteration: 24; vars: 152731; clauses: 31265; decisions: 17118
iteration: 25; vars: 158831; clauses: 34763; decisions: 17241
iteration: 26; vars: 164931; clauses: 38261; decisions: 17377
iteration: 27; vars: 171031; clauses: 41759; decisions: 17514
iteration: 28; vars: 177131; clauses: 32199; decisions: 17661
iteration: 29; vars: 183231; clauses: 35697; decisions: 18627
iteration: 30; vars: 189331; clauses: 39195; decisions: 18776
iteration: 31; vars: 195431; clauses: 42693; decisions: 20466
iteration: 32; vars: 201531; clauses: 46191; decisions: 20591
iteration: 33; vars: 207631; clauses: 34882; decisions: 20727
iteration: 34; vars: 213731; clauses: 38380; decisions: 20866
iteration: 35; vars: 219831; clauses: 41878; decisions: 22334
iteration: 36; vars: 225931; clauses: 45376; decisions: 24161
iteration: 37; vars: 232031; clauses: 48874; decisions: 24432
iteration: 38; vars: 238131; clauses: 52372; decisions: 24571
iteration: 39; vars: 244231; clauses: 40740; decisions: 24709
iteration: 40; vars: 250331; clauses: 44238; decisions: 25398
iteration: 41; vars: 256431; clauses: 47736; decisions: 25555
iteration: 42; vars: 262531; clauses: 51234; decisions: 26642
iteration: 43; vars: 268631; clauses: 54732; decisions: 26779
iteration: 44; vars: 274731; clauses: 58230; decisions: 27009
iteration: 45; vars: 280831; clauses: 61728; decisions: 28086
iteration: 46; vars: 286931; clauses: 47142; decisions: 28236
iteration: 47; vars: 293031; clauses: 50640; decisions: 30384
iteration: 48; vars: 299131; clauses: 54138; decisions: 30582
iteration: 49; vars: 305231; clauses: 57636; decisions: 30731
