inputs=41 keys=41 outputs=32 gates=3537
iteration: 1; vars: 7232; clauses: 4924; decisions: 2962
iteration: 2; vars: 10737; clauses: 5781; decisions: 6498
iteration: 3; vars: 14242; clauses: 6574; decisions: 8037
iteration: 4; vars: 17747; clauses: 10119; decisions: 8115
iteration: 5; vars: 21252; clauses: 8435; decisions: 8479
iteration: 6; vars: 24757; clauses: 11980; decisions: 8568
iteration: 7; vars: 28262; clauses: 9226; decisions: 8716
iteration: 8; vars: 31767; clauses: 12771; decisions: 8814
iteration: 9; vars: 35272; clauses: 11162; decisions: 9288
iteration: 10; vars: 38777; clauses: 14707; decisions: 9389
iteration: 11; vars: 42282; clauses: 12995; decisions: 9492
iteration: 12; vars: 45787; clauses: 16540; decisions: 10433
iteration: 13; vars: 49292; clauses: 20085; decisions: 10537
iteration: 14; vars: 52797; clauses: 14886; decisions: 10648
iteration: 15; vars: 56302; clauses: 18431; decisions: 10759
iteration: 16; vars: 59807; clauses: 21976; decisions: 11184
iteration: 17; vars: 63312; clauses: 17878; decisions: 11306
iteration: 18; vars: 66817; clauses: 21423; decisions: 11429
iteration: 19; vars: 70322; clauses: 24968; decisions: 11965
iteration: 20; vars: 73827; clauses: 20624; decisions: 12104
iteration: 21; vars: 77332; clauses: 24169; decisions: 12244
iteration: 22; vars: 80837; clauses: 27714; decisions: 12383
iteration: 23; vars: 84342; clauses: 31259; decisions: 12523
iteration: 24; vars: 87847; clauses: 24368; decisions: 12747
iteration: 25; vars: 91352; clauses: 27913; decisions: 12937
iteration: 26; vars: 94857; clauses: 31458; decisions: 13073
iteration: 27; vars: 98362; clauses: 35003; decisions: 13219
iteration: 28; vars: 101867; clauses: 28445; decisions: 13358
iteration: 29; vars: 105372; clauses: 31990; decisions: 14058
iteration: 30; vars: 108877; clauses: 35535; decisions: 14167
iteration: 31; vars: 112382; clauses: 39080; decisions: 14276
iteration: 32; vars: 115887; clauses: 42625; decisions: 14386
iteration: 33; vars: 119392; clauses: 32730; decisions: 14508
iteration: 34; vars: 122897; clauses: 36275; decisions: 14857
iteration: 35; vars: 126402; clauses: 39820; decisions: 14946
iteration: 36; vars: 129907; clauses: 43365; decisions: 15036
iteration: 37; vars: 133412; clauses: 46910; decisions: 15371
iteration: 38; vars: 136917; clauses: 37681; decisions: 15470
iteration: 39; vars: 140422; clauses: 41226; decisions: 15569
iteration: 40; vars: 143927; clauses: 44771; decisions: 16243
iteration: 41; vars: 147432; clauses: 48316; decisions: 17274
iteration: 42; vars: 150937; clauses: 51861; decisions: 17395
iteration: 43; vars: 154442; clauses: 55406; decisions: 17516
iteration: 44; vars: 157947; clauses: 43424; decisions: 17644
iteration: 45; vars: 161452; clauses: 46969; decisions: 17868
iteration: 46; vars: 164957; clauses: 50514; decisions: 17955
iteration: 47; vars: 168462; clauses: 54059; decisions: 18044
iteration: 48; vars: 171967; clauses: 57604; decisions: 18293
iteration: 49; vars: 175472; clauses: 61149; decisions: 18399
iteration: 50; vars: 178977; clauses: 64694; decisions: 18506
iteration: 51; vars: 182482; clauses: 50069; decisions: 18618
iteration: 52; vars: 185987; clauses: 53614; decisions: 18794
iteration: 53; vars: 189492; clauses: 57159; decisions: 18904
iteration: 54; vars: 192997; clauses: 60704; decisions: 19015
iteration: 55; vars: 196502; clauses: 64249; decisions: 19139
iteration: 56; vars: 200007; clauses: 67794; decisions: 20230
iteration: 57; vars: 203512; clauses: 71339; decisions: 20347
iteration: 58; vars: 207017; clauses: 74884; decisions: 20464
iteration: 59; vars: 210522; clauses: 57607; decisions: 21075
iteration: 60; vars: 214027; clauses: 61152; decisions: 21200
iteration: 61; vars: 217532; clauses: 64697; decisions: 21999
iteration: 62; vars: 221037; clauses: 68242; decisions: 22125
iteration: 63; vars: 224542; clauses: 71787; decisions: 22226
iteration: 64; vars: 228047; clauses: 75332; decisions: 22328
