inputs=75 keys=64 outputs=16 gates=6602
iteration: 1; vars: 13426; clauses: 8453; decisions: 10559
iteration: 2; vars: 20012; clauses: 10074; decisions: 15858
iteration: 3; vars: 26598; clauses: 11584; decisions: 18612
iteration: 4; vars: 33184; clauses: 17128; decisions: 22648
iteration: 5; vars: 39770; clauses: 15076; decisions: 27663
iteration: 6; vars: 46356; clauses: 20620; decisions: 27816
iteration: 7; vars: 52942; clauses: 18524; decisions: 29030
iteration: 8; vars: 59528; clauses: 24068; decisions: 29168
iteration: 9; vars: 66114; clauses: 22154; decisions: 29307
iteration: 10; vars: 72700; clauses: 27698; decisions: 29446
iteration: 11; vars: 79286; clauses: 25149; decisions: 33047
iteration: 12; vars: 85872; clauses: 30693; decisions: 33200
iteration: 13; vars: 92458; clauses: 36237; decisions: 33368
iteration: 14; vars: 99044; clauses: 27011; decisions: 33576
iteration: 15; vars: 105630; clauses: 32555; decisions: 36700
iteration: 16; vars: 112216; clauses: 38099; decisions: 36862
iteration: 17; vars: 118802; clauses: 32167; decisions: 38022
iteration: 18; vars: 125388; clauses: 37711; decisions: 38175
iteration: 19; vars: 131974; clauses: 43255; decisions: 38328
iteration: 20; vars: 138560; clauses: 37229; decisions: 39504
iteration: 21; vars: 145146; clauses: 42773; decisions: 39680
iteration: 22; vars: 151732; clauses: 48317; decisions: 41429
iteration: 23; vars: 158318; clauses: 53861; decisions: 41585
iteration: 24; vars: 164904; clauses: 44283; decisions: 41761
iteration: 25; vars: 171490; clauses: 49827; decisions: 43952
iteration: 26; vars: 178076; clauses: 55371; decisions: 44127
iteration: 27; vars: 184662; clauses: 60915; decisions: 44302
iteration: 28; vars: 191248; clauses: 51494; decisions: 44857
iteration: 29; vars: 197834; clauses: 57038; decisions: 45800
iteration: 30; vars: 204420; clauses: 62582; decisions: 45949
iteration: 31; vars: 211006; clauses: 68126; decisions: 46103
iteration: 32; vars: 217592; clauses: 73670; decisions: 47397
iteration: 33; vars: 224178; clauses: 59873; decisions: 47588
iteration: 34; vars: 230764; clauses: 65417; decisions: 47779
iteration: 35; vars: 237350; clauses: 70961; decisions: 47970
iteration: 36; vars: 243936; clauses: 76505; decisions: 48162
iteration: 37; vars: 250522; clauses: 82049; decisions: 48947
iteration: 38; vars: 257108; clauses: 87593; decisions: 49139
iteration: 39; vars: 263694; clauses: 70979; decisions: 50020
iteration: 40; vars: 270280; clauses: 76523; decisions: 50119
iteration: 41; vars: 276866; clauses: 82067; decisions: 50220
iteration: 42; vars: 283452; clauses: 87611; decisions: 50319
iteration: 43; vars: 290038; clauses: 93155; decisions: 50439
iteration: 44; vars: 296624; clauses: 98699; decisions: 50582
iteration: 45; vars: 303210; clauses: 104243; decisions: 50725
iteration: 46; vars: 309796; clauses: 83539; decisions: 50923
iteration: 47; vars: 316382; clauses: 89083; decisions: 51083
iteration: 48; vars: 322968; clauses: 94627; decisions: 51258
iteration: 49; vars: 329554; clauses: 100171; decisions: 52386
iteration: 50; vars: 336140; clauses: 105715; decisions: 53189
iteration: 51; vars: 342726; clauses: 111259; decisions: 54047
iteration: 52; vars: 349312; clauses: 116803; decisions: 54253
iteration: 53; vars: 355898; clauses: 122347; decisions: 55849
iteration: 54; vars: 362484; clauses: 97974; decisions: 56479
iteration: 55; vars: 369070; clauses: 103518; decisions: 56720
iteration: 56; vars: 375656; clauses: 109062; decisions: 56983
iteration: 57; vars: 382242; clauses: 114606; decisions: 58328
iteration: 58; vars: 388828; clauses: 120150; decisions: 58520
iteration: 59; vars: 395414; clauses: 125694; decisions: 58756
iteration: 60; vars: 402000; clauses: 131238; decisions: 63327
iteration: 61; vars: 408586; clauses: 136782; decisions: 63496
