inputs=192 keys=64 outputs=6 gates=4600
iteration: 1; vars: 9529; clauses: 6694; decisions: 11276
iteration: 2; vars: 14123; clauses: 8367; decisions: 11626
iteration: 3; vars: 18717; clauses: 9845; decisions: 16387
iteration: 4; vars: 23311; clauses: 11529; decisions: 16665
iteration: 5; vars: 27905; clauses: 16923; decisions: 16941
iteration: 6; vars: 32499; clauses: 13167; decisions: 18147
iteration: 7; vars: 37093; clauses: 18561; decisions: 18385
iteration: 8; vars: 41687; clauses: 16745; decisions: 18698
iteration: 9; vars: 46281; clauses: 22139; decisions: 20176
iteration: 10; vars: 50875; clauses: 20095; decisions: 23352
iteration: 11; vars: 55469; clauses: 25489; decisions: 23613
iteration: 12; vars: 60063; clauses: 21760; decisions: 23876
iteration: 13; vars: 64657; clauses: 27154; decisions: 24706
iteration: 14; vars: 69251; clauses: 32548; decisions: 25014
iteration: 15; vars: 73845; clauses: 27016; decisions: 25329
iteration: 16; vars: 78439; clauses: 32410; decisions: 25644
iteration: 17; vars: 83033; clauses: 37804; decisions: 25959
iteration: 18; vars: 87627; clauses: 32044; decisions: 28724
iteration: 19; vars: 92221; clauses: 37438; decisions: 28964
iteration: 20; vars: 96815; clauses: 42832; decisions: 31271
iteration: 21; vars: 101409; clauses: 37253; decisions: 32263
iteration: 22; vars: 106003; clauses: 42647; decisions: 33024
iteration: 23; vars: 110597; clauses: 48041; decisions: 33256
iteration: 24; vars: 115191; clauses: 53435; decisions: 33488
iteration: 25; vars: 119785; clauses: 44367; decisions: 36128
iteration: 26; vars: 124379; clauses: 49761; decisions: 36377
iteration: 27; vars: 128973; clauses: 55155; decisions: 37766
iteration: 28; vars: 133567; clauses: 60549; decisions: 38041
iteration: 29; vars: 138161; clauses: 50595; decisions: 38324
iteration: 30; vars: 142755; clauses: 55989; decisions: 39644
iteration: 31; vars: 147349; clauses: 61383; decisions: 39917
iteration: 32; vars: 151943; clauses: 66777; decisions: 40194
iteration: 33; vars: 156537; clauses: 72171; decisions: 42366
iteration: 34; vars: 161131; clauses: 59612; decisions: 42672
iteration: 35; vars: 165725; clauses: 65006; decisions: 42985
iteration: 36; vars: 170319; clauses: 70400; decisions: 43516
iteration: 37; vars: 174913; clauses: 75794; decisions: 43795
iteration: 38; vars: 179507; clauses: 81188; decisions: 44918
iteration: 39; vars: 184101; clauses: 86582; decisions: 45219
iteration: 40; vars: 188695; clauses: 70211; decisions: 45520
iteration: 41; vars: 193289; clauses: 75605; decisions: 45821
iteration: 42; vars: 197883; clauses: 80999; decisions: 47743
iteration: 43; vars: 202477; clauses: 86393; decisions: 49728
iteration: 44; vars: 207071; clauses: 91787; decisions: 49999
iteration: 45; vars: 211665; clauses: 97181; decisions: 50270
iteration: 46; vars: 216259; clauses: 102575; decisions: 51329
iteration: 47; vars: 220853; clauses: 82789; decisions: 51660
iteration: 48; vars: 225447; clauses: 88183; decisions: 51992
iteration: 49; vars: 230041; clauses: 93576; decisions: 56394
iteration: 50; vars: 234635; clauses: 98970; decisions: 56659
iteration: 51; vars: 239229; clauses: 104364; decisions: 57920
iteration: 52; vars: 243823; clauses: 109758; decisions: 58175
iteration: 53; vars: 248417; clauses: 115152; decisions: 58764
iteration: 54; vars: 253011; clauses: 120546; decisions: 58993
iteration: 55; vars: 257605; clauses: 97142; decisions: 59230
iteration: 56; vars: 262199; clauses: 102536; decisions: 60648
iteration: 57; vars: 266793; clauses: 107930; decisions: 60928
iteration: 58; vars: 271387; clauses: 113324; decisions: 61217
iteration: 59; vars: 275981; clauses: 118718; decisions: 62747
iteration: 60; vars: 280575; clauses: 124112; decisions: 63008
iteration: 61; vars: 285169; clauses: 129506; decisions: 63271
iteration: 62; vars: 289763; clauses: 134900; decisions: 63534
iteration: 63; vars: 294357; clauses: 140294; decisions: 63797
iteration: 64; vars: 298951; clauses: 113649; decisions: 64077
iteration: 65; vars: 303545; clauses: 119043; decisions: 64358
iteration: 66; vars: 308139; clauses: 124437; decisions: 65631
iteration: 67; vars: 312733; clauses: 129831; decisions: 65893
iteration: 68; vars: 317327; clauses: 135225; decisions: 66157
iteration: 69; vars: 321921; clauses: 140619; decisions: 68200
iteration: 70; vars: 326515; clauses: 146013; decisions: 68511
iteration: 71; vars: 331109; clauses: 151407; decisions: 70419
iteration: 72; vars: 335703; clauses: 156801; decisions: 70741
iteration: 73; vars: 340297; clauses: 162195; decisions: 71063
iteration: 74; vars: 344891; clauses: 167589; decisions: 71381
iteration: 75; vars: 349485; clauses: 133528; decisions: 71699
iteration: 76; vars: 354079; clauses: 138922; decisions: 72017
iteration: 77; vars: 358673; clauses: 144316; decisions: 72336
iteration: 78; vars: 363267; clauses: 149710; decisions: 72655
iteration: 79; vars: 367861; clauses: 155104; decisions: 72974
iteration: 80; vars: 372455; clauses: 160498; decisions: 73293
iteration: 81; vars: 377049; clauses: 165892; decisions: 73607
iteration: 82; vars: 381643; clauses: 171286; decisions: 73921
iteration: 83; vars: 386237; clauses: 176680; decisions: 74235
iteration: 84; vars: 390831; clauses: 182074; decisions: 74549
iteration: 85; vars: 395425; clauses: 187468; decisions: 74863
iteration: 86; vars: 400019; clauses: 192862; decisions: 75181
iteration: 87; vars: 404613; clauses: 198256; decisions: 75500
iteration: 88; vars: 409207; clauses: 157838; decisions: 75819
iteration: 89; vars: 413801; clauses: 163232; decisions: 76136
iteration: 90; vars: 418395; clauses: 168626; decisions: 76453
iteration: 91; vars: 422989; clauses: 174020; decisions: 76770
iteration: 92; vars: 427583; clauses: 179414; decisions: 77110
iteration: 93; vars: 432177; clauses: 184808; decisions: 77432
iteration: 94; vars: 436771; clauses: 190202; decisions: 77754
iteration: 95; vars: 441365; clauses: 195596; decisions: 78210
iteration: 96; vars: 445959; clauses: 200990; decisions: 78543
iteration: 97; vars: 450553; clauses: 206384; decisions: 78881
iteration: 98; vars: 455147; clauses: 211778; decisions: 79215
iteration: 99; vars: 459741; clauses: 217172; decisions: 79551
iteration: 100; vars: 464335; clauses: 222566; decisions: 85500
iteration: 101; vars: 468929; clauses: 227960; decisions: 85771
iteration: 102; vars: 473523; clauses: 233354; decisions: 87967
iteration: 103; vars: 478117; clauses: 185125; decisions: 88359
iteration: 104; vars: 482711; clauses: 190519; decisions: 89949
iteration: 105; vars: 487305; clauses: 195913; decisions: 90227
iteration: 106; vars: 491899; clauses: 201307; decisions: 90507
iteration: 107; vars: 496493; clauses: 206701; decisions: 94125
iteration: 108; vars: 501087; clauses: 212095; decisions: 94413
iteration: 109; vars: 505681; clauses: 217489; decisions: 94701
iteration: 110; vars: 510275; clauses: 222883; decisions: 94989
iteration: 111; vars: 514869; clauses: 228277; decisions: 95278
iteration: 112; vars: 519463; clauses: 233671; decisions: 95563
iteration: 113; vars: 524057; clauses: 239065; decisions: 95848
iteration: 114; vars: 528651; clauses: 244459; decisions: 96133
iteration: 115; vars: 533245; clauses: 249853; decisions: 96425
iteration: 116; vars: 537839; clauses: 255247; decisions: 96716
iteration: 117; vars: 542433; clauses: 260641; decisions: 97008
iteration: 118; vars: 547027; clauses: 266035; decisions: 97301
iteration: 119; vars: 551621; clauses: 271429; decisions: 97590
iteration: 120; vars: 556215; clauses: 216487; decisions: 97939
iteration: 121; vars: 560809; clauses: 221881; decisions: 98286
iteration: 122; vars: 565403; clauses: 227275; decisions: 98633
iteration: 123; vars: 569997; clauses: 232669; decisions: 98980
iteration: 124; vars: 574591; clauses: 238063; decisions: 99356
iteration: 125; vars: 579185; clauses: 243457; decisions: 99706
iteration: 126; vars: 583779; clauses: 248851; decisions: 100057
iteration: 127; vars: 588373; clauses: 254245; decisions: 100408
iteration: 128; vars: 592967; clauses: 259639; decisions: 100760
iteration: 129; vars: 597561; clauses: 265033; decisions: 105790
iteration: 130; vars: 602155; clauses: 270427; decisions: 109820
iteration: 131; vars: 606749; clauses: 275821; decisions: 110120
iteration: 132; vars: 611343; clauses: 281215; decisions: 111477
iteration: 133; vars: 615937; clauses: 286609; decisions: 111741
iteration: 134; vars: 620531; clauses: 292003; decisions: 113500
iteration: 135; vars: 625125; clauses: 297397; decisions: 114580
iteration: 136; vars: 629719; clauses: 302791; decisions: 114814
iteration: 137; vars: 634313; clauses: 308185; decisions: 115050
iteration: 138; vars: 638907; clauses: 313579; decisions: 115898
iteration: 139; vars: 643501; clauses: 318973; decisions: 116165
iteration: 140; vars: 648095; clauses: 253306; decisions: 116443
iteration: 141; vars: 652689; clauses: 258700; decisions: 116812
iteration: 142; vars: 657283; clauses: 264094; decisions: 119305
iteration: 143; vars: 661877; clauses: 269488; decisions: 119560
iteration: 144; vars: 666471; clauses: 274882; decisions: 119816
iteration: 145; vars: 671065; clauses: 280276; decisions: 120160
iteration: 146; vars: 675659; clauses: 285670; decisions: 122985
iteration: 147; vars: 680253; clauses: 291064; decisions: 123255
iteration: 148; vars: 684847; clauses: 296458; decisions: 123528
iteration: 149; vars: 689441; clauses: 301852; decisions: 124888
iteration: 150; vars: 694035; clauses: 307246; decisions: 125180
iteration: 151; vars: 698629; clauses: 312640; decisions: 126659
