inputs=46 keys=46 outputs=45 gates=4917
iteration: 1; vars: 10020; clauses: 7574; decisions: 1097
iteration: 2; vars: 14892; clauses: 11780; decisions: 7144
iteration: 3; vars: 19764; clauses: 9801; decisions: 8490
iteration: 4; vars: 24636; clauses: 14007; decisions: 8610
iteration: 5; vars: 29508; clauses: 12030; decisions: 8748
iteration: 6; vars: 34380; clauses: 16236; decisions: 8886
iteration: 7; vars: 39252; clauses: 14109; decisions: 9029
iteration: 8; vars: 44124; clauses: 18315; decisions: 10391
iteration: 9; vars: 48996; clauses: 16187; decisions: 11912
iteration: 10; vars: 53868; clauses: 20393; decisions: 12017
iteration: 11; vars: 58740; clauses: 24599; decisions: 12545
iteration: 12; vars: 63612; clauses: 19721; decisions: 12673
iteration: 13; vars: 68484; clauses: 23927; decisions: 12801
iteration: 14; vars: 73356; clauses: 28133; decisions: 12928
iteration: 15; vars: 78228; clauses: 22713; decisions: 13917
iteration: 16; vars: 83100; clauses: 26919; decisions: 14042
iteration: 17; vars: 87972; clauses: 31125; decisions: 14172
iteration: 18; vars: 92844; clauses: 35331; decisions: 15563
iteration: 19; vars: 97716; clauses: 27384; decisions: 15696
iteration: 20; vars: 102588; clauses: 31590; decisions: 15831
iteration: 21; vars: 107460; clauses: 35796; decisions: 16879
iteration: 22; vars: 112332; clauses: 40002; decisions: 16978
iteration: 23; vars: 117204; clauses: 31963; decisions: 17144
iteration: 24; vars: 122076; clauses: 36169; decisions: 18125
iteration: 25; vars: 126948; clauses: 40375; decisions: 18272
iteration: 26; vars: 131820; clauses: 44581; decisions: 18847
iteration: 27; vars: 136692; clauses: 48787; decisions: 19226
iteration: 28; vars: 141564; clauses: 37379; decisions: 19344
iteration: 29; vars: 146436; clauses: 41585; decisions: 19705
iteration: 30; vars: 151308; clauses: 45791; decisions: 19846
iteration: 31; vars: 156180; clauses: 49997; decisions: 19992
iteration: 32; vars: 161052; clauses: 54203; decisions: 20634
iteration: 33; vars: 165924; clauses: 40604; decisions: 20775
iteration: 34; vars: 170796; clauses: 44810; decisions: 21280
iteration: 35; vars: 175668; clauses: 49016; decisions: 21395
iteration: 36; vars: 180540; clauses: 53222; decisions: 21510
iteration: 37; vars: 185412; clauses: 57428; decisions: 21625
iteration: 38; vars: 190284; clauses: 61634; decisions: 21740
iteration: 39; vars: 195156; clauses: 47616; decisions: 21860
iteration: 40; vars: 200028; clauses: 51822; decisions: 22188
iteration: 41; vars: 204900; clauses: 56028; decisions: 22300
iteration: 42; vars: 209772; clauses: 60234; decisions: 22412
iteration: 43; vars: 214644; clauses: 64440; decisions: 22526
iteration: 44; vars: 219516; clauses: 68646; decisions: 22652
iteration: 45; vars: 224388; clauses: 72852; decisions: 22761
iteration: 46; vars: 229260; clauses: 55513; decisions: 22896
iteration: 47; vars: 234132; clauses: 59719; decisions: 23597
iteration: 48; vars: 239004; clauses: 63925; decisions: 23721
iteration: 49; vars: 243876; clauses: 68131; decisions: 23849
iteration: 50; vars: 248748; clauses: 72337; decisions: 24253
iteration: 51; vars: 253620; clauses: 76543; decisions: 26025
iteration: 52; vars: 258492; clauses: 80749; decisions: 26136
iteration: 53; vars: 263364; clauses: 84955; decisions: 26247
iteration: 54; vars: 268236; clauses: 65052; decisions: 26587
iteration: 55; vars: 273108; clauses: 69258; decisions: 26708
iteration: 56; vars: 277980; clauses: 73464; decisions: 26828
iteration: 57; vars: 282852; clauses: 77670; decisions: 26949
iteration: 58; vars: 287724; clauses: 81876; decisions: 27097
iteration: 59; vars: 292596; clauses: 86082; decisions: 27218
iteration: 60; vars: 297468; clauses: 90288; decisions: 27342
iteration: 61; vars: 302340; clauses: 94494; decisions: 27491
iteration: 62; vars: 307212; clauses: 98700; decisions: 28498
iteration: 63; vars: 312084; clauses: 75507; decisions: 29617
iteration: 64; vars: 316956; clauses: 79713; decisions: 29737
iteration: 65; vars: 321828; clauses: 83919; decisions: 29861
iteration: 66; vars: 326700; clauses: 88125; decisions: 29982
iteration: 67; vars: 331572; clauses: 92331; decisions: 30102
iteration: 68; vars: 336444; clauses: 96537; decisions: 30231
iteration: 69; vars: 341316; clauses: 100743; decisions: 30361
iteration: 70; vars: 346188; clauses: 104949; decisions: 31490
iteration: 71; vars: 351060; clauses: 109155; decisions: 31638
iteration: 72; vars: 355932; clauses: 113361; decisions: 31788
iteration: 73; vars: 360804; clauses: 87103; decisions: 31935
iteration: 74; vars: 365676; clauses: 91309; decisions: 32083
iteration: 75; vars: 370548; clauses: 95515; decisions: 33279
iteration: 76; vars: 375420; clauses: 99721; decisions: 33425
iteration: 77; vars: 380292; clauses: 103927; decisions: 33572
iteration: 78; vars: 385164; clauses: 108133; decisions: 33719
iteration: 79; vars: 390036; clauses: 112339; decisions: 33866
iteration: 80; vars: 394908; clauses: 116545; decisions: 34013
iteration: 81; vars: 399780; clauses: 120751; decisions: 34160
iteration: 82; vars: 404652; clauses: 124957; decisions: 34307
iteration: 83; vars: 409524; clauses: 129163; decisions: 35084
iteration: 84; vars: 414396; clauses: 133369; decisions: 35208
iteration: 85; vars: 419268; clauses: 101283; decisions: 35338
iteration: 86; vars: 424140; clauses: 105489; decisions: 35554
iteration: 87; vars: 429012; clauses: 109695; decisions: 35688
iteration: 88; vars: 433884; clauses: 113901; decisions: 35820
iteration: 89; vars: 438756; clauses: 118107; decisions: 35953
iteration: 90; vars: 443628; clauses: 122313; decisions: 36493
iteration: 91; vars: 448500; clauses: 126519; decisions: 36667
iteration: 92; vars: 453372; clauses: 130725; decisions: 36841
iteration: 93; vars: 458244; clauses: 134931; decisions: 37015
iteration: 94; vars: 463116; clauses: 139137; decisions: 37189
iteration: 95; vars: 467988; clauses: 143343; decisions: 37365
iteration: 96; vars: 472860; clauses: 147549; decisions: 37542
iteration: 97; vars: 477732; clauses: 151755; decisions: 37719
